Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,5.097,2144,,
00:00.05 ,5.097,2192,,
00:00.1 ,5.112,2392,,
00:00.15 ,5.112,2183,,
00:00.2 ,5.112,2133,,
00:00.25 ,5.112,2205,,
00:00.3 ,5.112,2797,,
00:00.35 ,5.1,2378,,
00:00.4 ,5.1,2440,,
00:00.45 ,5.1,2571,,
00:00.5 ,5.1,2585,,
00:00.55 ,5.1,2217,,
00:00.6 ,5.095,2498,,
00:00.65 ,5.095,2285,,
00:00.7 ,5.095,2469,,
00:00.75 ,5.095,2047,,
00:00.8 ,5.095,2291,,
00:00.85 ,5.09,1972,,
00:00.9 ,5.09,2126,,
00:00.95 ,5.09,2024,,
00:01 .0,5.09,1759,,
00:01.05 ,5.09,1733,,
00:01.1 ,5.068,2183,,
00:01.15 ,5.068,2028,,
00:01.2 ,5.068,1855,,
00:01.25 ,5.068,2023,,
00:01.3 ,5.068,2239,,
00:01.35 ,5.124,2282,,
00:01.4 ,5.124,2290,,
00:01.45 ,5.124,2479,,
00:01.5 ,5.124,2346,,
00:01.55 ,5.235,2393,,
00:01.6 ,5.235,2278,,
00:01.65 ,5.235,2447,,
00:01.7 ,5.235,2719,,
00:01.75 ,5.235,2810,,
00:01.8 ,5.364,2387,,
00:01.85 ,5.364,2523,,
00:01.9 ,5.364,2194,,
00:01.95 ,5.364,2194,,
00:02 .0,5.364,2070,,
00:02.05 ,5.528,2130,,
00:02.1 ,5.528,1946,,
00:02.15 ,5.528,2582,,
00:02.2 ,5.528,1893,,
00:02.25 ,5.528,2181,,
00:02.3 ,5.618,2333,,
00:02.35 ,5.618,2418,,
00:02.4 ,5.618,1978,,
00:02.45 ,5.618,1891,,
00:02.5 ,5.618,1963,,
00:02.55 ,5.612,1891,,
00:02.6 ,5.612,1932,,
00:02.65 ,5.612,1744,,
00:02.7 ,5.612,1743,,
00:02.75 ,5.612,2138,,
00:02.8 ,5.542,2112,,
00:02.85 ,5.542,1866,,
00:02.9 ,5.542,2217,,
00:02.95 ,5.542,2001,,
00:03 .0,5.542,1900,,
00:03.05 ,5.408,1540,,
00:03.1 ,5.408,1936,,
00:03.15 ,5.408,1739,,
00:03.2 ,5.408,1765,,
00:03.25 ,5.408,1731,,
00:03.3 ,5.22,2151,,
00:03.35 ,5.22,2285,,
00:03.4 ,5.22,2486,,
00:03.45 ,5.22,2200,,
00:03.5 ,5.22,2026,,
00:03.55 ,5.056,2058,,
00:03.6 ,5.056,2168,,
00:03.65 ,5.056,1907,,
00:03.7 ,5.056,1718,,
00:03.75 ,5.056,2078,,
00:03.8 ,4.952,2156,,
00:03.85 ,4.952,2207,,
00:03.9 ,4.952,2322,,
00:03.95 ,4.952,2304,,
00:04 .0,4.952,2928,,
00:04.05 ,4.992,2338,,
00:04.1 ,4.992,2205,,
00:04.15 ,4.992,2147,,
00:04.2 ,4.992,2589,,
00:04.25 ,5.362,2366,,
00:04.3 ,5.362,1965,,
00:04.35 ,5.362,1901,,
00:04.4 ,5.362,2251,,
00:04.45 ,5.362,2019,,
00:04.5 ,5.562,2218,,
00:04.55 ,5.562,2517,,
00:04.6 ,5.562,2649,,
00:04.65 ,5.562,1644,,
00:04.7 ,5.562,1314,,
00:04.75 ,5.641,1647,,
00:04.8 ,5.641,1916,,
00:04.85 ,5.641,1447,,
00:04.9 ,5.641,1620,,
00:04.95 ,5.641,995,,
00:05 .0,5.531,1193,,
00:05.05 ,5.531,1664,,
00:05.1 ,5.531,668,,
00:05.15 ,5.531,1421,,
00:05.2 ,5.531,3259,,
00:05.25 ,5.085,3583,,
00:05.3 ,5.085,3777,,
00:05.35 ,5.085,3918,,
00:05.4 ,5.085,3823,,
00:05.45 ,5.085,3265,,
00:05.5 ,4.821,2277,,
00:05.55 ,4.821,605,,
00:05.6 ,4.821,46,,
00:05.65 ,4.821,34,,
00:05.7 ,4.821,31,,
00:05.75 ,4.671,54,,
00:05.8 ,4.671,45,,
00:05.85 ,4.671,51,,
00:05.9 ,4.671,526,,
00:05.95 ,4.671,1165,,
00:06 .0,4.534,1292,,
00:06.05 ,4.534,1940,,
00:06.1 ,4.534,2137,,
00:06.15 ,4.534,3494,,
00:06.2 ,4.534,3156,,
00:06.25 ,4.387,2586,,
00:06.3 ,4.387,3120,,
00:06.35 ,4.387,2940,,
00:06.4 ,4.387,2453,,
00:06.45 ,4.387,1196,,
00:06.5 ,4.298,2564,,
00:06.55 ,4.298,1737,,
00:06.6 ,4.298,2026,,
00:06.65 ,4.298,1995,,
00:06.7 ,4.209,2446,,
00:06.75 ,4.209,2406,,
00:06.8 ,4.209,3355,,
00:06.85 ,4.209,3796,,
00:06.9 ,4.209,3384,,
00:06.95 ,4.162,2931,,
00:07 .0,4.162,2864,,
00:07.05 ,4.162,3485,,
00:07.1 ,4.162,2691,,
00:07.15 ,4.162,2573,,
00:07.2 ,4.204,1587,,
00:07.25 ,4.204,2088,,
00:07.3 ,4.204,1952,,
00:07.35 ,4.204,2287,,
00:07.4 ,4.204,2317,,
00:07.45 ,4.289,2160,,
00:07.5 ,4.289,2314,,
00:07.55 ,4.289,2502,,
00:07.6 ,4.289,2400,,
00:07.65 ,4.289,2009,,
00:07.7 ,4.374,1839,,
00:07.75 ,4.374,2066,,
00:07.8 ,4.374,1945,,
00:07.85 ,4.374,1872,,
00:07.9 ,4.374,1849,,
00:07.95 ,4.468,1947,,
00:08 .0,4.468,1566,,
00:08.05 ,4.468,2186,,
00:08.1 ,4.468,2054,,
00:08.15 ,4.468,1949,,
00:08.2 ,4.522,2060,,
00:08.25 ,4.522,2080,,
00:08.3 ,4.522,1943,,
00:08.35 ,4.522,2073,,
00:08.4 ,4.522,1865,,
00:08.45 ,4.341,2824,,
00:08.5 ,4.341,1557,,
00:08.55 ,4.341,1218,,
00:08.6 ,4.341,1201,,
00:08.65 ,4.341,1390,,
00:08.7 ,4.15,931,,
00:08.75 ,4.15,847,,
00:08.8 ,4.15,773,,
00:08.85 ,4.15,1313,,
00:08.9 ,4.15,1560,,
00:08.95 ,4.044,1675,,
00:09 .0,4.044,2043,,
00:09.05 ,4.044,1825,,
00:09.1 ,4.044,2019,,
00:09.15 ,4.044,2290,,
00:09.2 ,4.011,2087,,
00:09.25 ,4.011,2084,,
00:09.3 ,4.011,2122,,
00:09.35 ,4.011,2347,,
00:09.4 ,4.192,2094,,
00:09.45 ,4.192,1937,,
00:09.5 ,4.192,2944,,
00:09.55 ,4.192,1930,,
00:09.6 ,4.192,1872,,
00:09.65 ,4.458,2022,,
00:09.7 ,4.458,2385,,
00:09.75 ,4.458,2059,,
00:09.8 ,4.458,2124,,
00:09.85 ,4.458,1976,,
00:09.9 ,4.679,2301,,
00:09.95 ,4.679,2326,,
00:10.0,4.679,2549,,
00:10.05,4.679,2217,,
00:10.1,4.679,2336,,
00:10.15,4.832,2315,,
00:10.2,4.832,2764,,
00:10.25,4.832,2260,,
00:10.3,4.832,2276,,
00:10.35,4.832,2175,,
00:10.4,4.904,2151,,
00:10.45,4.904,2259,,
00:10.5,4.904,2168,,
00:10.55,4.904,3061,,
00:10.6,4.904,2022,,
00:10.65,4.906,2050,,
00:10.7,4.906,1729,,
00:10.75,4.906,2168,,
00:10.8,4.906,2095,,
00:10.85,4.906,1835,,
00:10.9,4.865,1935,,
00:10.95,4.865,1666,,
00:11.0,4.865,1463,,
00:11.05,4.865,1529,,
00:11.1,4.865,2348,,
00:11.15,4.812,1322,,
00:11.2,4.812,1648,,
00:11.25,4.812,2716,,
00:11.3,4.812,2801,,
00:11.35,4.812,2146,,
00:11.4,4.753,1838,,
00:11.45,4.753,1746,,
00:11.5,4.753,1613,,
00:11.55,4.753,1916,,
00:11.6,4.753,1940,,
00:11.65,4.688,1532,,
00:11.7,4.688,897,,
00:11.75,4.688,852,,
00:11.8,4.688,882,,
00:11.85,4.688,1206,,
00:11.9,4.638,1135,,
00:11.95,4.638,1038,,
00:12.0,4.638,1353,,
00:12.05,4.638,1361,,
00:12.1,4.609,1857,,
00:12.15,4.609,1432,,
00:12.2,4.609,1659,,
00:12.25,4.609,1907,,
00:12.3,4.609,1733,,
00:12.35,4.599,1743,,
00:12.4,4.599,2001,,
00:12.45,4.599,2008,,
00:12.5,4.599,2533,,
00:12.55,4.599,2601,,
00:12.6,4.609,2278,,
00:12.65,4.609,2059,,
00:12.7,4.609,2156,,
00:12.75,4.609,2532,,
00:12.8,4.609,2279,,
00:12.85,4.613,2245,,
00:12.9,4.613,2225,,
00:12.95,4.613,2295,,
00:13.0,4.613,2177,,
00:13.05,4.613,2051,,
00:13.1,4.595,2022,,
00:13.15,4.595,2441,,
00:13.2,4.595,2283,,
00:13.25,4.595,2134,,
00:13.3,4.595,1994,,
00:13.35,4.571,2250,,
00:13.4,4.571,2059,,
00:13.45,4.571,2162,,
00:13.5,4.571,2225,,
00:13.55,4.571,2228,,
00:13.6,4.549,1993,,
00:13.65,4.549,2085,,
00:13.7,4.549,1998,,
00:13.75,4.549,2071,,
00:13.8,4.549,1893,,
00:13.85,4.545,2354,,
00:13.9,4.545,1995,,
00:13.95,4.545,1943,,
00:14.0,4.545,2018,,
00:14.05,4.545,2365,,
00:14.1,4.532,2510,,
00:14.15,4.532,2454,,
00:14.2,4.532,2565,,
00:14.25,4.532,2782,,
00:14.3,4.532,2450,,
00:14.35,4.549,2421,,
00:14.4,4.549,2592,,
00:14.45,4.549,2098,,
00:14.5,4.549,2129,,
00:14.55,4.53,2297,,
00:14.6,4.53,2808,,
00:14.65,4.53,2586,,
00:14.7,4.53,2645,,
00:14.75,4.53,2538,,
00:14.8,4.479,2684,,
00:14.85,4.479,2424,,
00:14.9,4.479,2522,,
00:14.95,4.479,2312,,
00:15.0,4.479,2435,,
00:15.05,4.426,2279,,
00:15.1,4.426,2091,,
00:15.15,4.426,2128,,
00:15.2,4.426,1708,,
00:15.25,4.426,1768,,
00:15.3,4.336,1964,,
00:15.35,4.336,1865,,
00:15.4,4.336,1654,,
00:15.45,4.336,2084,,
00:15.5,4.336,2071,,
00:15.55,4.277,2036,,
00:15.6,4.277,2390,,
00:15.65,4.277,2841,,
00:15.7,4.277,2678,,
00:15.75,4.277,2362,,
00:15.8,4.24,2258,,
