Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,3.656,0,,
00:00.05 ,3.656,20,,
00:00.1 ,3.897,24,,
00:00.15 ,3.897,22,,
00:00.2 ,3.897,27,,
00:00.25 ,3.897,32,,
00:00.3 ,3.897,38,,
00:00.35 ,4.05,36,,
00:00.4 ,4.05,61,,
00:00.45 ,4.05,228,,
00:00.5 ,4.05,610,,
00:00.55 ,4.05,1074,,
00:00.6 ,4.066,1464,,
00:00.65 ,4.066,1693,,
00:00.7 ,4.066,1707,,
00:00.75 ,4.066,1889,,
00:00.8 ,4.091,1971,,
00:00.85 ,4.091,2434,,
00:00.9 ,4.091,2923,,
00:00.95 ,4.091,3096,,
00:01 .0,4.091,2505,,
00:01.05 ,4.082,2249,,
00:01.1 ,4.082,2086,,
00:01.15 ,4.082,2076,,
00:01.2 ,4.082,1950,,
00:01.25 ,4.082,1824,,
00:01.3 ,4.065,1826,,
00:01.35 ,4.065,1808,,
00:01.4 ,4.065,1536,,
00:01.45 ,4.065,1719,,
00:01.5 ,4.065,1651,,
00:01.55 ,4.089,1574,,
00:01.6 ,4.089,1411,,
00:01.65 ,4.089,1220,,
00:01.7 ,4.089,151,,
00:01.75 ,4.089,52,,
00:01.8 ,4.175,63,,
00:01.85 ,4.175,343,,
00:01.9 ,4.175,553,,
00:01.95 ,4.175,937,,
00:02 .0,4.175,1219,,
00:02.05 ,4.367,1396,,
00:02.1 ,4.367,1540,,
00:02.15 ,4.367,1471,,
00:02.2 ,4.367,1362,,
00:02.25 ,4.367,1585,,
00:02.3 ,4.659,1569,,
00:02.35 ,4.659,1394,,
00:02.4 ,4.659,1259,,
00:02.45 ,4.659,1941,,
00:02.5 ,4.659,2303,,
00:02.55 ,5.018,2781,,
00:02.6 ,5.018,3125,,
00:02.65 ,5.018,2810,,
00:02.7 ,5.018,2031,,
00:02.75 ,5.018,1910,,
00:02.8 ,5.228,1193,,
00:02.85 ,5.228,718,,
00:02.9 ,5.228,507,,
00:02.95 ,5.228,1412,,
00:03 .0,5.228,2551,,
00:03.05 ,5.287,3674,,
00:03.1 ,5.287,3674,,
00:03.15 ,5.287,3611,,
00:03.2 ,5.287,3971,,
00:03.25 ,5.248,3934,,
00:03.3 ,5.248,3215,,
00:03.35 ,5.248,2538,,
00:03.4 ,5.248,1636,,
00:03.45 ,5.248,719,,
00:03.5 ,5.222,240,,
00:03.55 ,5.222,663,,
00:03.6 ,5.222,970,,
00:03.65 ,5.222,1137,,
00:03.7 ,5.222,1667,,
00:03.75 ,5.351,1841,,
00:03.8 ,5.351,2374,,
00:03.85 ,5.351,2942,,
00:03.9 ,5.351,2334,,
00:03.95 ,5.351,2116,,
00:04 .0,5.389,2183,,
00:04.05 ,5.389,2826,,
00:04.1 ,5.389,3354,,
00:04.15 ,5.389,3306,,
00:04.2 ,5.389,2933,,
00:04.25 ,5.354,3101,,
00:04.3 ,5.354,2771,,
00:04.35 ,5.354,2398,,
00:04.4 ,5.354,3051,,
00:04.45 ,5.354,3311,,
00:04.5 ,5.197,3548,,
00:04.55 ,5.197,3609,,
00:04.6 ,5.197,3389,,
00:04.65 ,5.197,2457,,
00:04.7 ,5.197,2076,,
00:04.75 ,4.973,1855,,
00:04.8 ,4.973,2371,,
00:04.85 ,4.973,2468,,
00:04.9 ,4.973,2390,,
00:04.95 ,4.973,2663,,
00:05 .0,4.888,2735,,
00:05.05 ,4.888,2810,,
00:05.1 ,4.888,3533,,
00:05.15 ,4.888,2618,,
00:05.2 ,4.888,3918,,
00:05.25 ,4.836,3973,,
00:05.3 ,4.836,3999,,
00:05.35 ,4.836,3993,,
00:05.4 ,4.836,3993,,
00:05.45 ,4.836,3982,,
00:05.5 ,4.803,3985,,
00:05.55 ,4.803,3953,,
00:05.6 ,4.803,3622,,
00:05.65 ,4.803,3028,,
00:05.7 ,4.803,3392,,
00:05.75 ,4.76,2721,,
00:05.8 ,4.76,2821,,
00:05.85 ,4.76,214,,
00:05.9 ,4.76,273,,
00:05.95 ,4.593,31,,
00:06 .0,4.593,30,,
00:06.05 ,4.593,27,,
00:06.1 ,4.593,159,,
00:06.15 ,4.593,1952,,
00:06.2 ,4.341,3480,,
00:06.25 ,4.341,3983,,
00:06.3 ,4.341,3778,,
00:06.35 ,4.341,4004,,
00:06.4 ,4.341,3999,,
00:06.45 ,3.991,3995,,
00:06.5 ,3.991,3997,,
00:06.55 ,3.991,3995,,
00:06.6 ,3.991,3990,,
00:06.65 ,3.991,3954,,
00:06.7 ,3.676,3290,,
00:06.75 ,3.676,2968,,
00:06.8 ,3.676,2262,,
00:06.85 ,3.676,1638,,
00:06.9 ,3.676,1379,,
00:06.95 ,3.405,2104,,
00:07 .0,3.405,2572,,
00:07.05 ,3.405,2342,,
00:07.1 ,3.405,2848,,
00:07.15 ,3.405,3019,,
00:07.2 ,3.156,3526,,
00:07.25 ,3.156,3863,,
00:07.3 ,3.156,4012,,
00:07.35 ,3.156,4015,,
00:07.4 ,3.156,4017,,
00:07.45 ,3.011,4016,,
00:07.5 ,3.011,4017,,
00:07.55 ,3.011,4014,,
00:07.6 ,3.011,4010,,
00:07.65 ,3.011,4015,,
00:07.7 ,2.959,4013,,
00:07.75 ,2.959,4016,,
00:07.8 ,2.959,4011,,
00:07.85 ,2.959,4001,,
00:07.9 ,2.959,3990,,
00:07.95 ,2.972,3989,,
00:08 .0,2.972,3976,,
00:08.05 ,2.972,3682,,
00:08.1 ,2.972,2613,,
00:08.15 ,2.972,1833,,
00:08.2 ,3.032,2568,,
00:08.25 ,3.032,2760,,
00:08.3 ,3.032,2191,,
00:08.35 ,3.032,2297,,
00:08.4 ,3.032,1658,,
00:08.45 ,3.164,1980,,
00:08.5 ,3.164,1592,,
00:08.55 ,3.164,922,,
00:08.6 ,3.164,1439,,
00:08.65 ,3.291,570,,
00:08.7 ,3.291,972,,
00:08.75 ,3.291,1493,,
00:08.8 ,3.291,2472,,
00:08.85 ,3.291,3143,,
00:08.9 ,3.438,2649,,
00:08.95 ,3.438,2319,,
00:09 .0,3.438,2098,,
00:09.05 ,3.438,991,,
00:09.1 ,3.438,686,,
00:09.15 ,3.623,628,,
00:09.2 ,3.623,520,,
00:09.25 ,3.623,281,,
00:09.3 ,3.623,36,,
00:09.35 ,3.623,26,,
00:09.4 ,3.773,32,,
00:09.45 ,3.773,28,,
00:09.5 ,3.773,38,,
00:09.55 ,3.773,29,,
00:09.6 ,3.773,43,,
00:09.65 ,3.851,2303,,
00:09.7 ,3.851,3075,,
00:09.75 ,3.851,3642,,
00:09.8 ,3.851,3975,,
00:09.85 ,3.851,3939,,
00:09.9 ,3.837,3515,,
00:09.95 ,3.837,2754,,
00:10.0,3.837,1677,,
