Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,1.431,749,,
00:00.05 ,1.431,592,,
00:00.1 ,1.431,3321,,
00:00.15 ,1.431,3374,,
00:00.2 ,1.409,1726,,
00:00.25 ,1.409,1997,,
00:00.3 ,1.409,724,,
00:00.35 ,1.409,1161,,
00:00.4 ,1.409,1451,,
00:00.45 ,1.393,1342,,
00:00.5 ,1.393,1215,,
00:00.55 ,1.393,1290,,
00:00.6 ,1.393,1732,,
00:00.65 ,1.393,1945,,
00:00.7 ,1.377,2508,,
00:00.75 ,1.377,3315,,
00:00.8 ,1.377,3507,,
00:00.85 ,1.377,3376,,
00:00.9 ,1.377,3362,,
00:00.95 ,1.384,3258,,
00:01 .0,1.384,2452,,
00:01.05 ,1.384,3265,,
00:01.1 ,1.384,3154,,
00:01.15 ,1.385,2920,,
00:01.2 ,1.385,2894,,
00:01.25 ,1.385,2758,,
00:01.3 ,1.385,2543,,
00:01.35 ,1.385,2572,,
00:01.4 ,1.39,2630,,
00:01.45 ,1.39,2437,,
00:01.5 ,1.39,2055,,
00:01.55 ,1.39,1783,,
00:01.6 ,1.39,2108,,
00:01.65 ,1.405,2065,,
00:01.7 ,1.405,3088,,
00:01.75 ,1.405,1625,,
00:01.8 ,1.405,1612,,
00:01.85 ,1.405,1847,,
00:01.9 ,1.426,2001,,
00:01.95 ,1.426,2222,,
00:02 .0,1.426,2037,,
00:02.05 ,1.426,1991,,
00:02.1 ,1.426,1716,,
00:02.15 ,1.45,1714,,
00:02.2 ,1.45,2302,,
00:02.25 ,1.45,2275,,
00:02.3 ,1.45,1759,,
00:02.35 ,1.45,1551,,
00:02.4 ,1.448,1588,,
00:02.45 ,1.448,2171,,
00:02.5 ,1.448,2064,,
00:02.55 ,1.448,2009,,
00:02.6 ,1.448,1995,,
00:02.65 ,1.441,2263,,
00:02.7 ,1.441,1847,,
00:02.75 ,1.441,1574,,
00:02.8 ,1.441,1381,,
00:02.85 ,1.441,1374,,
00:02.9 ,1.428,1635,,
00:02.95 ,1.428,1663,,
00:03 .0,1.428,1755,,
00:03.05 ,1.428,1988,,
00:03.1 ,1.428,1913,,
