Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,3.608,0,,
00:00.05 ,3.608,13,,
00:00.1 ,3.608,12,,
00:00.15 ,3.63,14,,
00:00.2 ,3.63,14,,
00:00.25 ,3.63,14,,
00:00.3 ,3.63,18,,
00:00.35 ,3.63,28,,
00:00.4 ,3.631,22,,
00:00.45 ,3.631,16,,
00:00.5 ,3.631,14,,
00:00.55 ,3.631,15,,
00:00.6 ,3.631,14,,
00:00.65 ,3.663,16,,
00:00.7 ,3.663,15,,
00:00.75 ,3.663,17,,
00:00.8 ,3.663,17,,
00:00.85 ,3.663,14,,
00:00.9 ,3.659,19,,
00:00.95 ,3.659,17,,
00:01 .0,3.659,26,,
00:01.05 ,3.659,29,,
00:01.1 ,3.659,77,,
00:01.15 ,3.685,964,,
00:01.2 ,3.685,1204,,
00:01.25 ,3.685,1528,,
00:01.3 ,3.685,2182,,
00:01.35 ,3.685,2437,,
00:01.4 ,3.692,2643,,
00:01.45 ,3.692,2987,,
00:01.5 ,3.692,2872,,
00:01.55 ,3.692,2148,,
00:01.6 ,3.692,2412,,
00:01.65 ,3.677,2718,,
00:01.7 ,3.677,2426,,
00:01.75 ,3.677,2591,,
00:01.8 ,3.677,2709,,
00:01.85 ,3.644,2380,,
00:01.9 ,3.644,1608,,
00:01.95 ,3.644,1985,,
00:02 .0,3.644,1390,,
00:02.05 ,3.644,1296,,
00:02.1 ,3.59,2039,,
00:02.15 ,3.59,2368,,
00:02.2 ,3.59,2127,,
00:02.25 ,3.59,2341,,
00:02.3 ,3.59,2220,,
00:02.35 ,3.591,1982,,
00:02.4 ,3.591,1811,,
00:02.45 ,3.591,1663,,
00:02.5 ,3.591,2151,,
00:02.55 ,3.591,2402,,
00:02.6 ,3.594,2436,,
00:02.65 ,3.594,2411,,
00:02.7 ,3.594,2359,,
00:02.75 ,3.594,2441,,
00:02.8 ,3.594,2410,,
00:02.85 ,3.627,2341,,
00:02.9 ,3.627,2725,,
00:02.95 ,3.627,2689,,
00:03 .0,3.627,2851,,
00:03.05 ,3.627,3966,,
00:03.1 ,3.649,3974,,
00:03.15 ,3.649,3973,,
00:03.2 ,3.649,3952,,
00:03.25 ,3.649,3486,,
00:03.3 ,3.649,3207,,
00:03.35 ,3.687,2923,,
00:03.4 ,3.687,2614,,
00:03.45 ,3.687,1320,,
00:03.5 ,3.687,1061,,
00:03.55 ,3.687,1798,,
00:03.6 ,3.792,1598,,
00:03.65 ,3.792,1934,,
00:03.7 ,3.792,2050,,
00:03.75 ,3.792,2168,,
00:03.8 ,3.792,2815,,
00:03.85 ,3.917,3058,,
00:03.9 ,3.917,1848,,
00:03.95 ,3.917,505,,
00:04 .0,3.917,259,,
00:04.05 ,3.917,310,,
00:04.1 ,4.038,283,,
00:04.15 ,4.038,312,,
00:04.2 ,4.038,516,,
00:04.25 ,4.038,986,,
00:04.3 ,4.109,1722,,
00:04.35 ,4.109,2897,,
00:04.4 ,4.109,3022,,
00:04.45 ,4.109,2276,,
00:04.5 ,4.109,1077,,
00:04.55 ,4.094,624,,
00:04.6 ,4.094,982,,
00:04.65 ,4.094,2103,,
00:04.7 ,4.094,2848,,
00:04.75 ,4.094,2886,,
00:04.8 ,4.039,3665,,
00:04.85 ,4.039,2425,,
00:04.9 ,4.039,2417,,
00:04.95 ,4.039,2895,,
00:05 .0,4.039,2732,,
00:05.05 ,4.031,2471,,
00:05.1 ,4.031,2876,,
00:05.15 ,4.031,3295,,
00:05.2 ,4.031,2909,,
00:05.25 ,4.031,1154,,
00:05.3 ,4.044,33,,
00:05.35 ,4.044,19,,
00:05.4 ,4.044,15,,
00:05.45 ,4.044,13,,
00:05.5 ,4.044,16,,
00:05.55 ,3.969,19,,
00:05.6 ,3.969,21,,
00:05.65 ,3.969,30,,
00:05.7 ,3.969,47,,
00:05.75 ,3.969,1123,,
00:05.8 ,3.903,1640,,
00:05.85 ,3.903,2632,,
00:05.9 ,3.903,3221,,
00:05.95 ,3.903,3773,,
00:06 .0,3.903,3192,,
00:06.05 ,3.876,2848,,
00:06.1 ,3.876,2630,,
00:06.15 ,3.876,2484,,
00:06.2 ,3.876,2507,,
00:06.25 ,3.876,2971,,
00:06.3 ,3.888,2776,,
00:06.35 ,3.888,2660,,
00:06.4 ,3.888,3147,,
00:06.45 ,3.888,3538,,
00:06.5 ,3.888,3001,,
00:06.55 ,3.949,3016,,
00:06.6 ,3.949,3239,,
00:06.65 ,3.949,3456,,
00:06.7 ,3.949,3117,,
00:06.75 ,4.028,3427,,
00:06.8 ,4.028,3016,,
00:06.85 ,4.028,2983,,
00:06.9 ,4.028,2407,,
00:06.95 ,4.028,2073,,
00:07 .0,4.082,1649,,
00:07.05 ,4.082,1604,,
00:07.1 ,4.082,1606,,
00:07.15 ,4.082,1791,,
00:07.2 ,4.082,2393,,
00:07.25 ,4.18,2587,,
00:07.3 ,4.18,2924,,
00:07.35 ,4.18,3080,,
00:07.4 ,4.18,3153,,
00:07.45 ,4.18,3011,,
00:07.5 ,4.327,2735,,
00:07.55 ,4.327,2927,,
00:07.6 ,4.327,2881,,
00:07.65 ,4.327,2721,,
00:07.7 ,4.327,3055,,
00:07.75 ,4.504,2430,,
00:07.8 ,4.504,2436,,
00:07.85 ,4.504,2872,,
00:07.9 ,4.504,2944,,
00:07.95 ,4.504,2550,,
00:08 .0,4.63,2625,,
00:08.05 ,4.63,2533,,
00:08.1 ,4.63,2367,,
00:08.15 ,4.63,2101,,
00:08.2 ,4.63,892,,
00:08.25 ,4.551,866,,
00:08.3 ,4.551,286,,
00:08.35 ,4.551,37,,
00:08.4 ,4.551,32,,
00:08.45 ,4.551,30,,
00:08.5 ,4.462,23,,
00:08.55 ,4.462,17,,
00:08.6 ,4.462,28,,
00:08.65 ,4.462,29,,
00:08.7 ,4.462,28,,
00:08.75 ,4.316,33,,
00:08.8 ,4.316,46,,
00:08.85 ,4.316,407,,
00:08.9 ,4.316,669,,
00:08.95 ,4.316,1456,,
00:09 .0,4.229,2349,,
00:09.05 ,4.229,2796,,
00:09.1 ,4.229,3005,,
00:09.15 ,4.229,2500,,
00:09.2 ,4.27,2871,,
00:09.25 ,4.27,2515,,
00:09.3 ,4.27,3220,,
00:09.35 ,4.27,2857,,
00:09.4 ,4.27,2880,,
00:09.45 ,4.402,3325,,
00:09.5 ,4.402,1868,,
00:09.55 ,4.402,34,,
00:09.6 ,4.402,26,,
00:09.65 ,4.402,30,,
00:09.7 ,4.587,47,,
00:09.75 ,4.587,540,,
00:09.8 ,4.587,1601,,
00:09.85 ,4.587,1600,,
00:09.9 ,4.587,1786,,
00:09.95 ,4.561,1902,,
00:10.0,4.561,1914,,
00:10.05,4.561,2918,,
00:10.1,4.561,2702,,
00:10.15,4.561,2431,,
00:10.2,4.374,3257,,
00:10.25,4.374,3780,,
00:10.3,4.374,3448,,
00:10.35,4.374,3069,,
00:10.4,4.374,2928,,
00:10.45,4.18,2802,,
00:10.5,4.18,2579,,
00:10.55,4.18,2298,,
00:10.6,4.18,2284,,
00:10.65,4.18,1873,,
00:10.7,4.145,2537,,
00:10.75,4.145,2182,,
00:10.8,4.145,2511,,
00:10.85,4.145,2375,,
00:10.9,4.145,2442,,
00:10.95,4.74,2401,,
00:11.0,4.74,3099,,
00:11.05,4.74,2554,,
00:11.1,4.74,2632,,
00:11.15,4.74,2574,,
00:11.2,5.831,2519,,
00:11.25,5.831,2178,,
00:11.3,5.831,2275,,
00:11.35,5.831,2385,,
00:11.4,5.831,2447,,
00:11.45,6.937,2761,,
00:11.5,6.937,2399,,
00:11.55,6.937,2483,,
00:11.6,6.937,2624,,
00:11.65,6.937,2749,,
00:11.7,8.304,2374,,
00:11.75,8.304,2336,,
00:11.8,8.304,2337,,
00:11.85,8.304,2435,,
00:11.9,8.063,2786,,
00:11.95,8.063,2586,,
00:12.0,8.063,2740,,
00:12.05,8.063,2899,,
00:12.1,8.063,3372,,
00:12.15,7.043,2589,,
00:12.2,7.043,2355,,
00:12.25,7.043,2531,,
00:12.3,7.043,2413,,
00:12.35,7.043,2451,,
00:12.4,6.185,3433,,
00:12.45,6.185,3938,,
00:12.5,6.185,3627,,
00:12.55,6.185,3821,,
00:12.6,6.185,3083,,
00:12.65,5.238,2672,,
00:12.7,5.238,1931,,
00:12.75,5.238,1724,,
00:12.8,5.238,1700,,
00:12.85,5.238,2763,,
00:12.9,4.81,1840,,
00:12.95,4.81,612,,
00:13.0,4.81,167,,
00:13.05,4.81,111,,
00:13.1,4.81,113,,
00:13.15,4.644,799,,
00:13.2,4.644,1630,,
00:13.25,4.644,43,,
00:13.3,4.644,25,,
00:13.35,4.644,20,,
00:13.4,4.771,19,,
00:13.45,4.771,19,,
00:13.5,4.771,15,,
00:13.55,4.771,13,,
00:13.6,4.771,19,,
00:13.65,4.938,23,,
00:13.7,4.938,29,,
00:13.75,4.938,227,,
00:13.8,4.938,922,,
00:13.85,4.938,1996,,
00:13.9,4.95,3018,,
00:13.95,4.95,3666,,
00:14.0,4.95,3694,,
00:14.05,4.95,3863,,
00:14.1,4.95,3850,,
00:14.15,4.987,3672,,
00:14.2,4.987,3919,,
00:14.25,4.987,3793,,
00:14.3,4.987,3855,,
00:14.35,4.987,3949,,
00:14.4,5.109,3787,,
00:14.45,5.109,3060,,
00:14.5,5.109,2698,,
00:14.55,5.109,1448,,
00:14.6,5.256,964,,
00:14.65,5.256,68,,
00:14.7,5.256,97,,
00:14.75,5.256,1205,,
00:14.8,5.256,2301,,
00:14.85,5.497,2417,,
00:14.9,5.497,2629,,
00:14.95,5.497,2597,,
00:15.0,5.497,2280,,
00:15.05,5.497,2829,,
00:15.1,5.784,2446,,
00:15.15,5.784,2848,,
00:15.2,5.784,3130,,
00:15.25,5.784,3259,,
00:15.3,5.784,2682,,
00:15.35,5.65,2673,,
00:15.4,5.65,2798,,
00:15.45,5.65,2681,,
00:15.5,5.65,3529,,
00:15.55,5.65,2471,,
00:15.6,5.378,2366,,
00:15.65,5.378,2529,,
00:15.7,5.378,2697,,
00:15.75,5.378,2548,,
00:15.8,5.378,2838,,
00:15.85,5.07,2889,,
00:15.9,5.07,2986,,
00:15.95,5.07,3102,,
00:16.0,5.07,2922,,
00:16.05,5.07,2793,,
00:16.1,4.686,2950,,
00:16.15,4.686,2328,,
00:16.2,4.686,1974,,
00:16.25,4.686,2009,,
00:16.3,4.686,2026,,
00:16.35,4.473,2073,,
00:16.4,4.473,2069,,
00:16.45,4.473,2808,,
00:16.5,4.473,822,,
00:16.55,4.473,119,,
00:16.6,4.43,54,,
00:16.65,4.43,64,,
00:16.7,4.43,84,,
00:16.75,4.43,248,,
00:16.8,4.43,843,,
00:16.85,4.409,929,,
00:16.9,4.409,1456,,
00:16.95,4.409,2069,,
00:17.0,4.409,2252,,
00:17.05,4.493,1790,,
00:17.1,4.493,960,,
00:17.15,4.493,753,,
00:17.2,4.493,370,,
00:17.25,4.493,1283,,
00:17.3,4.661,824,,
00:17.35,4.661,1072,,
00:17.4,4.661,1497,,
00:17.45,4.661,1888,,
00:17.5,4.661,1468,,
00:17.55,4.801,1696,,
00:17.6,4.801,1890,,
00:17.65,4.801,1586,,
00:17.7,4.801,1847,,
00:17.75,4.801,1283,,
00:17.8,4.895,1766,,
00:17.85,4.895,1592,,
00:17.9,4.895,1830,,
00:17.95,4.895,1354,,
00:18.0,4.895,1215,,
00:18.05,4.915,1375,,
00:18.1,4.915,1708,,
00:18.15,4.915,1873,,
00:18.2,4.915,1908,,
00:18.25,4.915,2418,,
00:18.3,4.938,2694,,
00:18.35,4.938,2826,,
00:18.4,4.938,2669,,
00:18.45,4.938,2599,,
00:18.5,4.938,2593,,
00:18.55,5.107,2375,,
00:18.6,5.107,2502,,
00:18.65,5.107,2508,,
00:18.7,5.107,2848,,
00:18.75,5.107,3038,,
00:18.8,5.194,3269,,
00:18.85,5.194,2986,,
00:18.9,5.194,2772,,
00:18.95,5.194,2648,,
00:19.0,5.194,2750,,
00:19.05,5.261,2610,,
00:19.1,5.261,2863,,
00:19.15,5.261,2626,,
00:19.2,5.261,2989,,
00:19.25,5.261,3025,,
00:19.3,5.207,3206,,
00:19.35,5.207,2971,,
00:19.4,5.207,2978,,
00:19.45,5.207,2828,,
00:19.5,5.037,3011,,
00:19.55,5.037,2696,,
00:19.6,5.037,3098,,
00:19.65,5.037,2299,,
00:19.7,5.037,1958,,
00:19.75,4.852,1846,,
00:19.8,4.852,1519,,
00:19.85,4.852,1150,,
00:19.9,4.852,1352,,
00:19.95,4.852,1916,,
00:20.0,4.646,2547,,
00:20.05,4.646,2199,,
00:20.1,4.646,2987,,
00:20.15,4.646,2385,,
00:20.2,4.646,2554,,
00:20.25,4.551,2201,,
00:20.3,4.551,2375,,
00:20.35,4.551,2088,,
00:20.4,4.551,2731,,
00:20.45,4.551,2565,,
00:20.5,4.512,2093,,
00:20.55,4.512,2020,,
00:20.6,4.512,2442,,
00:20.65,4.512,1171,,
00:20.7,4.512,1385,,
00:20.75,4.644,1868,,
00:20.8,4.644,1607,,
00:20.85,4.644,1035,,
00:20.9,4.644,647,,
00:20.95,4.644,231,,
00:21.0,4.766,79,,
00:21.05,4.766,48,,
00:21.1,4.766,86,,
00:21.15,4.766,499,,
00:21.2,4.766,986,,
00:21.25,4.794,573,,
00:21.3,4.794,689,,
00:21.35,4.794,1282,,
00:21.4,4.794,2414,,
00:21.45,4.794,3125,,
00:21.5,4.745,3191,,
00:21.55,4.745,2991,,
00:21.6,4.745,2181,,
00:21.65,4.745,1695,,
00:21.7,4.745,1566,,
00:21.75,4.632,970,,
00:21.8,4.632,61,,
00:21.85,4.632,29,,
00:21.9,4.632,20,,
00:21.95,4.555,20,,
00:22.0,4.555,22,,
00:22.05,4.555,17,,
00:22.1,4.555,25,,
00:22.15,4.555,28,,
00:22.2,4.445,767,,
00:22.25,4.445,1931,,
00:22.3,4.445,2471,,
00:22.35,4.445,3159,,
00:22.4,4.445,3550,,
00:22.45,4.284,3804,,
00:22.5,4.284,3907,,
00:22.55,4.284,3930,,
00:22.6,4.284,3942,,
00:22.65,4.284,3954,,
00:22.7,4.19,3955,,
00:22.75,4.19,3958,,
00:22.8,4.19,3943,,
00:22.85,4.19,3943,,
00:22.9,4.19,3946,,
00:22.95,4.209,3739,,
00:23.0,4.209,3773,,
00:23.05,4.209,3450,,
00:23.1,4.209,3276,,
00:23.15,4.209,3215,,
00:23.2,4.354,3067,,
00:23.25,4.354,2680,,
00:23.3,4.354,2548,,
00:23.35,4.354,2582,,
00:23.4,4.354,2758,,
00:23.45,4.514,2468,,
00:23.5,4.514,3140,,
00:23.55,4.514,2231,,
00:23.6,4.514,2309,,
00:23.65,4.514,2586,,
00:23.7,4.607,2709,,
00:23.75,4.607,2586,,
00:23.8,4.607,2883,,
00:23.85,4.607,2940,,
00:23.9,4.607,2829,,
00:23.95,4.64,2959,,
00:24.0,4.64,2976,,
00:24.05,4.64,3057,,
00:24.1,4.64,3178,,
00:24.15,4.64,3528,,
00:24.2,4.535,3138,,
00:24.25,4.535,3227,,
00:24.3,4.535,3123,,
00:24.35,4.535,2975,,
00:24.4,4.535,2536,,
00:24.45,4.404,1984,,
00:24.5,4.404,1518,,
00:24.55,4.404,991,,
00:24.6,4.404,1620,,
00:24.65,4.359,1612,,
00:24.7,4.359,1045,,
00:24.75,4.359,808,,
00:24.8,4.359,913,,
00:24.85,4.359,542,,
00:24.9,4.339,366,,
00:24.95,4.339,192,,
00:25.0,4.339,512,,
00:25.05,4.339,922,,
00:25.1,4.339,810,,
00:25.15,4.327,483,,
00:25.2,4.327,728,,
00:25.25,4.327,1053,,
00:25.3,4.327,1331,,
00:25.35,4.327,1640,,
00:25.4,4.4,1424,,
00:25.45,4.4,2198,,
00:25.5,4.4,2525,,
00:25.55,4.4,2870,,
00:25.6,4.4,2907,,
00:25.65,4.437,2649,,
00:25.7,4.437,2632,,
00:25.75,4.437,2808,,
00:25.8,4.437,2562,,
00:25.85,4.437,3008,,
00:25.9,4.456,2303,,
00:25.95,4.456,2009,,
00:26.0,4.456,1805,,
00:26.05,4.456,1920,,
00:26.1,4.456,1728,,
00:26.15,4.522,2039,,
00:26.2,4.522,2310,,
00:26.25,4.522,2374,,
00:26.3,4.522,2656,,
00:26.35,4.522,2617,,
00:26.4,4.563,3081,,
00:26.45,4.563,3319,,
00:26.5,4.563,3568,,
00:26.55,4.563,3250,,
00:26.6,4.563,3262,,
00:26.65,4.561,3299,,
00:26.7,4.561,3331,,
00:26.75,4.561,3216,,
00:26.8,4.561,3596,,
00:26.85,4.561,3182,,
00:26.9,4.543,3297,,
00:26.95,4.543,3453,,
00:27.0,4.543,3337,,
00:27.05,4.543,2999,,
00:27.1,4.532,3011,,
00:27.15,4.532,3057,,
00:27.2,4.532,2933,,
00:27.25,4.532,3062,,
00:27.3,4.532,2808,,
00:27.35,4.522,2859,,
00:27.4,4.522,2984,,
00:27.45,4.522,3065,,
00:27.5,4.522,2741,,
00:27.55,4.522,2668,,
00:27.6,4.522,2592,,
00:27.65,4.522,2474,,
00:27.7,4.522,1929,,
00:27.75,4.522,1465,,
00:27.8,4.522,1007,,
00:27.85,4.524,1187,,
00:27.9,4.524,1966,,
00:27.95,4.524,2016,,
00:28.0,4.524,2168,,
00:28.05,4.524,2353,,
00:28.1,4.534,2347,,
00:28.15,4.534,2224,,
00:28.2,4.534,2246,,
00:28.25,4.534,2309,,
00:28.3,4.534,2522,,
00:28.35,4.534,2697,,
00:28.4,4.534,2814,,
00:28.45,4.534,2548,,
00:28.5,4.534,2415,,
00:28.55,4.534,2385,,
00:28.6,4.547,2395,,
00:28.65,4.547,1523,,
00:28.7,4.547,1662,,
00:28.75,4.547,1303,,
00:28.8,4.547,1538,,
00:28.85,4.567,2007,,
00:28.9,4.567,2342,,
00:28.95,4.567,2248,,
00:29.0,4.567,2386,,
00:29.05,4.567,2504,,
00:29.1,4.569,2682,,
00:29.15,4.569,2559,,
00:29.2,4.569,2834,,
00:29.25,4.569,2574,,
00:29.3,4.569,2634,,
00:29.35,4.583,2817,,
00:29.4,4.583,2804,,
00:29.45,4.583,2486,,
00:29.5,4.583,2356,,
00:29.55,4.583,2392,,
00:29.6,4.597,2426,,
00:29.65,4.597,2365,,
00:29.7,4.597,2750,,
00:29.75,4.597,2275,,
00:29.8,4.605,2369,,
00:29.85,4.605,2495,,
00:29.9,4.605,2597,,
