Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,2.087,1724,,
00:00.05 ,2.087,1881,,
00:00.1 ,2.087,1754,,
00:00.15 ,2.116,1842,,
00:00.2 ,2.116,1778,,
00:00.25 ,2.116,2344,,
00:00.3 ,2.116,2129,,
00:00.35 ,2.116,2261,,
00:00.4 ,2.191,2286,,
00:00.45 ,2.191,2471,,
00:00.5 ,2.191,2099,,
00:00.55 ,2.191,1849,,
00:00.6 ,2.191,1913,,
00:00.65 ,2.231,1895,,
00:00.7 ,2.231,2039,,
00:00.75 ,2.231,1958,,
00:00.8 ,2.231,1998,,
00:00.85 ,2.231,2165,,
00:00.9 ,2.248,2045,,
00:00.95 ,2.248,1973,,
00:01 .0,2.248,1669,,
00:01.05 ,2.248,2213,,
00:01.1 ,2.248,2237,,
00:01.15 ,2.267,2365,,
00:01.2 ,2.267,2533,,
00:01.25 ,2.267,1955,,
00:01.3 ,2.267,1900,,
00:01.35 ,2.267,1882,,
00:01.4 ,2.287,2004,,
00:01.45 ,2.287,2012,,
00:01.5 ,2.287,2007,,
00:01.55 ,2.287,2100,,
00:01.6 ,2.287,2224,,
00:01.65 ,2.296,2045,,
00:01.7 ,2.296,2064,,
00:01.75 ,2.296,2218,,
00:01.8 ,2.296,2131,,
00:01.85 ,2.297,2169,,
00:01.9 ,2.297,2383,,
00:01.95 ,2.297,2481,,
00:02 .0,2.297,1999,,
00:02.05 ,2.297,1891,,
00:02.1 ,2.293,1824,,
00:02.15 ,2.293,1928,,
00:02.2 ,2.293,1919,,
00:02.25 ,2.293,2161,,
00:02.3 ,2.293,1997,,
00:02.35 ,2.274,2185,,
00:02.4 ,2.274,2584,,
00:02.45 ,2.274,2849,,
00:02.5 ,2.274,3041,,
00:02.55 ,2.274,1915,,
00:02.6 ,2.303,2225,,
00:02.65 ,2.303,3282,,
00:02.7 ,2.303,3771,,
00:02.75 ,2.303,2985,,
00:02.8 ,2.303,2205,,
00:02.85 ,2.285,1985,,
00:02.9 ,2.285,1735,,
00:02.95 ,2.285,1591,,
00:03 .0,2.285,1238,,
00:03.05 ,2.285,1492,,
00:03.1 ,2.227,1668,,
00:03.15 ,2.227,35,,
00:03.2 ,2.227,57,,
00:03.25 ,2.227,62,,
00:03.3 ,2.227,1568,,
00:03.35 ,2.206,2230,,
00:03.4 ,2.206,2524,,
00:03.45 ,2.206,2405,,
00:03.5 ,2.206,1842,,
00:03.55 ,2.206,1863,,
00:03.6 ,2.178,1959,,
00:03.65 ,2.178,2155,,
00:03.7 ,2.178,2280,,
00:03.75 ,2.178,2252,,
00:03.8 ,2.178,2262,,
00:03.85 ,2.18,2239,,
00:03.9 ,2.18,2151,,
00:03.95 ,2.18,2297,,
00:04 .0,2.18,1994,,
00:04.05 ,2.18,2372,,
00:04.1 ,2.231,2486,,
00:04.15 ,2.231,2700,,
00:04.2 ,2.231,2661,,
00:04.25 ,2.231,1622,,
00:04.3 ,2.425,1701,,
00:04.35 ,2.425,2567,,
00:04.4 ,2.425,1678,,
00:04.45 ,2.425,822,,
