Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,1.64,1549,,
00:00.05 ,1.641,1527,,
00:00.1 ,1.641,2652,,
00:00.15 ,1.641,1890,,
00:00.2 ,1.641,2142,,
00:00.25 ,1.641,2234,,
00:00.3 ,1.664,2559,,
00:00.35 ,1.664,2488,,
00:00.4 ,1.664,2085,,
00:00.45 ,1.664,2131,,
00:00.5 ,1.71,2088,,
00:00.55 ,1.71,2268,,
00:00.6 ,1.71,2051,,
00:00.65 ,1.71,1939,,
00:00.7 ,1.71,1228,,
00:00.75 ,1.714,1984,,
00:00.8 ,1.714,2058,,
00:00.85 ,1.714,2217,,
00:00.9 ,1.714,2210,,
00:00.95 ,1.714,1639,,
00:01 .0,1.707,1604,,
00:01.05 ,1.707,1530,,
00:01.1 ,1.707,1558,,
00:01.15 ,1.707,1704,,
00:01.2 ,1.707,1454,,
00:01.25 ,1.668,976,,
00:01.3 ,1.668,1565,,
00:01.35 ,1.668,1651,,
00:01.4 ,1.668,1813,,
00:01.45 ,1.668,2098,,
00:01.5 ,1.634,1575,,
00:01.55 ,1.634,1310,,
00:01.6 ,1.634,1299,,
00:01.65 ,1.634,1272,,
00:01.7 ,1.634,1190,,
00:01.75 ,1.649,1231,,
00:01.8 ,1.649,1088,,
00:01.85 ,1.649,356,,
00:01.9 ,1.649,1424,,
00:01.95 ,1.649,1698,,
00:02 .0,1.655,1813,,
00:02.05 ,1.655,1869,,
00:02.1 ,1.655,1313,,
00:02.15 ,1.655,1501,,
00:02.2 ,1.655,1417,,
00:02.25 ,1.668,1275,,
00:02.3 ,1.668,1877,,
00:02.35 ,1.668,1577,,
00:02.4 ,1.668,1575,,
00:02.45 ,1.668,1676,,
00:02.5 ,1.656,1776,,
00:02.55 ,1.656,2272,,
00:02.6 ,1.656,2240,,
00:02.65 ,1.656,2524,,
00:02.7 ,1.656,2109,,
00:02.75 ,1.634,2349,,
00:02.8 ,1.634,2244,,
00:02.85 ,1.634,2190,,
00:02.9 ,1.634,2459,,
00:02.95 ,1.634,2095,,
00:03 .0,1.627,2327,,
00:03.05 ,1.627,2039,,
00:03.1 ,1.627,2361,,
00:03.15 ,1.627,2387,,
00:03.2 ,1.647,3295,,
00:03.25 ,1.647,3329,,
00:03.3 ,1.647,2811,,
00:03.35 ,1.647,2597,,
00:03.4 ,1.647,2709,,
00:03.45 ,1.695,2600,,
00:03.5 ,1.695,2446,,
00:03.55 ,1.695,2405,,
00:03.6 ,1.695,2184,,
00:03.65 ,1.695,2514,,
00:03.7 ,1.728,2267,,
00:03.75 ,1.728,2451,,
00:03.8 ,1.728,2748,,
00:03.85 ,1.728,2400,,
00:03.9 ,1.728,2219,,
00:03.95 ,1.738,2071,,
00:04 .0,1.738,2150,,
00:04.05 ,1.738,2259,,
00:04.1 ,1.738,2164,,
00:04.15 ,1.738,2589,,
00:04.2 ,1.72,2278,,
00:04.25 ,1.72,2218,,
00:04.3 ,1.72,2275,,
00:04.35 ,1.72,2568,,
00:04.4 ,1.72,2593,,
00:04.45 ,1.703,2214,,
00:04.5 ,1.703,2275,,
00:04.55 ,1.703,2486,,
00:04.6 ,1.703,2349,,
00:04.65 ,1.703,2421,,
00:04.7 ,1.721,2213,,
00:04.75 ,1.721,1568,,
00:04.8 ,1.721,2542,,
00:04.85 ,1.721,2648,,
00:04.9 ,1.721,2797,,
00:04.95 ,1.747,2931,,
00:05 .0,1.747,2668,,
00:05.05 ,1.747,2020,,
00:05.1 ,1.747,2781,,
00:05.15 ,1.747,3211,,
00:05.2 ,1.776,3088,,
00:05.25 ,1.776,2829,,
00:05.3 ,1.776,2517,,
00:05.35 ,1.776,1672,,
00:05.4 ,1.776,2274,,
00:05.45 ,1.771,2076,,
00:05.5 ,1.771,2601,,
00:05.55 ,1.771,3011,,
00:05.6 ,1.771,2086,,
00:05.65 ,1.771,579,,
00:05.7 ,1.743,798,,
00:05.75 ,1.743,42,,
00:05.8 ,1.743,1470,,
00:05.85 ,1.743,1714,,
00:05.9 ,1.741,2284,,
00:05.95 ,1.741,1976,,
00:06 .0,1.741,2006,,
00:06.05 ,1.741,2419,,
00:06.1 ,1.741,2903,,
00:06.15 ,1.746,2374,,
00:06.2 ,1.746,2289,,
00:06.25 ,1.746,2205,,
00:06.3 ,1.746,226,,
00:06.35 ,1.746,38,,
00:06.4 ,1.76,36,,
00:06.45 ,1.76,25,,
00:06.5 ,1.76,19,,
00:06.55 ,1.76,9,,
00:06.6 ,1.76,8,,
00:06.65 ,1.775,7,,
00:06.7 ,1.775,6,,
00:06.75 ,1.775,9,,
00:06.8 ,1.775,12,,
00:06.85 ,1.775,16,,
00:06.9 ,1.772,20,,
00:06.95 ,1.772,22,,
00:07 .0,1.772,29,,
00:07.05 ,1.772,38,,
00:07.1 ,1.772,1567,,
00:07.15 ,1.748,2364,,
00:07.2 ,1.748,2528,,
00:07.25 ,1.748,3750,,
00:07.3 ,1.748,3889,,
00:07.35 ,1.748,3934,,
00:07.4 ,1.737,3969,,
00:07.45 ,1.737,3951,,
00:07.5 ,1.737,3984,,
00:07.55 ,1.737,3982,,
00:07.6 ,1.737,3977,,
00:07.65 ,1.98,3974,,
00:07.7 ,1.98,3963,,
00:07.75 ,1.98,3968,,
00:07.8 ,1.98,3844,,
00:07.85 ,1.98,3425,,
00:07.9 ,2.66,2780,,
00:07.95 ,2.66,2593,,
00:08 .0,2.66,2887,,
00:08.05 ,2.66,3306,,
00:08.1 ,2.66,2793,,
00:08.15 ,4.392,2591,,
00:08.2 ,4.392,1977,,
00:08.25 ,4.392,2941,,
00:08.3 ,4.392,3503,,
00:08.35 ,4.392,3714,,
00:08.4 ,10,3529,,
00:08.45 ,10,2765,,
00:08.5 ,10,2715,,
00:08.55 ,10,2795,,
00:08.6 ,10,2539,,
00:08.65 ,10,2394,,
00:08.7 ,10,2231,,
00:08.75 ,10,3027,,
00:08.8 ,10,2251,,
00:08.85 ,10,2242,,
00:08.9 ,10,2309,,
00:08.95 ,10,2496,,
00:09 .0,10,2002,,
00:09.05 ,10,1588,,
00:09.1 ,10,49,,
00:09.15 ,10,30,,
00:09.2 ,10,35,,
00:09.25 ,10,49,,
00:09.3 ,10,2120,,
00:09.35 ,10,3572,,
00:09.4 ,10,1134,,
00:09.45 ,10,213,,
00:09.5 ,10,257,,
00:09.55 ,10,3946,,
00:09.6 ,10,3974,,
00:09.65 ,10,3974,,
00:09.7 ,10,3989,,
00:09.75 ,10,3964,,
00:09.8 ,10,3984,,
00:09.85 ,8.965,3951,,
00:09.9 ,8.965,3912,,
00:09.95 ,8.965,3934,,
00:10.0,8.965,3950,,
00:10.05,8.965,3832,,
00:10.1,3.967,3871,,
00:10.15,3.967,3041,,
00:10.2,3.967,1675,,
00:10.25,3.967,256,,
00:10.3,3.967,82,,
00:10.35,2.469,44,,
00:10.4,2.469,35,,
00:10.45,2.469,235,,
00:10.5,2.469,1024,,
00:10.55,2.469,47,,
00:10.6,2.034,566,,
00:10.65,2.034,525,,
00:10.7,2.034,772,,
00:10.75,2.034,47,,
00:10.8,2.034,36,,
00:10.85,1.899,29,,
00:10.9,1.899,22,,
00:10.95,1.899,18,,
00:11.0,1.899,22,,
00:11.05,1.899,17,,
00:11.1,1.856,23,,
00:11.15,1.856,64,,
00:11.2,1.856,1131,,
00:11.25,1.856,661,,
00:11.3,1.846,2781,,
00:11.35,1.846,3960,,
00:11.4,1.846,3976,,
00:11.45,1.846,3994,,
00:11.5,1.846,3994,,
00:11.55,1.85,3985,,
00:11.6,1.85,3996,,
00:11.65,1.85,4000,,
00:11.7,1.85,3999,,
00:11.75,1.85,3997,,
00:11.8,1.864,3993,,
00:11.85,1.864,4000,,
00:11.9,1.864,4005,,
00:11.95,1.864,4000,,
00:12.0,1.864,3994,,
00:12.05,1.886,3982,,
00:12.1,1.886,3981,,
00:12.15,1.886,3942,,
00:12.2,1.886,1541,,
00:12.25,1.886,25,,
00:12.3,1.905,20,,
00:12.35,1.905,16,,
00:12.4,1.905,21,,
00:12.45,1.905,26,,
00:12.5,1.905,198,,
00:12.55,1.92,666,,
00:12.6,1.92,957,,
00:12.65,1.92,180,,
00:12.7,1.92,40,,
00:12.75,1.92,62,,
00:12.8,1.935,286,,
00:12.85,1.935,1164,,
00:12.9,1.935,3050,,
00:12.95,1.935,2886,,
00:13.0,1.935,3081,,
00:13.05,1.941,3022,,
00:13.1,1.941,3609,,
00:13.15,1.941,3042,,
00:13.2,1.941,2064,,
00:13.25,1.941,1669,,
00:13.3,1.954,1720,,
00:13.35,1.954,2457,,
00:13.4,1.954,2201,,
00:13.45,1.954,2272,,
00:13.5,1.954,2233,,
00:13.55,1.97,1762,,
00:13.6,1.97,2195,,
00:13.65,1.97,2320,,
00:13.7,1.97,2386,,
00:13.75,1.978,1599,,
00:13.8,1.978,1626,,
00:13.85,1.978,1687,,
00:13.9,1.978,1783,,
00:13.95,1.978,2036,,
00:14.0,1.99,1578,,
00:14.05,1.99,2776,,
00:14.1,1.99,2198,,
00:14.15,1.99,2112,,
00:14.2,1.99,2001,,
00:14.25,1.995,2612,,
00:14.3,1.995,2579,,
00:14.35,1.995,1962,,
00:14.4,1.995,1575,,
00:14.45,1.995,2227,,
00:14.5,1.999,2030,,
00:14.55,1.999,2687,,
00:14.6,1.999,2670,,
00:14.65,1.999,3390,,
00:14.7,1.999,2221,,
00:14.75,2.025,2784,,
00:14.8,2.025,3089,,
00:14.85,2.025,3433,,
00:14.9,2.025,3711,,
00:14.95,2.025,3942,,
00:15.0,2.032,3903,,
00:15.05,2.032,2072,,
00:15.1,2.032,2187,,
00:15.15,2.032,2688,,
00:15.2,2.032,1531,,
00:15.25,1.998,711,,
00:15.3,1.998,1006,,
00:15.35,1.998,1310,,
00:15.4,1.998,20,,
