Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,1.154,1994,,
00:00.05 ,1.161,1977,,
00:00.1 ,1.161,1979,,
00:00.15 ,1.161,2175,,
00:00.2 ,1.161,2073,,
00:00.25 ,1.161,2136,,
00:00.3 ,1.174,2177,,
00:00.35 ,1.174,2105,,
00:00.4 ,1.174,1962,,
00:00.45 ,1.174,2102,,
00:00.5 ,1.186,2227,,
00:00.55 ,1.186,2388,,
00:00.6 ,1.186,2068,,
00:00.65 ,1.186,1833,,
00:00.7 ,1.186,1923,,
00:00.75 ,1.227,1977,,
00:00.8 ,1.227,1935,,
00:00.85 ,1.227,1979,,
00:00.9 ,1.227,1969,,
00:00.95 ,1.227,2093,,
00:01 .0,1.267,2032,,
00:01.05 ,1.267,1923,,
00:01.1 ,1.267,2143,,
00:01.15 ,1.267,2052,,
00:01.2 ,1.267,1968,,
00:01.25 ,1.269,2025,,
00:01.3 ,1.269,2168,,
00:01.35 ,1.269,2457,,
00:01.4 ,1.269,2283,,
00:01.45 ,1.269,1909,,
00:01.5 ,1.254,1980,,
00:01.55 ,1.254,2004,,
00:01.6 ,1.254,2048,,
00:01.65 ,1.254,2063,,
00:01.7 ,1.254,2064,,
00:01.75 ,1.208,2102,,
00:01.8 ,1.208,2051,,
00:01.85 ,1.208,1983,,
00:01.9 ,1.208,2461,,
00:01.95 ,1.208,1868,,
00:02 .0,1.164,1974,,
00:02.05 ,1.164,2176,,
00:02.1 ,1.164,2209,,
00:02.15 ,1.164,2375,,
00:02.2 ,1.164,1979,,
00:02.25 ,1.144,2017,,
00:02.3 ,1.144,1899,,
00:02.35 ,1.144,1966,,
00:02.4 ,1.144,1967,,
00:02.45 ,1.144,2011,,
00:02.5 ,1.14,1997,,
00:02.55 ,1.14,2010,,
00:02.6 ,1.14,1964,,
00:02.65 ,1.14,1963,,
00:02.7 ,1.14,1988,,
00:02.75 ,1.136,2137,,
00:02.8 ,1.136,2080,,
00:02.85 ,1.136,2132,,
00:02.9 ,1.136,2067,,
00:02.95 ,1.136,2433,,
00:03 .0,1.141,2229,,
00:03.05 ,1.141,1893,,
00:03.1 ,1.141,1877,,
00:03.15 ,1.141,2049,,
00:03.2 ,1.154,1892,,
00:03.25 ,1.154,1949,,
00:03.3 ,1.154,2102,,
00:03.35 ,1.154,1997,,
00:03.4 ,1.154,2107,,
00:03.45 ,1.155,2035,,
00:03.5 ,1.155,1959,,
00:03.55 ,1.155,2048,,
00:03.6 ,1.155,2183,,
00:03.65 ,1.155,1940,,
00:03.7 ,1.175,2114,,
00:03.75 ,1.175,2048,,
00:03.8 ,1.175,2334,,
00:03.85 ,1.175,2281,,
00:03.9 ,1.175,1922,,
00:03.95 ,1.179,1950,,
00:04 .0,1.179,1683,,
00:04.05 ,1.179,1894,,
00:04.1 ,1.179,1842,,
00:04.15 ,1.179,1688,,
00:04.2 ,1.173,1908,,
00:04.25 ,1.173,1591,,
00:04.3 ,1.173,1659,,
00:04.35 ,1.173,2129,,
00:04.4 ,1.173,2124,,
00:04.45 ,1.185,2426,,
00:04.5 ,1.185,2519,,
00:04.55 ,1.185,2804,,
00:04.6 ,1.185,2513,,
00:04.65 ,1.185,2743,,
00:04.7 ,1.177,2669,,
00:04.75 ,1.177,2633,,
00:04.8 ,1.177,2182,,
00:04.85 ,1.177,2515,,
00:04.9 ,1.177,2414,,
00:04.95 ,1.168,1931,,
00:05 .0,1.168,1964,,
00:05.05 ,1.168,2485,,
00:05.1 ,1.168,2982,,
00:05.15 ,1.168,2078,,
00:05.2 ,1.161,2434,,
00:05.25 ,1.161,1633,,
00:05.3 ,1.161,2071,,
00:05.35 ,1.161,2865,,
00:05.4 ,1.161,2615,,
00:05.45 ,1.148,2588,,
00:05.5 ,1.148,2285,,
00:05.55 ,1.148,1452,,
00:05.6 ,1.148,706,,
00:05.65 ,1.149,400,,
00:05.7 ,1.149,583,,
00:05.75 ,1.149,875,,
00:05.8 ,1.149,912,,
00:05.85 ,1.149,1451,,
00:05.9 ,1.158,1133,,
00:05.95 ,1.158,1128,,
00:06 .0,1.158,1317,,
00:06.05 ,1.158,1640,,
00:06.1 ,1.158,2096,,
00:06.15 ,1.166,1521,,
00:06.2 ,1.166,1468,,
00:06.25 ,1.166,1504,,
00:06.3 ,1.166,1528,,
00:06.35 ,1.166,1620,,
00:06.4 ,1.162,1707,,
00:06.45 ,1.162,1596,,
00:06.5 ,1.162,1889,,
00:06.55 ,1.162,2355,,
00:06.6 ,1.162,1892,,
00:06.65 ,1.144,1905,,
00:06.7 ,1.144,2012,,
00:06.75 ,1.144,2153,,
00:06.8 ,1.144,2407,,
00:06.85 ,1.144,1943,,
00:06.9 ,1.131,1816,,
00:06.95 ,1.131,1871,,
00:07 .0,1.131,1948,,
00:07.05 ,1.131,1930,,
00:07.1 ,1.131,1871,,
00:07.15 ,1.127,2054,,
00:07.2 ,1.127,2018,,
00:07.25 ,1.127,1991,,
00:07.3 ,1.127,2660,,
00:07.35 ,1.127,2145,,
00:07.4 ,1.137,2087,,
00:07.45 ,1.137,2178,,
00:07.5 ,1.137,2214,,
00:07.55 ,1.137,2411,,
00:07.6 ,1.137,2279,,
00:07.65 ,1.145,1943,,
00:07.7 ,1.145,1787,,
00:07.75 ,1.145,1882,,
00:07.8 ,1.145,1977,,
00:07.85 ,1.145,2055,,
00:07.9 ,1.152,2064,,
00:07.95 ,1.152,2149,,
00:08 .0,1.152,2070,,
00:08.05 ,1.152,2269,,
00:08.1 ,1.152,2409,,
00:08.15 ,1.165,2272,,
00:08.2 ,1.165,2266,,
00:08.25 ,1.165,2479,,
00:08.3 ,1.165,2582,,
00:08.35 ,1.165,2232,,
00:08.4 ,1.177,1935,,
00:08.45 ,1.177,1730,,
00:08.5 ,1.177,1752,,
00:08.55 ,1.177,1869,,
00:08.6 ,1.198,1835,,
00:08.65 ,1.198,2052,,
00:08.7 ,1.198,1846,,
00:08.75 ,1.198,1941,,
00:08.8 ,1.198,2160,,
00:08.85 ,1.215,1666,,
00:08.9 ,1.215,1710,,
00:08.95 ,1.215,1279,,
00:09 .0,1.215,1806,,
00:09.05 ,1.215,1955,,
00:09.1 ,1.227,2263,,
00:09.15 ,1.227,1921,,
00:09.2 ,1.227,2372,,
00:09.25 ,1.227,2156,,
00:09.3 ,1.227,1903,,
00:09.35 ,1.234,1859,,
00:09.4 ,1.234,801,,
00:09.45 ,1.234,1237,,
00:09.5 ,1.234,610,,
00:09.55 ,1.234,486,,
00:09.6 ,1.238,74,,
00:09.65 ,1.238,24,,
00:09.7 ,1.238,25,,
00:09.75 ,1.238,27,,
00:09.8 ,1.238,28,,
00:09.85 ,1.248,27,,
00:09.9 ,1.248,28,,
00:09.95 ,1.248,33,,
00:10.0,1.248,26,,
00:10.05,1.248,32,,
00:10.1,1.254,38,,
00:10.15,1.254,49,,
00:10.2,1.254,72,,
00:10.25,1.254,468,,
00:10.3,1.254,750,,
00:10.35,1.259,720,,
00:10.4,1.259,1298,,
00:10.45,1.259,1538,,
00:10.5,1.259,1815,,
00:10.55,1.259,2220,,
00:10.6,1.262,2028,,
00:10.65,1.262,1799,,
00:10.7,1.262,1877,,
00:10.75,1.262,1948,,
00:10.8,1.262,2085,,
00:10.85,1.242,2039,,
00:10.9,1.242,2205,,
00:10.95,1.242,2234,,
00:11.0,1.242,2169,,
00:11.05,1.242,2424,,
00:11.1,1.22,2179,,
00:11.15,1.22,2310,,
00:11.2,1.22,2473,,
00:11.25,1.22,2798,,
00:11.3,1.208,2701,,
00:11.35,1.208,2050,,
00:11.4,1.208,2173,,
00:11.45,1.208,2146,,
00:11.5,1.208,2125,,
00:11.55,1.213,2152,,
00:11.6,1.213,2211,,
00:11.65,1.213,2119,,
00:11.7,1.213,2186,,
00:11.75,1.213,3102,,
00:11.8,1.244,2018,,
00:11.85,1.244,2217,,
00:11.9,1.244,2214,,
00:11.95,1.244,2269,,
00:12.0,1.244,2525,,
00:12.05,1.29,2064,,
00:12.1,1.29,1977,,
00:12.15,1.29,2058,,
00:12.2,1.29,2066,,
00:12.25,1.29,1961,,
00:12.3,1.333,2051,,
00:12.35,1.333,1947,,
00:12.4,1.333,1955,,
00:12.45,1.333,2003,,
00:12.5,1.333,2113,,
00:12.55,1.358,2040,,
00:12.6,1.358,1864,,
00:12.65,1.358,2079,,
00:12.7,1.358,2348,,
00:12.75,1.358,2402,,
00:12.8,1.365,1895,,
00:12.85,1.365,1850,,
00:12.9,1.365,1988,,
00:12.95,1.365,2162,,
00:13.0,1.365,1827,,
00:13.05,1.359,2062,,
00:13.1,1.359,2174,,
00:13.15,1.359,1946,,
00:13.2,1.359,1958,,
00:13.25,1.359,2025,,
00:13.3,1.344,2113,,
00:13.35,1.344,2469,,
00:13.4,1.344,2449,,
00:13.45,1.344,2313,,
00:13.5,1.344,2197,,
00:13.55,1.324,2175,,
00:13.6,1.324,2015,,
00:13.65,1.324,2253,,
00:13.7,1.324,2226,,
00:13.75,1.303,2094,,
00:13.8,1.303,1761,,
00:13.85,1.303,3021,,
00:13.9,1.303,2016,,
00:13.95,1.303,2222,,
00:14.0,1.281,2184,,
00:14.05,1.281,2607,,
00:14.1,1.281,2740,,
00:14.15,1.281,2253,,
00:14.2,1.281,2120,,
00:14.25,1.258,2367,,
00:14.3,1.258,2270,,
00:14.35,1.258,2217,,
00:14.4,1.258,2176,,
00:14.45,1.258,2271,,
00:14.5,1.233,3138,,
00:14.55,1.233,2443,,
00:14.6,1.233,2542,,
00:14.65,1.233,2589,,
00:14.7,1.233,3015,,
00:14.75,1.212,3293,,
00:14.8,1.212,2730,,
00:14.85,1.212,2741,,
00:14.9,1.212,2472,,
00:14.95,1.212,2282,,
00:15.0,1.205,2311,,
00:15.05,1.205,2204,,
00:15.1,1.205,2196,,
00:15.15,1.205,2766,,
00:15.2,1.205,2067,,
00:15.25,1.22,2064,,
00:15.3,1.22,2184,,
00:15.35,1.22,2330,,
00:15.4,1.22,2601,,
00:15.45,1.22,2057,,
00:15.5,1.241,1939,,
00:15.55,1.241,2127,,
00:15.6,1.241,1888,,
00:15.65,1.241,1937,,
00:15.7,1.241,1656,,
00:15.75,1.271,1508,,
00:15.8,1.271,1927,,
00:15.85,1.271,1578,,
00:15.9,1.271,1684,,
00:15.95,1.271,1809,,
00:16.0,1.301,1623,,
00:16.05,1.301,2240,,
00:16.1,1.301,1722,,
00:16.15,1.301,1796,,
00:16.2,1.301,1581,,
00:16.25,1.311,2024,,
00:16.3,1.311,2068,,
00:16.35,1.311,2693,,
00:16.4,1.311,3171,,
00:16.45,1.311,3107,,
00:16.5,1.32,3098,,
00:16.55,1.32,2640,,
00:16.6,1.32,2478,,
00:16.65,1.32,2562,,
00:16.7,1.325,2821,,
00:16.75,1.325,2589,,
00:16.8,1.325,2163,,
00:16.85,1.325,2210,,
00:16.9,1.325,2406,,
00:16.95,1.312,2387,,
00:17.0,1.312,2278,,
00:17.05,1.312,2336,,
00:17.1,1.312,2398,,
00:17.15,1.312,3325,,
00:17.2,1.307,2036,,
00:17.25,1.307,2171,,
00:17.3,1.307,2222,,
00:17.35,1.307,2244,,
00:17.4,1.307,2355,,
00:17.45,1.323,1958,,
00:17.5,1.323,1792,,
00:17.55,1.323,1797,,
00:17.6,1.323,2023,,
00:17.65,1.323,1808,,
00:17.7,1.367,1944,,
00:17.75,1.367,1990,,
00:17.8,1.367,1966,,
00:17.85,1.367,2041,,
00:17.9,1.367,2207,,
00:17.95,1.423,2257,,
00:18.0,1.423,2598,,
00:18.05,1.423,2208,,
00:18.1,1.423,2005,,
00:18.15,1.423,2039,,
00:18.2,1.451,2106,,
00:18.25,1.451,2242,,
00:18.3,1.451,2142,,
00:18.35,1.451,2198,,
00:18.4,1.451,2410,,
00:18.45,1.443,2216,,
00:18.5,1.443,2354,,
00:18.55,1.443,2320,,
00:18.6,1.443,2468,,
00:18.65,1.443,2307,,
00:18.7,1.394,2060,,
00:18.75,1.394,2182,,
00:18.8,1.394,2288,,
00:18.85,1.394,2193,,
00:18.9,1.394,2465,,
00:18.95,1.348,2233,,
00:19.0,1.348,3083,,
00:19.05,1.348,2133,,
00:19.1,1.348,2302,,
00:19.15,1.321,2409,,
00:19.2,1.321,2553,,
00:19.25,1.321,2389,,
00:19.3,1.321,2025,,
00:19.35,1.321,1745,,
00:19.4,1.306,1820,,
00:19.45,1.306,1964,,
00:19.5,1.306,1838,,
00:19.55,1.306,2327,,
00:19.6,1.306,2095,,
00:19.65,1.296,2489,,
00:19.7,1.296,2331,,
00:19.75,1.296,2230,,
00:19.8,1.296,2270,,
00:19.85,1.296,2842,,
00:19.9,1.269,2704,,
00:19.95,1.269,1228,,
00:20.0,1.269,648,,
00:20.05,1.269,25,,
00:20.1,1.269,42,,
00:20.15,1.239,130,,
00:20.2,1.239,1504,,
00:20.25,1.239,2777,,
00:20.3,1.239,3240,,
00:20.35,1.239,2955,,
00:20.4,1.217,3124,,
00:20.45,1.217,2570,,
00:20.5,1.217,2640,,
00:20.55,1.217,2472,,
00:20.6,1.217,1548,,
00:20.65,1.208,1457,,
00:20.7,1.208,1094,,
00:20.75,1.208,1153,,
00:20.8,1.208,1588,,
00:20.85,1.208,1594,,
00:20.9,1.224,1478,,
00:20.95,1.224,1982,,
00:21.0,1.224,1827,,
00:21.05,1.224,1600,,
00:21.1,1.224,1909,,
00:21.15,1.249,2107,,
00:21.2,1.249,2385,,
00:21.25,1.249,2035,,
00:21.3,1.249,2000,,
00:21.35,1.249,1974,,
00:21.4,1.267,1892,,
00:21.45,1.267,2204,,
00:21.5,1.267,2019,,
00:21.55,1.267,2158,,
00:21.6,1.267,2262,,
00:21.65,1.274,2365,,
00:21.7,1.274,2404,,
00:21.75,1.274,2251,,
00:21.8,1.274,2282,,
00:21.85,1.274,2430,,
00:21.9,1.274,2582,,
00:21.95,1.274,2307,,
00:22.0,1.274,2421,,
00:22.05,1.274,2131,,
00:22.1,1.277,2118,,
00:22.15,1.277,2295,,
00:22.2,1.277,2132,,
00:22.25,1.277,2312,,
00:22.3,1.277,2102,,
00:22.35,1.284,2141,,
00:22.4,1.284,2058,,
00:22.45,1.284,2146,,
00:22.5,1.284,1759,,
00:22.55,1.284,1762,,
00:22.6,1.292,1985,,
00:22.65,1.292,1817,,
00:22.7,1.292,1762,,
00:22.75,1.292,1541,,
00:22.8,1.292,1730,,
00:22.85,1.307,1766,,
00:22.9,1.307,1776,,
00:22.95,1.307,1928,,
00:23.0,1.307,1814,,
00:23.05,1.307,2086,,
00:23.1,1.34,2125,,
00:23.15,1.34,2252,,
00:23.2,1.34,2334,,
00:23.25,1.34,2336,,
00:23.3,1.34,2357,,
00:23.35,1.387,2555,,
00:23.4,1.387,2568,,
00:23.45,1.387,2668,,
00:23.5,1.387,2162,,
00:23.55,1.387,1979,,
00:23.6,1.415,2184,,
00:23.65,1.415,2207,,
00:23.7,1.415,1921,,
00:23.75,1.415,2311,,
00:23.8,1.415,2175,,
00:23.85,1.421,2207,,
00:23.9,1.421,2283,,
00:23.95,1.421,2037,,
00:24.0,1.421,2557,,
00:24.05,1.421,2544,,
00:24.1,1.397,2663,,
00:24.15,1.397,2622,,
00:24.2,1.397,2555,,
00:24.25,1.397,2997,,
