Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,2.822,2294,,
00:00.05 ,2.822,2252,,
00:00.1 ,2.822,1667,,
00:00.15 ,2.822,1807,,
00:00.2 ,2.822,1950,,
00:00.25 ,2.833,2102,,
00:00.3 ,2.833,2119,,
00:00.35 ,2.833,2166,,
00:00.4 ,2.833,1893,,
00:00.45 ,2.833,1555,,
00:00.5 ,2.808,1642,,
00:00.55 ,2.808,1347,,
00:00.6 ,2.808,1560,,
00:00.65 ,2.808,1725,,
00:00.7 ,2.808,2023,,
00:00.75 ,2.776,1898,,
00:00.8 ,2.776,1888,,
00:00.85 ,2.776,1982,,
00:00.9 ,2.776,1942,,
00:00.95 ,2.776,1600,,
00:01 .0,2.734,2069,,
00:01.05 ,2.734,2042,,
00:01.1 ,2.734,2249,,
00:01.15 ,2.734,2320,,
00:01.2 ,2.734,2484,,
00:01.25 ,2.692,2044,,
00:01.3 ,2.692,1949,,
00:01.35 ,2.692,2307,,
00:01.4 ,2.692,2226,,
00:01.45 ,2.674,1824,,
00:01.5 ,2.674,1607,,
00:01.55 ,2.674,1898,,
00:01.6 ,2.674,2310,,
00:01.65 ,2.674,2358,,
00:01.7 ,2.651,2101,,
00:01.75 ,2.651,2001,,
00:01.8 ,2.651,1928,,
00:01.85 ,2.651,2005,,
00:01.9 ,2.651,2516,,
00:01.95 ,2.617,2475,,
00:02 .0,2.617,2012,,
00:02.05 ,2.617,1719,,
00:02.1 ,2.617,2236,,
00:02.15 ,2.617,1495,,
00:02.2 ,2.577,2204,,
00:02.25 ,2.577,2014,,
00:02.3 ,2.577,1706,,
00:02.35 ,2.577,1923,,
00:02.4 ,2.577,2016,,
00:02.45 ,2.585,1801,,
00:02.5 ,2.585,1471,,
00:02.55 ,2.585,1726,,
00:02.6 ,2.585,1598,,
00:02.65 ,2.585,1623,,
00:02.7 ,2.652,1860,,
00:02.75 ,2.652,1761,,
00:02.8 ,2.652,1690,,
00:02.85 ,2.652,1667,,
00:02.9 ,2.652,1559,,
00:02.95 ,2.765,1635,,
00:03 .0,2.765,1476,,
00:03.05 ,2.765,1488,,
00:03.1 ,2.765,1890,,
00:03.15 ,2.765,2195,,
00:03.2 ,2.834,1864,,
00:03.25 ,2.834,2114,,
00:03.3 ,2.834,1994,,
00:03.35 ,2.834,2008,,
00:03.4 ,2.834,2325,,
00:03.45 ,2.859,2080,,
00:03.5 ,2.859,2283,,
00:03.55 ,2.859,2079,,
00:03.6 ,2.859,1604,,
00:03.65 ,2.859,1273,,
00:03.7 ,2.85,1614,,
00:03.75 ,2.85,1690,,
00:03.8 ,2.85,1982,,
00:03.85 ,2.85,1965,,
00:03.9 ,2.85,2162,,
00:03.95 ,2.809,2771,,
00:04 .0,2.809,3369,,
00:04.05 ,2.809,3404,,
00:04.1 ,2.809,3670,,
00:04.15 ,2.838,3538,,
00:04.2 ,2.838,3316,,
00:04.25 ,2.838,3438,,
00:04.3 ,2.838,3188,,
00:04.35 ,2.838,3478,,
00:04.4 ,2.852,2945,,
00:04.45 ,2.852,2253,,
00:04.5 ,2.852,2092,,
00:04.55 ,2.852,2456,,
00:04.6 ,2.852,2239,,
00:04.65 ,2.816,2476,,
00:04.7 ,2.816,2337,,
00:04.75 ,2.816,2218,,
00:04.8 ,2.816,2156,,
00:04.85 ,2.816,2155,,
00:04.9 ,2.75,2169,,
00:04.95 ,2.75,1740,,
00:05 .0,2.75,1300,,
00:05.05 ,2.75,950,,
00:05.1 ,2.75,1103,,
00:05.15 ,2.676,1321,,
00:05.2 ,2.676,1424,,
00:05.25 ,2.676,1405,,
00:05.3 ,2.676,1350,,
00:05.35 ,2.676,1283,,
00:05.4 ,2.647,1112,,
00:05.45 ,2.647,1125,,
00:05.5 ,2.647,1602,,
00:05.55 ,2.647,1789,,
00:05.6 ,2.647,1502,,
00:05.65 ,2.686,1392,,
00:05.7 ,2.686,1434,,
00:05.75 ,2.686,1293,,
00:05.8 ,2.686,1356,,
00:05.85 ,2.686,1369,,
00:05.9 ,2.809,1398,,
00:05.95 ,2.809,1566,,
00:06 .0,2.809,1453,,
00:06.05 ,2.809,1523,,
00:06.1 ,2.809,1457,,
00:06.15 ,3.009,1588,,
00:06.2 ,3.009,2058,,
00:06.25 ,3.009,1084,,
00:06.3 ,3.009,1415,,
00:06.35 ,3.009,1389,,
00:06.4 ,3.203,1560,,
00:06.45 ,3.203,1847,,
00:06.5 ,3.203,1912,,
00:06.55 ,3.203,1564,,
00:06.6 ,3.203,1724,,
00:06.65 ,3.345,1744,,
00:06.7 ,3.345,1923,,
00:06.75 ,3.345,1871,,
00:06.8 ,3.345,1834,,
00:06.85 ,3.447,1898,,
00:06.9 ,3.447,1971,,
00:06.95 ,3.447,1978,,
00:07 .0,3.447,1881,,
00:07.05 ,3.447,1907,,
00:07.1 ,3.498,2129,,
00:07.15 ,3.498,1516,,
00:07.2 ,3.498,1859,,
00:07.25 ,3.498,1885,,
00:07.3 ,3.498,1983,,
00:07.35 ,3.547,2014,,
00:07.4 ,3.547,2034,,
00:07.45 ,3.547,1742,,
00:07.5 ,3.547,1785,,
