Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,1.14,2865,,
00:00.05 ,1.14,2766,,
00:00.1 ,1.15,3087,,
00:00.15 ,1.15,2604,,
00:00.2 ,1.15,2783,,
00:00.25 ,1.15,3091,,
00:00.3 ,1.15,2961,,
00:00.35 ,1.153,2819,,
00:00.4 ,1.153,2841,,
00:00.45 ,1.153,3341,,
00:00.5 ,1.153,3189,,
00:00.55 ,1.153,3052,,
00:00.6 ,1.143,1466,,
00:00.65 ,1.143,1206,,
00:00.7 ,1.143,1517,,
00:00.75 ,1.143,2094,,
00:00.8 ,1.143,2429,,
00:00.85 ,1.12,1748,,
00:00.9 ,1.12,1469,,
00:00.95 ,1.12,343,,
00:01 .0,1.12,294,,
00:01.05 ,1.088,51,,
00:01.1 ,1.088,49,,
00:01.15 ,1.088,35,,
00:01.2 ,1.088,30,,
00:01.25 ,1.088,25,,
00:01.3 ,1.056,21,,
00:01.35 ,1.056,18,,
00:01.4 ,1.056,18,,
00:01.45 ,1.056,16,,
00:01.5 ,1.056,17,,
00:01.55 ,1.032,19,,
00:01.6 ,1.032,19,,
00:01.65 ,1.032,15,,
00:01.7 ,1.032,16,,
00:01.75 ,1.032,21,,
00:01.8 ,1.01,26,,
00:01.85 ,1.01,30,,
00:01.9 ,1.01,34,,
00:01.95 ,1.01,34,,
00:02 .0,1.01,55,,
00:02.05 ,0.9943,524,,
00:02.1 ,0.9943,1537,,
00:02.15 ,0.9943,1432,,
00:02.2 ,0.9943,1391,,
00:02.25 ,0.9943,1770,,
00:02.3 ,0.9756,1036,,
00:02.35 ,0.9756,803,,
00:02.4 ,0.9756,590,,
00:02.45 ,0.9756,1207,,
00:02.5 ,0.9756,806,,
00:02.55 ,0.9566,1063,,
00:02.6 ,0.9566,1690,,
00:02.65 ,0.9566,1594,,
00:02.7 ,0.9566,1096,,
00:02.75 ,0.9566,1768,,
00:02.8 ,0.9464,2187,,
00:02.85 ,0.9464,1678,,
00:02.9 ,0.9464,2255,,
00:02.95 ,0.9464,2423,,
00:03 .0,0.9464,2237,,
00:03.05 ,0.9445,3915,,
00:03.1 ,0.9445,3966,,
00:03.15 ,0.9445,3389,,
00:03.2 ,0.9445,1443,,
00:03.25 ,0.9445,446,,
00:03.3 ,0.9393,85,,
00:03.35 ,0.9393,61,,
00:03.4 ,0.9393,59,,
00:03.45 ,0.9393,66,,
00:03.5 ,0.9393,573,,
00:03.55 ,0.9382,96,,
00:03.6 ,0.9382,613,,
00:03.65 ,0.9382,997,,
00:03.7 ,0.9382,1204,,
00:03.75 ,0.9393,1330,,
00:03.8 ,0.9393,1442,,
00:03.85 ,0.9393,1628,,
00:03.9 ,0.9393,1702,,
00:03.95 ,0.9393,1468,,
00:04 .0,0.9292,1472,,
00:04.05 ,0.9292,846,,
00:04.1 ,0.9292,1129,,
00:04.15 ,0.9292,1490,,
00:04.2 ,0.9292,1670,,
00:04.25 ,0.9282,1641,,
00:04.3 ,0.9282,1650,,
00:04.35 ,0.9282,2101,,
00:04.4 ,0.9282,2202,,
00:04.45 ,0.9282,2327,,
00:04.5 ,0.9251,1963,,
00:04.55 ,0.9251,2578,,
00:04.6 ,0.9251,2196,,
00:04.65 ,0.9251,2445,,
00:04.7 ,0.9251,2434,,
00:04.75 ,0.913,2373,,
00:04.8 ,0.913,1950,,
00:04.85 ,0.913,2524,,
00:04.9 ,0.913,1843,,
00:04.95 ,0.913,1699,,
00:05 .0,0.91,2420,,
00:05.05 ,0.91,1997,,
00:05.1 ,0.91,2650,,
00:05.15 ,0.91,2509,,
00:05.2 ,0.91,2935,,
00:05.25 ,0.9169,3903,,
00:05.3 ,0.9169,3951,,
00:05.35 ,0.9169,3957,,
00:05.4 ,0.9169,3974,,
00:05.45 ,0.9169,3989,,
00:05.5 ,0.9372,3966,,
00:05.55 ,0.9372,3686,,
00:05.6 ,0.9372,3927,,
00:05.65 ,0.9372,3905,,
00:05.7 ,0.9372,3969,,
00:05.75 ,0.9659,3979,,
00:05.8 ,0.9659,3979,,
00:05.85 ,0.9659,3958,,
00:05.9 ,0.9659,3893,,
00:05.95 ,0.9659,3628,,
00:06 .0,1.003,3402,,
00:06.05 ,1.003,2984,,
00:06.1 ,1.003,2846,,
00:06.15 ,1.003,3563,,
00:06.2 ,1.003,3040,,
00:06.25 ,1.014,2917,,
00:06.3 ,1.014,3706,,
00:06.35 ,1.014,3899,,
00:06.4 ,1.014,3876,,
00:06.45 ,1.014,3620,,
00:06.5 ,1.003,3308,,
00:06.55 ,1.003,3171,,
00:06.6 ,1.003,3183,,
00:06.65 ,1.003,3343,,
00:06.7 ,0.995,2669,,
00:06.75 ,0.995,2762,,
00:06.8 ,0.995,2828,,
00:06.85 ,0.995,3911,,
00:06.9 ,0.995,3363,,
00:06.95 ,0.978,2572,,
00:07 .0,0.978,1689,,
00:07.05 ,0.978,972,,
00:07.1 ,0.978,867,,
00:07.15 ,0.978,626,,
00:07.2 ,0.9803,229,,
00:07.25 ,0.9803,432,,
00:07.3 ,0.9803,494,,
00:07.35 ,0.9803,1382,,
00:07.4 ,0.9803,2187,,
00:07.45 ,0.9884,1838,,
00:07.5 ,0.9884,1854,,
00:07.55 ,0.9884,1554,,
00:07.6 ,0.9884,1467,,
