Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,2.433,2111,,
00:00.05 ,2.433,2014,,
00:00.1 ,2.433,2173,,
00:00.15 ,2.433,2035,,
00:00.2 ,2.433,1833,,
00:00.25 ,2.433,1427,,
00:00.3 ,2.433,1833,,
00:00.35 ,2.433,1838,,
00:00.4 ,2.433,1925,,
00:00.45 ,2.44,2344,,
00:00.5 ,2.44,1995,,
00:00.55 ,2.44,1740,,
00:00.6 ,2.44,1921,,
00:00.65 ,2.44,1936,,
00:00.7 ,2.454,1966,,
00:00.75 ,2.454,1954,,
00:00.8 ,2.454,2042,,
00:00.85 ,2.454,1896,,
00:00.9 ,2.454,1884,,
00:00.95 ,2.468,2730,,
00:01 .0,2.468,1865,,
00:01.05 ,2.468,1931,,
00:01.1 ,2.468,2082,,
00:01.15 ,2.468,2176,,
00:01.2 ,2.476,2240,,
00:01.25 ,2.476,1948,,
00:01.3 ,2.476,1890,,
00:01.35 ,2.476,2049,,
00:01.4 ,2.476,1999,,
00:01.45 ,2.477,2009,,
00:01.5 ,2.477,1937,,
00:01.55 ,2.477,2154,,
00:01.6 ,2.477,2074,,
00:01.65 ,2.471,1961,,
00:01.7 ,2.471,2905,,
00:01.75 ,2.471,1958,,
00:01.8 ,2.471,2092,,
00:01.85 ,2.471,2104,,
00:01.9 ,2.456,2280,,
00:01.95 ,2.456,2159,,
00:02 .0,2.456,1914,,
00:02.05 ,2.456,1984,,
00:02.1 ,2.456,1965,,
00:02.15 ,2.437,1960,,
00:02.2 ,2.437,1924,,
00:02.25 ,2.437,1997,,
00:02.3 ,2.437,1932,,
00:02.35 ,2.437,2082,,
00:02.4 ,2.416,2224,,
00:02.45 ,2.416,2006,,
00:02.5 ,2.416,2606,,
00:02.55 ,2.416,1785,,
00:02.6 ,2.416,2094,,
00:02.65 ,2.401,2143,,
00:02.7 ,2.401,2249,,
00:02.75 ,2.401,2346,,
00:02.8 ,2.401,2042,,
00:02.85 ,2.401,1826,,
00:02.9 ,2.393,2073,,
00:02.95 ,2.393,2042,,
00:03 .0,2.393,2100,,
