Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,2.939,2016,,
00:00.05 ,2.939,2233,,
00:00.1 ,2.939,2206,,
00:00.15 ,2.939,1954,,
00:00.2 ,2.878,2191,,
00:00.25 ,2.878,2024,,
00:00.3 ,2.878,1789,,
00:00.35 ,2.878,2133,,
00:00.4 ,2.878,2099,,
00:00.45 ,2.819,2040,,
00:00.5 ,2.819,1869,,
00:00.55 ,2.819,1969,,
00:00.6 ,2.819,1932,,
00:00.65 ,2.819,2080,,
00:00.7 ,2.735,1884,,
00:00.75 ,2.735,2720,,
00:00.8 ,2.735,1935,,
00:00.85 ,2.735,1987,,
00:00.9 ,2.735,2024,,
00:00.95 ,2.656,2232,,
00:01 .0,2.656,1926,,
00:01.05 ,2.656,1936,,
00:01.1 ,2.656,2017,,
00:01.15 ,2.656,2052,,
00:01.2 ,2.639,2126,,
00:01.25 ,2.639,1945,,
00:01.3 ,2.639,2848,,
00:01.35 ,2.639,1836,,
00:01.4 ,2.732,1866,,
00:01.45 ,2.732,1813,,
00:01.5 ,2.732,1820,,
00:01.55 ,2.732,1808,,
00:01.6 ,2.732,1644,,
00:01.65 ,2.97,1724,,
00:01.7 ,2.97,1805,,
00:01.75 ,2.97,1946,,
00:01.8 ,2.97,1734,,
00:01.85 ,2.97,2701,,
00:01.9 ,3.159,1772,,
00:01.95 ,3.159,1820,,
00:02 .0,3.159,1888,,
00:02.05 ,3.159,2070,,
00:02.1 ,3.159,1797,,
00:02.15 ,3.241,1760,,
00:02.2 ,3.241,1852,,
00:02.25 ,3.241,1785,,
00:02.3 ,3.241,2031,,
00:02.35 ,3.241,1921,,
00:02.4 ,3.098,3071,,
00:02.45 ,3.098,1908,,
00:02.5 ,3.098,2136,,
00:02.55 ,3.098,2375,,
00:02.6 ,3.098,2437,,
00:02.65 ,2.91,2556,,
00:02.7 ,2.91,2180,,
00:02.75 ,2.91,2581,,
00:02.8 ,2.91,2854,,
00:02.85 ,2.91,2933,,
00:02.9 ,2.816,2505,,
00:02.95 ,2.816,3220,,
00:03 .0,2.816,3168,,
00:03.05 ,2.816,2452,,
00:03.1 ,2.816,2622,,
00:03.15 ,2.778,2219,,
00:03.2 ,2.778,1382,,
00:03.25 ,2.778,1187,,
00:03.3 ,2.778,1109,,
00:03.35 ,2.778,1349,,
00:03.4 ,2.747,2131,,
00:03.45 ,2.747,1730,,
00:03.5 ,2.747,2211,,
00:03.55 ,2.747,1155,,
00:03.6 ,2.747,1717,,
00:03.65 ,2.739,1740,,
00:03.7 ,2.739,1800,,
00:03.75 ,2.739,1460,,
00:03.8 ,2.739,28,,
00:03.85 ,2.758,20,,
00:03.9 ,2.758,14,,
00:03.95 ,2.758,14,,
00:04 .0,2.758,16,,
00:04.05 ,2.758,16,,
00:04.1 ,2.742,17,,
00:04.15 ,2.742,16,,
00:04.2 ,2.742,19,,
00:04.25 ,2.742,18,,
00:04.3 ,2.742,17,,
00:04.35 ,2.717,22,,
00:04.4 ,2.717,25,,
00:04.45 ,2.717,22,,
00:04.5 ,2.717,31,,
00:04.55 ,2.717,32,,
00:04.6 ,2.664,65,,
00:04.65 ,2.664,37,,
00:04.7 ,2.664,64,,
00:04.75 ,2.664,299,,
00:04.8 ,2.664,708,,
00:04.85 ,2.635,903,,
00:04.9 ,2.635,1119,,
00:04.95 ,2.635,1316,,
00:05 .0,2.635,1443,,
00:05.05 ,2.635,1267,,
00:05.1 ,2.654,1978,,
00:05.15 ,2.654,1632,,
00:05.2 ,2.654,1988,,
00:05.25 ,2.654,1818,,
00:05.3 ,2.654,1979,,
00:05.35 ,2.706,1650,,
00:05.4 ,2.706,1795,,
00:05.45 ,2.706,1991,,
00:05.5 ,2.706,2063,,
00:05.55 ,2.706,1792,,
00:05.6 ,2.776,1951,,
00:05.65 ,2.776,2326,,
00:05.7 ,2.776,1931,,
00:05.75 ,2.776,2048,,
00:05.8 ,2.776,2195,,
00:05.85 ,2.789,2220,,
00:05.9 ,2.789,2266,,
00:05.95 ,2.789,1888,,
00:06 .0,2.789,2191,,
00:06.05 ,2.789,2361,,
00:06.1 ,2.768,2303,,
00:06.15 ,2.768,2625,,
00:06.2 ,2.768,2050,,
00:06.25 ,2.768,2121,,
00:06.3 ,2.768,2362,,
00:06.35 ,2.739,2197,,
00:06.4 ,2.739,1999,,
00:06.45 ,2.739,2077,,
00:06.5 ,2.739,2420,,
00:06.55 ,2.71,2268,,
00:06.6 ,2.71,2118,,
00:06.65 ,2.71,2288,,
00:06.7 ,2.71,2256,,
00:06.75 ,2.71,2073,,
00:06.8 ,2.702,2129,,
00:06.85 ,2.702,2412,,
00:06.9 ,2.702,2085,,
00:06.95 ,2.702,1903,,
00:07 .0,2.702,2110,,
00:07.05 ,2.701,2182,,
00:07.1 ,2.701,3261,,
00:07.15 ,2.701,2171,,
00:07.2 ,2.701,2143,,
00:07.25 ,2.701,2189,,
00:07.3 ,2.71,2402,,
00:07.35 ,2.71,2718,,
00:07.4 ,2.71,1954,,
00:07.45 ,2.71,2399,,
00:07.5 ,2.71,2113,,
00:07.55 ,2.721,2192,,
00:07.6 ,2.721,2216,,
00:07.65 ,2.721,2236,,
00:07.7 ,2.721,2199,,
00:07.75 ,2.721,2248,,
00:07.8 ,2.739,2397,,
00:07.85 ,2.739,2128,,
00:07.9 ,2.739,1886,,
00:07.95 ,2.739,1264,,
00:08 .0,2.739,615,,
00:08.05 ,2.753,623,,
00:08.1 ,2.753,432,,
00:08.15 ,2.753,743,,
00:08.2 ,2.753,1436,,
00:08.25 ,2.753,2084,,
00:08.3 ,2.745,2520,,
00:08.35 ,2.745,2952,,
00:08.4 ,2.745,3026,,
00:08.45 ,2.745,2564,,
00:08.5 ,2.745,3083,,
00:08.55 ,2.695,2567,,
00:08.6 ,2.695,2654,,
00:08.65 ,2.695,2487,,
00:08.7 ,2.695,2368,,
00:08.75 ,2.622,2603,,
00:08.8 ,2.622,2301,,
00:08.85 ,2.622,2499,,
00:08.9 ,2.622,2407,,
00:08.95 ,2.622,3195,,
00:09 .0,2.556,2350,,
00:09.05 ,2.556,2400,,
00:09.1 ,2.556,2512,,
00:09.15 ,2.556,2531,,
00:09.2 ,2.556,2535,,
00:09.25 ,2.512,2480,,
00:09.3 ,2.512,2625,,
00:09.35 ,2.512,2377,,
00:09.4 ,2.512,2674,,
00:09.45 ,2.512,2257,,
00:09.5 ,2.519,2186,,
00:09.55 ,2.519,2009,,
00:09.6 ,2.519,2047,,
00:09.65 ,2.519,2254,,
00:09.7 ,2.519,2234,,
00:09.75 ,2.586,2501,,
00:09.8 ,2.586,2327,,
00:09.85 ,2.586,1678,,
00:09.9 ,2.586,1701,,
00:09.95 ,2.586,2175,,
00:10.0,2.687,2513,,
00:10.05,2.687,3236,,
00:10.1,2.687,2952,,
00:10.15,2.687,2757,,
00:10.2,2.687,2704,,
00:10.25,2.731,2670,,
