Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,5.114,2313,,
00:00.05 ,5.114,1957,,
00:00.1 ,5.114,2280,,
00:00.15 ,5.114,1810,,
00:00.2 ,5.134,2413,,
00:00.25 ,5.134,1936,,
00:00.3 ,5.134,2334,,
00:00.35 ,5.134,2330,,
00:00.4 ,5.134,2075,,
00:00.45 ,5.159,2647,,
00:00.5 ,5.159,2539,,
00:00.55 ,5.159,2526,,
00:00.6 ,5.159,2273,,
00:00.65 ,5.159,2424,,
00:00.7 ,5.199,2414,,
00:00.75 ,5.199,2257,,
00:00.8 ,5.199,2671,,
00:00.85 ,5.199,2319,,
00:00.9 ,5.199,2431,,
00:00.95 ,5.264,2113,,
00:01 .0,5.264,2613,,
00:01.05 ,5.264,2360,,
00:01.1 ,5.264,2049,,
00:01.15 ,5.306,2182,,
00:01.2 ,5.306,2188,,
00:01.25 ,5.306,1980,,
00:01.3 ,5.306,2816,,
00:01.35 ,5.306,2076,,
00:01.4 ,5.279,1724,,
00:01.45 ,5.279,2109,,
00:01.5 ,5.279,2412,,
00:01.55 ,5.279,2416,,
00:01.6 ,5.279,1847,,
00:01.65 ,5.303,1967,,
00:01.7 ,5.303,2174,,
00:01.75 ,5.303,1943,,
00:01.8 ,5.303,2491,,
00:01.85 ,5.303,2118,,
00:01.9 ,5.4,1809,,
00:01.95 ,5.4,2285,,
00:02 .0,5.4,2481,,
00:02.05 ,5.4,2248,,
00:02.1 ,5.4,2104,,
00:02.15 ,5.577,1866,,
00:02.2 ,5.577,1900,,
00:02.25 ,5.577,1916,,
00:02.3 ,5.577,1740,,
00:02.35 ,5.577,1840,,
00:02.4 ,5.837,2268,,
00:02.45 ,5.837,1541,,
00:02.5 ,5.837,1995,,
00:02.55 ,5.837,1737,,
00:02.6 ,5.837,1505,,
00:02.65 ,6.046,1257,,
00:02.7 ,6.046,1431,,
00:02.75 ,6.046,1315,,
00:02.8 ,6.046,1538,,
00:02.85 ,6.046,2116,,
00:02.9 ,6.098,1260,,
00:02.95 ,6.098,1788,,
00:03 .0,6.098,2143,,
00:03.05 ,6.098,2271,,
00:03.1 ,6.098,2216,,
00:03.15 ,6.111,1834,,
00:03.2 ,6.111,1733,,
00:03.25 ,6.111,1727,,
00:03.3 ,6.111,1799,,
00:03.35 ,6.111,1995,,
00:03.4 ,6.157,1757,,
00:03.45 ,6.157,1277,,
00:03.5 ,6.157,1929,,
00:03.55 ,6.157,1941,,
00:03.6 ,6.157,1604,,
00:03.65 ,5.937,1616,,
00:03.7 ,5.937,1886,,
00:03.75 ,5.937,2373,,
00:03.8 ,5.937,2070,,
00:03.85 ,5.71,1694,,
00:03.9 ,5.71,2502,,
00:03.95 ,5.71,2101,,
00:04 .0,5.71,2118,,
00:04.05 ,5.71,2040,,
00:04.1 ,5.537,2050,,
00:04.15 ,5.537,2122,,
00:04.2 ,5.537,1565,,
00:04.25 ,5.537,1603,,
00:04.3 ,5.537,1500,,
00:04.35 ,5.457,1220,,
00:04.4 ,5.457,1573,,
00:04.45 ,5.457,2156,,
00:04.5 ,5.457,1987,,
00:04.55 ,5.457,2179,,
