Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,2.831,2263,,
00:00.05 ,2.797,2134,,
00:00.1 ,2.797,1886,,
00:00.15 ,2.797,2419,,
00:00.2 ,2.797,1819,,
00:00.25 ,2.797,1480,,
00:00.3 ,2.882,1696,,
00:00.35 ,2.882,1591,,
00:00.4 ,2.882,1219,,
00:00.45 ,2.882,1572,,
00:00.5 ,2.882,1652,,
00:00.55 ,3.026,1735,,
00:00.6 ,3.026,1399,,
00:00.65 ,3.026,1561,,
00:00.7 ,3.026,1307,,
00:00.75 ,3.026,1528,,
00:00.8 ,3.166,1708,,
00:00.85 ,3.166,1952,,
00:00.9 ,3.166,1744,,
00:00.95 ,3.166,1584,,
00:01 .0,3.166,1737,,
00:01.05 ,3.235,1791,,
00:01.1 ,3.235,1707,,
00:01.15 ,3.235,1928,,
00:01.2 ,3.235,1506,,
00:01.25 ,3.235,1699,,
00:01.3 ,3.266,1804,,
00:01.35 ,3.266,1890,,
00:01.4 ,3.266,1614,,
00:01.45 ,3.266,1576,,
00:01.5 ,3.266,1539,,
00:01.55 ,3.292,1626,,
00:01.6 ,3.292,1565,,
00:01.65 ,3.292,1803,,
00:01.7 ,3.292,1578,,
00:01.75 ,3.292,1689,,
00:01.8 ,3.31,1668,,
00:01.85 ,3.31,1956,,
00:01.9 ,3.31,1763,,
00:01.95 ,3.31,1573,,
00:02 .0,3.31,1964,,
00:02.05 ,3.306,2066,,
00:02.1 ,3.306,2196,,
00:02.15 ,3.306,1738,,
00:02.2 ,3.306,2175,,
00:02.25 ,3.306,1583,,
00:02.3 ,3.286,1866,,
00:02.35 ,3.286,2077,,
00:02.4 ,3.286,2358,,
00:02.45 ,3.286,2303,,
00:02.5 ,3.299,2244,,
00:02.55 ,3.299,2138,,
00:02.6 ,3.299,2138,,
00:02.65 ,3.299,1963,,
00:02.7 ,3.299,1993,,
00:02.75 ,3.322,1658,,
00:02.8 ,3.322,2054,,
00:02.85 ,3.322,1992,,
00:02.9 ,3.322,2265,,
00:02.95 ,3.322,2141,,
00:03 .0,3.347,1814,,
00:03.05 ,3.347,1751,,
00:03.1 ,3.347,1925,,
00:03.15 ,3.347,1999,,
00:03.2 ,3.347,1915,,
00:03.25 ,3.356,2491,,
00:03.3 ,3.356,2277,,
00:03.35 ,3.356,2230,,
00:03.4 ,3.356,2306,,
00:03.45 ,3.356,2469,,
00:03.5 ,3.328,2222,,
00:03.55 ,3.328,2155,,
00:03.6 ,3.328,2150,,
00:03.65 ,3.328,2197,,
00:03.7 ,3.328,1972,,
00:03.75 ,3.315,2166,,
00:03.8 ,3.315,1619,,
00:03.85 ,3.315,2063,,
00:03.9 ,3.315,2176,,
00:03.95 ,3.315,2309,,
00:04 .0,3.316,2090,,
00:04.05 ,3.316,1978,,
00:04.1 ,3.316,1999,,
00:04.15 ,3.316,2062,,
00:04.2 ,3.316,1928,,
00:04.25 ,3.314,2003,,
00:04.3 ,3.314,1616,,
00:04.35 ,3.314,1984,,
00:04.4 ,3.314,2027,,
00:04.45 ,3.314,2092,,
00:04.5 ,3.303,2099,,
00:04.55 ,3.303,1849,,
00:04.6 ,3.303,1915,,
00:04.65 ,3.303,2030,,
00:04.7 ,3.303,2108,,
00:04.75 ,3.261,1895,,
00:04.8 ,3.261,2488,,
00:04.85 ,3.261,1928,,
00:04.9 ,3.261,2059,,
00:04.95 ,3.215,2173,,
00:05 .0,3.215,2162,,
00:05.05 ,3.215,2024,,
00:05.1 ,3.215,2076,,
00:05.15 ,3.215,2126,,
00:05.2 ,3.19,2233,,
00:05.25 ,3.19,2145,,
00:05.3 ,3.19,2426,,
00:05.35 ,3.19,2142,,
00:05.4 ,3.19,2315,,
00:05.45 ,3.159,2465,,
00:05.5 ,3.159,2988,,
00:05.55 ,3.159,1764,,
00:05.6 ,3.159,1736,,
00:05.65 ,3.159,2040,,
00:05.7 ,3.124,2603,,
00:05.75 ,3.124,2904,,
00:05.8 ,3.124,2614,,
00:05.85 ,3.124,1910,,
00:05.9 ,3.124,31,,
00:05.95 ,3.094,15,,
00:06 .0,3.094,13,,
00:06.05 ,3.094,15,,
