Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,3.447,1428,,
00:00.05 ,3.447,1594,,
00:00.1 ,3.595,1421,,
00:00.15 ,3.595,1645,,
00:00.2 ,3.595,1778,,
00:00.25 ,3.595,1634,,
00:00.3 ,3.595,1406,,
00:00.35 ,3.814,1682,,
00:00.4 ,3.814,1544,,
00:00.45 ,3.814,1397,,
00:00.5 ,3.814,893,,
00:00.55 ,4.057,953,,
00:00.6 ,4.057,1678,,
00:00.65 ,4.057,1949,,
00:00.7 ,4.057,1197,,
00:00.75 ,4.057,1280,,
00:00.8 ,4.303,919,,
00:00.85 ,4.303,978,,
00:00.9 ,4.303,1508,,
00:00.95 ,4.303,3480,,
00:01 .0,4.303,3264,,
00:01.05 ,4.481,3794,,
00:01.1 ,4.481,3914,,
00:01.15 ,4.481,3760,,
00:01.2 ,4.481,3930,,
00:01.25 ,4.481,3678,,
00:01.3 ,4.47,3051,,
00:01.35 ,4.47,2798,,
00:01.4 ,4.47,3102,,
00:01.45 ,4.47,2964,,
00:01.5 ,4.47,2800,,
00:01.55 ,4.363,2851,,
00:01.6 ,4.363,2892,,
00:01.65 ,4.363,2253,,
00:01.7 ,4.363,2918,,
00:01.75 ,4.363,2633,,
00:01.8 ,4.291,3039,,
00:01.85 ,4.291,3733,,
00:01.9 ,4.291,3469,,
00:01.95 ,4.291,2987,,
00:02 .0,4.291,2947,,
00:02.05 ,4.31,2650,,
00:02.1 ,4.31,3888,,
00:02.15 ,4.31,3874,,
00:02.2 ,4.31,3548,,
00:02.25 ,4.31,3625,,
00:02.3 ,4.294,3579,,
00:02.35 ,4.294,3513,,
00:02.4 ,4.294,3093,,
00:02.45 ,4.294,3050,,
00:02.5 ,4.294,2956,,
00:02.55 ,4.37,3356,,
00:02.6 ,4.37,2996,,
00:02.65 ,4.37,3466,,
00:02.7 ,4.37,3884,,
00:02.75 ,4.37,3901,,
00:02.8 ,4.405,3037,,
00:02.85 ,4.405,2199,,
00:02.9 ,4.405,1809,,
00:02.95 ,4.405,1534,,
00:03 .0,4.405,967,,
00:03.05 ,4.314,1204,,
00:03.1 ,4.314,898,,
00:03.15 ,4.314,820,,
00:03.2 ,4.314,666,,
00:03.25 ,4.233,144,,
00:03.3 ,4.233,431,,
00:03.35 ,4.233,1345,,
00:03.4 ,4.233,2824,,
00:03.45 ,4.233,3601,,
00:03.5 ,4.058,3625,,
00:03.55 ,4.058,2878,,
00:03.6 ,4.058,2592,,
00:03.65 ,4.058,2337,,
00:03.7 ,4.058,1659,,
00:03.75 ,3.801,1612,,
00:03.8 ,3.801,2389,,
00:03.85 ,3.801,2563,,
00:03.9 ,3.801,2448,,
00:03.95 ,3.801,1981,,
00:04 .0,3.598,2531,,
00:04.05 ,3.598,2750,,
00:04.1 ,3.598,2169,,
00:04.15 ,3.598,2928,,
00:04.2 ,3.598,3022,,
00:04.25 ,3.469,2480,,
00:04.3 ,3.469,2753,,
00:04.35 ,3.469,1729,,
00:04.4 ,3.469,2597,,
00:04.45 ,3.469,3265,,
00:04.5 ,3.392,3108,,
00:04.55 ,3.392,3300,,
00:04.6 ,3.392,3153,,
00:04.65 ,3.392,3443,,
00:04.7 ,3.392,3082,,
00:04.75 ,3.367,2776,,
00:04.8 ,3.367,1766,,
00:04.85 ,3.367,264,,
00:04.9 ,3.367,78,,
00:04.95 ,3.367,48,,
00:05 .0,3.313,56,,
00:05.05 ,3.313,71,,
00:05.1 ,3.313,88,,
00:05.15 ,3.313,896,,
00:05.2 ,3.313,1090,,
00:05.25 ,3.185,2043,,
00:05.3 ,3.185,1806,,
00:05.35 ,3.185,2591,,
00:05.4 ,3.185,2430,,
00:05.45 ,3.185,2755,,
00:05.5 ,3.021,3512,,
00:05.55 ,3.021,2944,,
00:05.6 ,3.021,3722,,
00:05.65 ,3.021,2853,,
00:05.7 ,2.907,2789,,
00:05.75 ,2.907,3005,,
00:05.8 ,2.907,3772,,
00:05.85 ,2.907,3774,,
00:05.9 ,2.907,3377,,
00:05.95 ,2.85,2702,,
00:06 .0,2.85,2488,,
00:06.05 ,2.85,1717,,
00:06.1 ,2.85,2166,,
00:06.15 ,2.85,1825,,
00:06.2 ,2.853,1506,,
00:06.25 ,2.853,2100,,
00:06.3 ,2.853,2577,,
00:06.35 ,2.853,2737,,
00:06.4 ,2.853,2089,,
00:06.45 ,2.889,2518,,
00:06.5 ,2.889,2526,,
00:06.55 ,2.889,2730,,
00:06.6 ,2.889,2780,,
00:06.65 ,2.889,1944,,
00:06.7 ,2.835,2027,,
00:06.75 ,2.835,2250,,
00:06.8 ,2.835,1511,,
00:06.85 ,2.835,2253,,
00:06.9 ,2.835,2943,,
00:06.95 ,2.734,2270,,
00:07 .0,2.734,1902,,
00:07.05 ,2.734,1611,,
00:07.1 ,2.734,1846,,
00:07.15 ,2.734,1943,,
00:07.2 ,2.598,1376,,
00:07.25 ,2.598,1448,,
00:07.3 ,2.598,1367,,
00:07.35 ,2.598,1324,,
00:07.4 ,2.598,1669,,
00:07.45 ,2.49,1528,,
00:07.5 ,2.49,1929,,
00:07.55 ,2.49,2720,,
00:07.6 ,2.49,3033,,
00:07.65 ,2.49,2419,,
00:07.7 ,2.456,2886,,
00:07.75 ,2.456,2780,,
00:07.8 ,2.456,2128,,
00:07.85 ,2.456,1560,,
00:07.9 ,2.456,1571,,
00:07.95 ,2.451,2227,,
00:08 .0,2.451,2844,,
00:08.05 ,2.451,2911,,
00:08.1 ,2.451,2475,,
00:08.15 ,2.473,2600,,
00:08.2 ,2.473,1916,,
00:08.25 ,2.473,2060,,
00:08.3 ,2.473,2533,,
00:08.35 ,2.473,2071,,
00:08.4 ,2.482,2228,,
00:08.45 ,2.482,2186,,
00:08.5 ,2.482,2030,,
00:08.55 ,2.482,2197,,
00:08.6 ,2.482,3297,,
00:08.65 ,2.48,3002,,
00:08.7 ,2.48,3107,,
00:08.75 ,2.48,2273,,
00:08.8 ,2.48,124,,
00:08.85 ,2.48,175,,
00:08.9 ,2.447,73,,
00:08.95 ,2.447,137,,
00:09 .0,2.447,612,,
00:09.05 ,2.447,1887,,
00:09.1 ,2.447,2714,,
00:09.15 ,2.408,2920,,
00:09.2 ,2.408,2629,,
00:09.25 ,2.408,2352,,
00:09.3 ,2.408,2294,,
00:09.35 ,2.408,2593,,
00:09.4 ,2.413,2461,,
00:09.45 ,2.413,2384,,
00:09.5 ,2.413,2747,,
00:09.55 ,2.413,1526,,
00:09.6 ,2.413,1918,,
00:09.65 ,2.428,2366,,
00:09.7 ,2.428,2185,,
00:09.75 ,2.428,2424,,
00:09.8 ,2.428,1918,,
00:09.85 ,2.428,1982,,
00:09.9 ,2.467,1844,,
00:09.95 ,2.467,1887,,
00:10.0,2.467,1998,,
00:10.05,2.467,2052,,
00:10.1,2.467,2205,,
00:10.15,2.516,2334,,
00:10.2,2.516,2048,,
00:10.25,2.516,1707,,
00:10.3,2.516,2272,,
00:10.35,2.516,2356,,
00:10.4,2.519,2186,,
00:10.45,2.519,2580,,
00:10.5,2.519,2182,,
00:10.55,2.519,2100,,
00:10.6,2.507,2058,,
00:10.65,2.507,1723,,
00:10.7,2.507,2235,,
00:10.75,2.507,2060,,
00:10.8,2.507,2153,,
00:10.85,2.478,2172,,
00:10.9,2.478,2222,,
00:10.95,2.478,2355,,
00:11.0,2.478,2058,,
00:11.05,2.478,2245,,
00:11.1,2.462,2229,,
00:11.15,2.462,2510,,
00:11.2,2.462,2270,,
