Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,1.626,4041,,
00:00.05 ,1.626,4012,,
00:00.1 ,1.626,4013,,
00:00.15 ,1.626,4015,,
00:00.2 ,1.607,4018,,
00:00.25 ,1.607,4014,,
00:00.3 ,1.607,4019,,
00:00.35 ,1.607,4021,,
00:00.4 ,1.607,4019,,
00:00.45 ,1.596,4017,,
00:00.5 ,1.596,4020,,
00:00.55 ,1.596,4020,,
00:00.6 ,1.596,4021,,
00:00.65 ,1.596,4020,,
00:00.7 ,1.591,4023,,
00:00.75 ,1.591,4021,,
00:00.8 ,1.591,4022,,
00:00.85 ,1.591,4021,,
00:00.9 ,1.591,4023,,
00:00.95 ,1.593,4017,,
00:01 .0,1.593,4022,,
00:01.05 ,1.593,4022,,
00:01.1 ,1.593,4024,,
00:01.15 ,1.593,4020,,
00:01.2 ,1.603,4022,,
00:01.25 ,1.603,4015,,
00:01.3 ,1.603,4015,,
00:01.35 ,1.603,4010,,
00:01.4 ,1.603,1956,,
00:01.45 ,1.593,34,,
00:01.5 ,1.593,29,,
00:01.55 ,1.593,21,,
00:01.6 ,1.593,22,,
00:01.65 ,1.593,26,,
00:01.7 ,1.572,23,,
00:01.75 ,1.572,27,,
00:01.8 ,1.572,29,,
00:01.85 ,1.572,27,,
00:01.9 ,1.572,25,,
00:01.95 ,1.567,5,,
00:02 .0,1.567,28,,
00:02.05 ,1.567,29,,
00:02.1 ,1.567,27,,
00:02.15 ,1.567,36,,
00:02.2 ,1.564,40,,
00:02.25 ,1.564,158,,
00:02.3 ,1.564,79,,
00:02.35 ,1.564,453,,
00:02.4 ,1.593,879,,
00:02.45 ,1.593,1187,,
00:02.5 ,1.593,752,,
00:02.55 ,1.593,257,,
00:02.6 ,1.593,958,,
00:02.65 ,1.643,842,,
00:02.7 ,1.643,1368,,
00:02.75 ,1.643,1393,,
00:02.8 ,1.643,1530,,
00:02.85 ,1.643,1199,,
00:02.9 ,1.676,1986,,
00:02.95 ,1.676,1050,,
00:03 .0,1.676,1294,,
00:03.05 ,1.676,1290,,
00:03.1 ,1.676,1752,,
00:03.15 ,1.699,1477,,
00:03.2 ,1.699,1641,,
00:03.25 ,1.699,1396,,
00:03.3 ,1.699,1503,,
00:03.35 ,1.699,1464,,
00:03.4 ,1.71,1672,,
00:03.45 ,1.71,1676,,
00:03.5 ,1.71,1566,,
00:03.55 ,1.71,1965,,
00:03.6 ,1.71,1610,,
00:03.65 ,1.715,1742,,
00:03.7 ,1.715,1684,,
00:03.75 ,1.715,1927,,
00:03.8 ,1.715,1728,,
00:03.85 ,1.715,1585,,
00:03.9 ,1.725,1749,,
00:03.95 ,1.725,1974,,
00:04 .0,1.725,1746,,
00:04.05 ,1.725,2017,,
00:04.1 ,1.725,1941,,
00:04.15 ,1.738,2021,,
00:04.2 ,1.738,2028,,
00:04.25 ,1.738,2018,,
00:04.3 ,1.738,1835,,
00:04.35 ,1.738,2128,,
00:04.4 ,1.757,2302,,
00:04.45 ,1.757,2412,,
00:04.5 ,1.757,2506,,
00:04.55 ,1.757,2237,,
00:04.6 ,1.757,2169,,
00:04.65 ,1.772,2114,,
00:04.7 ,1.772,1833,,
00:04.75 ,1.772,1888,,
00:04.8 ,1.772,1852,,
00:04.85 ,1.773,1827,,
00:04.9 ,1.773,2260,,
00:04.95 ,1.773,1969,,
00:05 .0,1.773,1777,,
00:05.05 ,1.773,2152,,
00:05.1 ,1.763,2404,,
00:05.15 ,1.763,2629,,
00:05.2 ,1.763,2378,,
00:05.25 ,1.763,2356,,
00:05.3 ,1.763,2054,,
00:05.35 ,1.737,3163,,
00:05.4 ,1.737,2405,,
00:05.45 ,1.737,1861,,
00:05.5 ,1.737,2557,,
00:05.55 ,1.737,2425,,
00:05.6 ,1.7,2619,,
00:05.65 ,1.7,3653,,
00:05.7 ,1.7,2898,,
00:05.75 ,1.7,2419,,
00:05.8 ,1.7,2142,,
00:05.85 ,1.66,1938,,
00:05.9 ,1.66,1652,,
00:05.95 ,1.66,1509,,
00:06 .0,1.66,1502,,
00:06.05 ,1.66,1292,,
00:06.1 ,1.626,1506,,
00:06.15 ,1.626,1421,,
00:06.2 ,1.626,971,,
00:06.25 ,1.626,773,,
00:06.3 ,1.626,1776,,
00:06.35 ,1.599,1218,,
00:06.4 ,1.599,1480,,
00:06.45 ,1.599,1844,,
00:06.5 ,1.599,1859,,
00:06.55 ,1.599,1732,,
00:06.6 ,1.591,1364,,
00:06.65 ,1.591,1349,,
00:06.7 ,1.591,1244,,
00:06.75 ,1.591,1419,,
00:06.8 ,1.591,1419,,
00:06.85 ,1.605,1296,,
00:06.9 ,1.605,1664,,
00:06.95 ,1.605,1535,,
00:07 .0,1.605,1903,,
00:07.05 ,1.605,1918,,
00:07.1 ,1.621,1974,,
00:07.15 ,1.621,1938,,
00:07.2 ,1.621,1587,,
00:07.25 ,1.621,1852,,
00:07.3 ,1.651,1753,,
00:07.35 ,1.651,1642,,
00:07.4 ,1.651,1936,,
00:07.45 ,1.651,2158,,
00:07.5 ,1.651,2045,,
00:07.55 ,1.686,2083,,
