Time[Minute] 1,GSR (ID=1) [µS],ECG (ID=1) [Arb],Manual Values,
0,3.303,2820,,
00:00.05 ,3.361,3133,,
00:00.1 ,3.361,3930,,
00:00.15 ,3.361,3980,,
00:00.2 ,3.361,3982,,
00:00.25 ,3.361,3989,,
00:00.3 ,3.444,3989,,
00:00.35 ,3.444,3983,,
00:00.4 ,3.444,3994,,
00:00.45 ,3.444,3995,,
00:00.5 ,3.444,3990,,
00:00.55 ,3.504,3988,,
00:00.6 ,3.504,3994,,
00:00.65 ,3.504,3991,,
00:00.7 ,3.504,3988,,
00:00.75 ,3.552,3991,,
00:00.8 ,3.552,3970,,
00:00.85 ,3.552,3974,,
00:00.9 ,3.552,3963,,
00:00.95 ,3.552,3966,,
00:01 .0,3.564,3969,,
00:01.05 ,3.564,3884,,
00:01.1 ,3.564,3748,,
00:01.15 ,3.564,3682,,
00:01.2 ,3.564,2802,,
00:01.25 ,3.575,2569,,
00:01.3 ,3.575,2379,,
00:01.35 ,3.575,2403,,
00:01.4 ,3.575,2517,,
00:01.45 ,3.575,2686,,
00:01.5 ,3.532,3237,,
00:01.55 ,3.532,2722,,
00:01.6 ,3.532,2681,,
00:01.65 ,3.532,1861,,
00:01.7 ,3.532,322,,
00:01.75 ,3.418,33,,
00:01.8 ,3.418,26,,
00:01.85 ,3.418,15,,
00:01.9 ,3.418,0,,
00:01.95 ,3.418,11,,
00:02 .0,3.389,18,,
00:02.05 ,3.389,15,,
00:02.1 ,3.389,13,,
00:02.15 ,3.389,13,,
00:02.2 ,3.389,13,,
00:02.25 ,3.464,11,,
00:02.3 ,3.464,20,,
00:02.35 ,3.464,17,,
00:02.4 ,3.464,16,,
00:02.45 ,3.464,18,,
00:02.5 ,3.564,16,,
00:02.55 ,3.564,20,,
00:02.6 ,3.564,21,,
00:02.65 ,3.564,23,,
00:02.7 ,3.564,28,,
00:02.75 ,3.696,33,,
00:02.8 ,3.696,45,,
00:02.85 ,3.696,53,,
00:02.9 ,3.696,132,,
00:02.95 ,3.696,829,,
00:03 .0,3.693,1671,,
00:03.05 ,3.693,1906,,
00:03.1 ,3.693,2318,,
00:03.15 ,3.693,2416,,
00:03.2 ,3.558,2824,,
00:03.25 ,3.558,2925,,
00:03.3 ,3.558,2767,,
00:03.35 ,3.558,2669,,
00:03.4 ,3.558,2884,,
00:03.45 ,3.502,2858,,
00:03.5 ,3.502,2550,,
00:03.55 ,3.502,2678,,
00:03.6 ,3.502,2582,,
00:03.65 ,3.502,2707,,
00:03.7 ,3.533,2869,,
00:03.75 ,3.533,2879,,
00:03.8 ,3.533,3000,,
00:03.85 ,3.533,2880,,
00:03.9 ,3.533,2815,,
00:03.95 ,3.601,2516,,
00:04 .0,3.601,2601,,
00:04.05 ,3.601,2831,,
00:04.1 ,3.601,2834,,
00:04.15 ,3.601,2722,,
00:04.2 ,3.578,2456,,
00:04.25 ,3.578,2463,,
00:04.3 ,3.578,2444,,
00:04.35 ,3.578,2461,,
00:04.4 ,3.578,2457,,
00:04.45 ,3.591,2385,,
00:04.5 ,3.591,2304,,
00:04.55 ,3.591,2232,,
00:04.6 ,3.591,2840,,
00:04.65 ,3.591,2174,,
00:04.7 ,3.595,2244,,
00:04.75 ,3.595,2189,,
00:04.8 ,3.595,2282,,
00:04.85 ,3.595,2154,,
00:04.9 ,3.595,2079,,
00:04.95 ,3.615,2080,,
00:05 .0,3.615,2052,,
00:05.05 ,3.615,1987,,
00:05.1 ,3.615,2001,,
00:05.15 ,3.615,1946,,
00:05.2 ,3.737,1895,,
00:05.25 ,3.737,1878,,
00:05.3 ,3.737,2232,,
00:05.35 ,3.737,1649,,
00:05.4 ,3.737,1544,,
00:05.45 ,3.79,1562,,
00:05.5 ,3.79,1868,,
00:05.55 ,3.79,1802,,
00:05.6 ,3.79,1737,,
00:05.65 ,3.79,1777,,
00:05.7 ,3.801,1924,,
00:05.75 ,3.801,1908,,
00:05.8 ,3.801,1888,,
00:05.85 ,3.801,2027,,
00:05.9 ,3.801,2208,,
00:05.95 ,3.801,2221,,
00:06 .0,3.801,2462,,
00:06.05 ,3.801,2191,,
00:06.1 ,3.801,2218,,
00:06.15 ,3.809,2277,,
00:06.2 ,3.809,2273,,
00:06.25 ,3.809,2181,,
00:06.3 ,3.809,2168,,
00:06.35 ,3.809,2155,,
00:06.4 ,3.798,2155,,
00:06.45 ,3.798,2152,,
00:06.5 ,3.798,2211,,
00:06.55 ,3.798,2039,,
00:06.6 ,3.798,2077,,
00:06.65 ,3.792,2108,,
00:06.7 ,3.792,2476,,
00:06.75 ,3.792,1951,,
00:06.8 ,3.792,1991,,
00:06.85 ,3.792,2117,,
00:06.9 ,3.791,2233,,
00:06.95 ,3.791,2144,,
00:07 .0,3.791,2086,,
00:07.05 ,3.791,2129,,
00:07.1 ,3.791,2125,,
00:07.15 ,3.751,2256,,
00:07.2 ,3.751,2291,,
00:07.25 ,3.751,2279,,
00:07.3 ,3.751,2289,,
00:07.35 ,3.751,2216,,
00:07.4 ,3.708,2722,,
00:07.45 ,3.708,2116,,
00:07.5 ,3.708,2090,,
00:07.55 ,3.708,2160,,
00:07.6 ,3.708,2210,,
00:07.65 ,3.672,2067,,
00:07.7 ,3.672,1989,,
00:07.75 ,3.672,1994,,
00:07.8 ,3.672,1860,,
00:07.85 ,3.672,1782,,
00:07.9 ,3.673,1978,,
00:07.95 ,3.673,1975,,
00:08 .0,3.673,2134,,
00:08.05 ,3.673,2061,,
00:08.1 ,3.673,2640,,
00:08.15 ,3.791,2250,,
00:08.2 ,3.791,2031,,
00:08.25 ,3.791,2113,,
00:08.3 ,3.791,2339,,
00:08.35 ,3.791,2263,,
00:08.4 ,4.013,2144,,
00:08.45 ,4.013,1909,,
00:08.5 ,4.013,2047,,
00:08.55 ,4.013,2118,,
00:08.6 ,4.135,2181,,
00:08.65 ,4.135,2025,,
00:08.7 ,4.135,2143,,
00:08.75 ,4.135,2049,,
00:08.8 ,4.135,2144,,
00:08.85 ,4.163,2126,,
00:08.9 ,4.163,2162,,
00:08.95 ,4.163,2298,,
00:09 .0,4.163,2264,,
00:09.05 ,4.163,2113,,
00:09.1 ,4.055,2011,,
00:09.15 ,4.055,2049,,
00:09.2 ,4.055,2023,,
00:09.25 ,4.055,2094,,
00:09.3 ,4.055,1978,,
00:09.35 ,3.85,1979,,
00:09.4 ,3.85,1815,,
00:09.45 ,3.85,1903,,
00:09.5 ,3.85,2188,,
00:09.55 ,3.85,2168,,
00:09.6 ,3.676,2130,,
00:09.65 ,3.676,2071,,
00:09.7 ,3.676,1997,,
00:09.75 ,3.676,1811,,
00:09.8 ,3.676,2049,,
00:09.85 ,3.509,1995,,
00:09.9 ,3.509,2166,,
00:09.95 ,3.509,1981,,
00:10.0,3.509,1917,,
00:10.05,3.509,1937,,
00:10.1,3.42,2005,,
00:10.15,3.42,3286,,
00:10.2,3.42,2145,,
00:10.25,3.42,1669,,
00:10.3,3.42,1837,,
00:10.35,3.392,2841,,
00:10.4,3.392,3116,,
00:10.45,3.392,3043,,
00:10.5,3.392,2688,,
00:10.55,3.392,2301,,
00:10.6,3.464,2181,,
00:10.65,3.464,1888,,
00:10.7,3.464,1866,,
00:10.75,3.464,1529,,
00:10.8,3.464,1501,,
00:10.85,3.591,1853,,
00:10.9,3.591,1143,,
00:10.95,3.591,1162,,
00:11.0,3.591,957,,
00:11.05,3.591,1095,,
00:11.1,3.675,1153,,
00:11.15,3.675,1441,,
00:11.2,3.675,1462,,
00:11.25,3.675,1593,,
00:11.3,3.664,1915,,
00:11.35,3.664,2213,,
00:11.4,3.664,2423,,
00:11.45,3.664,2562,,
00:11.5,3.664,2475,,
00:11.55,3.576,3283,,
00:11.6,3.576,2738,,
00:11.65,3.576,3372,,
00:11.7,3.576,3815,,
00:11.75,3.576,3860,,
00:11.8,3.488,3762,,
00:11.85,3.488,3474,,
00:11.9,3.488,3214,,
00:11.95,3.488,3059,,
00:12.0,3.488,2790,,
00:12.05,3.406,2636,,
00:12.1,3.406,2440,,
00:12.15,3.406,2351,,
00:12.2,3.406,2415,,
00:12.25,3.406,2347,,
00:12.3,3.358,2841,,
00:12.35,3.358,3734,,
00:12.4,3.358,3928,,
00:12.45,3.358,3944,,
00:12.5,3.358,3952,,
00:12.55,3.342,3922,,
00:12.6,3.342,3915,,
00:12.65,3.342,3901,,
00:12.7,3.342,3760,,
00:12.75,3.342,3570,,
00:12.8,3.347,3299,,
00:12.85,3.347,3010,,
00:12.9,3.347,3451,,
00:12.95,3.347,2598,,
00:13.0,3.347,2493,,
00:13.05,3.356,2379,,
00:13.1,3.356,2509,,
00:13.15,3.356,2890,,
00:13.2,3.356,3350,,
00:13.25,3.356,3273,,
00:13.3,3.364,3284,,
00:13.35,3.364,3390,,
00:13.4,3.364,3073,,
00:13.45,3.364,2833,,
00:13.5,3.364,2666,,
00:13.55,3.364,2984,,
00:13.6,3.364,2504,,
00:13.65,3.364,2153,,
00:13.7,3.364,2068,,
00:13.75,3.342,1838,,
00:13.8,3.342,1348,,
00:13.85,3.342,1330,,
00:13.9,3.342,1425,,
00:13.95,3.342,1314,,
00:14.0,3.316,1370,,
00:14.05,3.316,1200,,
00:14.1,3.316,1445,,
00:14.15,3.316,1662,,
00:14.2,3.316,1805,,
00:14.25,3.293,1795,,
00:14.3,3.293,1773,,
00:14.35,3.293,2054,,
00:14.4,3.293,2228,,
00:14.45,3.293,2775,,
00:14.5,3.284,2771,,
00:14.55,3.284,2266,,
00:14.6,3.284,2256,,
00:14.65,3.284,2084,,
00:14.7,3.284,2163,,
00:14.75,3.278,1967,,
00:14.8,3.278,2066,,
