Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 35571,  1959,
0:00.20, 35580,  1949,
0:00.40, 35581,  1846,
0:00.60, 35583,  1751,
0:00.80, 35583,  1994,
0:01.00, 35583,  1681,
0:01.20, 35580,  1808,
0:01.40, 35580,  1982,
0:01.60, 35579,  1889,
0:01.80, 35580,  2055,
0:02.00, 35581,  2115,
0:02.20, 35581,  2283,
0:02.40, 35584,  1674,
0:02.60, 35582,  1932,
0:02.80, 35576,  1986,
0:03.00, 35567,  1900,
0:03.20, 35567,  1652,
0:03.40, 35557,  1829,
0:03.60, 35546,  1941,
0:03.80, 35538,  1703,
0:04.00, 35533,  2082,
0:04.20, 35528,  1999,
0:04.40, 35528,  2042,
0:04.60, 35524,  2047,
0:04.80, 35520,  1953,
0:05.00, 35514,  1912,
0:05.20, 35507,  2177,
0:05.40, 35507,  2339,
0:05.60, 35497,  2031,
0:05.80, 35483,  2036,
0:06.00, 35469,  1900,
0:06.20, 35453,  2186,
0:06.40, 35439,  1951,
0:06.60, 35439,  1885,
0:06.80, 35426,  2195,
0:07.00, 35416,  2033,
0:07.20, 35408,  1957,
0:07.40, 35404,  2038,
0:07.60, 35404,  1815,
0:07.80, 35403,  2233,
0:08.00, 35404,  2048,
0:08.20, 35408,  2132,
0:08.40, 35411,  2006,
0:08.60, 35411,  2047,
0:08.80, 35415,  2037,
0:09.00, 35418,  1978,
0:09.20, 35419,  2027,
0:09.40, 35419,  2162,
0:09.60, 35417,  2154,
0:09.80, 35417,  2086,
0:10.00, 35413,  2096,
0:10.20, 35409,  1970,
0:10.40, 35404,  1957,
0:10.60, 35399,  2109,
0:10.80, 35399,  2230,
0:11.00, 35396,  2290,
0:11.20, 35395,  2231,
0:11.40, 35395,  1912,
0:11.60, 35397,  2091,
0:11.80, 35400,  2219,
0:12.00, 35400,  2156,
0:12.20, 35403,  1962,
0:12.40, 35405,  2132,
0:12.60, 35406,  2131,
0:12.80, 35406,  2131,
0:13.00, 35406,  2010,
0:13.20, 35404,  2209,
0:13.40, 35400,  2279,
0:13.60, 35395,  2025,
0:13.80, 35389,  2249,
0:14.00, 35389,  2144,
0:14.20, 35382,  2300,
0:14.40, 35375,  2112,
0:14.60, 35368,  2169,
0:14.80, 35361,  2220,
0:15.00, 35355,  1800,
0:15.20, 35355,  2178,
0:15.40, 35349,  2000,
0:15.60, 35343,  1971,
0:15.80, 35337,  2086,
0:16.00, 35331,  2223,
0:16.20, 35331,  2069,
0:16.40, 35326,  1930,
0:16.60, 35320,  2130,
0:16.80, 35315,  1894,
0:17.00, 35309,  2141,
0:17.20, 35304,  2354,
