Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
0:42.00, 36149,  3289,
0:42.20, 36104,  2091,
0:42.40, 36097,  2081,
0:42.60, 36074,  1628,
0:42.80, 36074,  1331,
0:43.00, 36022,  1277,
0:43.20, 35932,  1734,
0:43.40, 35809,  1661,
0:43.60, 35726,  1445,
0:43.80, 35714,  3189,
0:44.00, 35714,  2123,
0:44.20, 35759,  2005,
0:44.40, 35824,  1294,
0:44.60, 35824,  1137,
0:44.80, 35743,  2675,
0:45.00, 35743,  3713,
0:45.20, 35625,  1770,
0:45.40, 35521,  2306,
0:45.60, 35468,  1827,
0:45.80, 35419,  1146,
0:46.00, 35326,  1475,
0:46.20, 35326,  2620,
0:46.40, 35211,  2461,
0:46.60, 35097,  1159,
0:46.80, 35044,  1124,
0:47.00, 35071,  2129,
0:47.20, 35071,  2938,
0:47.40, 35143,  2378,
0:47.60, 35237,  2092,
0:47.80, 35300,  2673,
0:48.00, 35220,  1765,
0:48.20, 34980,  1857,
0:48.40, 34980,  1562,
0:48.60, 34678,   772,
0:48.80, 34471,  2212,
0:49.00, 34503,  1850,
0:49.20, 34752,  1742,
0:49.40, 34752,  2187,
0:49.60, 35079,  2432,
0:49.80, 35333,  2518,
0:50.00, 35488,  2212,
0:50.20, 35590,  1642,
0:50.40, 35590,  1390,
0:50.60, 35681,  1636,
0:50.80, 35775,  2252,
0:51.00, 35896,  2057,
0:51.20, 36036,  2278,
0:51.40, 36203,  2921,
0:51.60, 36203,  2542,
0:51.80, 36405,  2058,
0:52.00, 36583,  2226,
0:52.20, 36738,  2166,
0:52.40, 36838,  1979,
0:52.60, 36838,  2098,
0:52.80, 36887,  1821,
0:53.00, 36914,  2381,
0:53.20, 36908,  2114,
0:53.40, 36896,  1249,
0:53.60, 36898,  2385,
0:53.80, 36898,  1924,
0:54.00, 36909,  3148,
0:54.20, 36924,  2455,
0:54.40, 36940,  1885,
0:54.60, 36940,  1879,
0:54.80, 36940,  2094,
0:55.00, 36924,  1834,
0:55.20, 36899,  1834,
0:55.40, 36868,  1842,
0:55.60, 36822,  1847,
0:55.80, 36822,  2045,
0:56.00, 36773,  1781,
0:56.20, 36747,  2359,
0:56.40, 36748,  2012,
0:56.60, 36784,  1893,
0:56.80, 36835,  1886,
0:57.00, 36835,  1742,
0:57.20, 36870,  2063,
0:57.40, 36883,  1775,
0:57.60, 36890,  1714,
0:57.80, 36917,  2307,
0:58.00, 36917,  3041,
0:58.20, 36948,  2383,
0:58.40, 36985,  2200,
0:58.60, 37015,  2349,
0:58.80, 37014,  2207,
0:59.00, 37007,  2432,
0:59.20, 37007,  2290,
