Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
3:02.80, 36778,  2155,
3:03.00, 36768,  2006,
3:03.20, 36754,  1943,
3:03.40, 36748,  2237,
3:03.60, 36753,  2013,
3:03.80, 36753,  2170,
3:04.00, 36760,  1964,
3:04.20, 36767,  2333,
3:04.40, 36770,  1980,
3:04.60, 36769,  1942,
3:04.80, 36769,  2041,
3:05.00, 36766,  1928,
3:05.20, 36762,  2138,
3:05.40, 36763,  2062,
3:05.60, 36761,  2080,
3:05.80, 36763,  1930,
3:06.00, 36763,  2206,
3:06.20, 36750,  2099,
3:06.40, 36747,  2182,
3:06.60, 36766,  2132,
3:06.80, 36770,  2160,
3:07.00, 36770,  2318,
3:07.20, 36790,  2321,
3:07.40, 36804,  2038,
3:07.60, 36795,  2108,
3:07.80, 36804,  1603,
3:08.00, 36804,  2452,
3:08.20, 36810,  1946,
3:08.40, 36805,  2080,
3:08.60, 36800,  1833,
3:08.80, 36787,  2435,
3:09.00, 36776,  2012,
3:09.20, 36776,  2104,
3:09.40, 36775,  2097,
3:09.60, 36783,  2241,
3:09.80, 36802,  2028,
3:10.00, 36828,  2049,
3:10.20, 36828,  2490,
3:10.40, 36857,  2246,
3:10.60, 36882,  2025,
3:10.80, 36899,  2028,
3:11.00, 36923,  2072,
3:11.20, 36957,  2266,
3:11.40, 36957,  1980,
3:11.60, 36996,  2253,
3:11.80, 37032,  2203,
3:12.00, 37048,  2182,
3:12.20, 37041,  2047,
3:12.40, 37041,  2093,
3:12.60, 37022,  2210,
3:12.80, 37000,  2041,
3:13.00, 36979,  2508,
3:13.20, 36960,  2192,
3:13.40, 36941,  2063,
3:13.60, 36941,  1647,
3:13.80, 36925,  2423,
3:14.00, 36912,  2157,
3:14.20, 36901,  2025,
3:14.40, 36893,  2010,
3:14.60, 36893,  2023,
3:14.80, 36886,  1955,
3:15.00, 36881,  2126,
3:15.20, 36876,  1894,
3:15.40, 36873,  2067,
3:15.60, 36873,  1907,
3:15.80, 36869,  2033,
3:16.00, 36865,  1969,
3:16.20, 36866,  2055,
3:16.40, 36895,  2082,
3:16.60, 36907,  2064,
3:16.80, 36907,  2055,
3:17.00, 36911,  2004,
3:17.20, 36904,  2004,
3:17.40, 36867,  2113,
3:17.60, 36852,  2253,
3:17.80, 36852,  2189,
3:18.00, 36848,  2513,
3:18.20, 36851,    41,
3:18.40, 36856,    54,
3:18.60, 36860,  1579,
3:18.80, 36866,  1582,
3:19.00, 36866,  2028,
3:19.20, 36869,  1951,
3:19.40, 36881,  2034,
3:19.60, 36889,  1765,
3:19.80, 36902,  2026,
3:20.00, 36902,  1887,
3:20.20, 36927,  2336,
3:20.40, 36954,  2073,
3:20.60, 36987,  1879,
3:20.80, 37000,  2104,
3:21.00, 37000,  1892,
3:21.20, 36998,  2047,
3:21.40, 36996,  1584,
3:21.60, 37008,  2478,
3:21.80, 37023,  2076,
3:22.00, 37033,  1940,
3:22.20, 37033,  2253,
3:22.40, 37031,  1798,
3:22.60, 37012,  2039,
3:22.80, 37003,  1955,
3:23.00, 37004,  2027,
3:23.20, 37004,  2166,
3:23.40, 37009,  2167,
3:23.60, 37017,  2339,
3:23.80, 37028,  1792,
3:24.00, 37036,  2119,
3:24.20, 37043,  1957,
3:24.40, 37043,  2470,
3:24.60, 37048,  2467,
3:24.80, 37049,  3573,
3:25.00, 37056,  3222,
3:25.20, 37066,  2734,
3:25.40, 37066,  2012,
3:25.60, 37073,  1998,
3:25.80, 37079,  1707,
3:26.00, 37077,  2191,
3:26.20, 37068,  1886,
3:26.40, 37055,  2086,
3:26.60, 37055,  2117,
3:26.80, 37039,  2407,
3:27.00, 37021,  1856,
3:27.20, 37006,  2203,
3:27.40, 36997,  2091,
3:27.60, 36997,  2052,
3:27.80, 36994,  1949,
3:28.00, 36976,  2252,
3:28.20, 36918,  1643,
3:28.40, 36815,  2447,
3:28.60, 36815,  2097,
3:28.80, 36686,  2056,
3:29.00, 36561,  2239,
3:29.20, 36492,  1967,
3:29.40, 36488,  1949,
3:29.60, 36512,  1965,
3:29.80, 36512,  2006,
3:30.00, 36559,  1873,
3:30.20, 36603,  1555,
3:30.40, 36645,  1729,
3:30.60, 36696,  2276,
3:30.80, 36696,  1861,
3:31.00, 36746,  2016,
3:31.20, 36790,  1898,
3:31.40, 36816,  2104,
3:31.60, 36831,  1806,
3:31.80, 36840,  2042,
3:32.00, 36840,  1965,
3:32.20, 36846,  2150,
3:32.40, 36853,  1754,
3:32.60, 36861,  1935,
3:32.80, 36871,  1947,
3:33.00, 36871,  1838,
3:33.20, 36881,  1859,
3:33.40, 36891,  1857,
3:33.60, 36903,  2227,
3:33.80, 36919,  1784,
3:34.00, 36939,  2318,
3:34.20, 36939,  1960,
3:34.40, 36958,  2074,
3:34.60, 36973,  1527,
3:34.80, 36986,  2374,
3:35.00, 37000,  2061,
3:35.20, 37000,  2091,
3:35.40, 37013,  2148,
3:35.60, 37021,  2301,
3:35.80, 37022,  1938,
3:36.00, 37012,  1920,
3:36.20, 37012,  2036,
3:36.40, 36992,  1847,
3:36.60, 36968,  1998,
3:36.80, 36942,  3431,
3:37.00, 36917,  2194,
3:37.20, 36899,  1975,
3:37.40, 36899,  1958,
3:37.60, 36887,  3242,
3:37.80, 36882,  2273,
3:38.00, 36881,  2006,
3:38.20, 36883,  2030,
3:38.40, 36883,  1823,
3:38.60, 36888,  2249,
3:38.80, 36896,  1913,
3:39.00, 36904,  2070,
3:39.20, 36914,  2982,
3:39.40, 36923,  2270,
3:39.60, 36923,  1875,
3:39.80, 36932,  1960,
3:40.00, 36937,  1630,
3:40.20, 36941,  2433,
3:40.40, 36944,  1999,
3:40.60, 36944,  1909,
3:40.80, 36944,  1869,
3:41.00, 36941,  1944,
3:41.20, 36939,  1888,
3:41.40, 36936,  2078,
3:41.60, 36936,  1593,
3:41.80, 36934,  1813,
3:42.00, 36937,  2030,
3:42.20, 36941,  1294,
3:42.40, 36946,  2094,
3:42.60, 36949,  1888,
3:42.80, 36949,  1869,
3:43.00, 36949,  2134,
3:43.20, 36948,  2061,
3:43.40, 36947,  1963,
3:43.60, 36945,  2074,
3:43.80, 36945,  1948,
3:44.00, 36942,  2189,
3:44.20, 36937,  1839,
3:44.40, 36931,  2296,
3:44.60, 36928,  1968,
3:44.80, 36929,  1864,
3:45.00, 36929,  2170,
3:45.20, 36937,  1906,
3:45.40, 36952,  2053,
3:45.60, 36969,  2565,
3:45.80, 36986,  2354,
3:46.00, 36986,  2026,
3:46.20, 37000,  2089,
3:46.40, 37013,  1711,
3:46.60, 37025,  2426,
3:46.80, 37032,  1974,
3:47.00, 37037,  1928,
3:47.20, 37037,  2077,
3:47.40, 37035,  1901,
3:47.60, 37030,  2023,
3:47.80, 37023,  2136,
3:48.00, 37015,  2143,
3:48.20, 37015,  1994,
3:48.40, 37004,  2131,
3:48.60, 36995,  1947,
3:48.80, 36987,  2328,
3:49.00, 36981,  1992,
3:49.20, 36981,  2081,
3:49.40, 36978,  2057,
3:49.60, 36975,  1979,
3:49.80, 36972,  2058,
3:50.00, 36968,  2099,
3:50.20, 36963,  2093,
3:50.40, 36963,  1916,
3:50.60, 36958,  2079,
3:50.80, 36956,  2030,
3:51.00, 36956,  2165,
3:51.20, 36958,  1929,
3:51.40, 36958,  2109,
3:51.60, 36959,  2113,
3:51.80, 36959,  2220,
3:52.00, 36958,  2008,
3:52.20, 36958,  2016,
3:52.40, 36957,  2006,
3:52.60, 36957,  2196,
3:52.80, 36959,  1987,
3:53.00, 36962,  2150,
3:53.20, 36961,  1585,
3:53.40, 36959,  2456,
3:53.60, 36959,  1994,
3:53.80, 36955,  2099,
3:54.00, 36945,  2006,
3:54.20, 36938,  2025,
3:54.40, 36931,  1977,
3:54.60, 36931,  2092,
3:54.80, 36924,  2104,
3:55.00, 36919,  2132,
3:55.20, 36918,  2086,
3:55.40, 36919,  1984,
3:55.60, 36920,  2184,
3:55.80, 36920,  1927,
3:56.00, 36923,  2083,
3:56.20, 36924,  2065,
3:56.40, 36922,  2175,
3:56.60, 36921,  2021,
3:56.80, 36921,  2079,
3:57.00, 36919,  2114,
3:57.20, 36917,  2030,
3:57.40, 36919,  2108,
3:57.60, 36918,  2002,
3:57.80, 36916,  2143,
3:58.00, 36916,  2058,
3:58.20, 36916,  2196,
3:58.40, 36913,  1960,
3:58.60, 36911,  2097,
3:58.80, 36910,  2093,
3:59.00, 36910,  2100,
3:59.20, 36906,  2062,
3:59.40, 36904,  2070,
3:59.60, 36902,  2074,
3:59.80, 36899,  2207,
4:00.00, 36897,  1997,
4:00.20, 36897,  2104,
4:00.40, 36896,  1841,
4:00.60, 36894,  2227,
4:00.80, 36892,  1927,
4:01.00, 36893,  2076,
4:01.20, 36893,  1976,
4:01.40, 36895,  2117,
4:01.60, 36901,  1912,
4:01.80, 36913,  2152,
4:02.00, 36927,  2067,
4:02.20, 36927,  1994,
4:02.40, 36944,  2070,
4:02.60, 36963,  1979,
4:02.80, 36978,  2117,
4:03.00, 36994,  1815,
4:03.20, 37004,  2462,
4:03.40, 37004,  1958,
4:03.60, 37009,  2187,
4:03.80, 37013,  2199,
4:04.00, 37009,  2346,
4:04.20, 37006,  1998,
4:04.40, 37006,  2144,
4:04.60, 37007,  2000,
4:04.80, 37004,  2319,
4:05.00, 36998,  2137,
4:05.20, 36991,  1909,
4:05.40, 36978,  2049,
4:05.60, 36978,  1927,
4:05.80, 36969,  2021,
4:06.00, 36964,  2976,
4:06.20, 36963,  2313,
4:06.40, 36960,  2021,
4:06.60, 36960,  1939,
4:06.80, 36954,  2149,
4:07.00, 36945,  1882,
4:07.20, 36940,  2073,
4:07.40, 36938,  1940,
4:07.60, 36937,  2073,
4:07.80, 36937,  1970,
4:08.00, 36941,  1932,
4:08.20, 36939,  2077,
4:08.40, 36941,  1825,
4:08.60, 36944,  2136,
4:08.80, 36944,  2057,
4:09.00, 36944,  1957,
4:09.20, 36944,  2373,
4:09.40, 36937,  2052,
4:09.60, 36928,  1904,
4:09.80, 36928,  1867,
4:10.00, 36922,  2255,
4:10.20, 36915,  1964,
4:10.40, 36908,  1949,
4:10.60, 36899,  1931,
4:10.80, 36889,  2246,
4:11.00, 36889,  1916,
4:11.20, 36880,  2093,
4:11.40, 36876,  1995,
4:11.60, 36874,  2188,
4:11.80, 36861,  1960,
4:12.00, 36861,  2175,
4:12.20, 36832,  1989,
4:12.40, 36798,  1534,
4:12.60, 36766,  2598,
4:12.80, 36743,  2012,
4:13.00, 36739,  2197,
4:13.20, 36739,  2101,
4:13.40, 36729,  2220,
4:13.60, 36707,  1815,
4:13.80, 36680,  2021,
4:14.00, 36637,  2009,
4:14.20, 36637,  2306,
4:14.40, 36600,  1990,
4:14.60, 36579,  2113,
4:14.80, 36580,  3204,
4:15.00, 36610,  2383,
4:15.20, 36610,  2088,
4:15.40, 36630,  2201,
4:15.60, 36649,  2124,
4:15.80, 36657,  2277,
4:16.00, 36638,  2467,
4:16.20, 36618,  2809,
4:16.40, 36618,  2667,
4:16.60, 36578,  2209,
4:16.80, 36543,  2155,
4:17.00, 36533,  1510,
4:17.20, 36549,  2109,
4:17.40, 36549,  2360,
4:17.60, 36547,  2406,
4:17.80, 36508,  2706,
4:18.00, 36485,  2311,
4:18.20, 36470,  2146,
4:18.40, 36486,  2063,
4:18.60, 36486,  2318,
4:18.80, 36507,  1598,
4:19.00, 36460,  1688,
4:19.20, 36361,  1812,
4:19.40, 36261,  3050,
4:19.60, 36261,  1776,
4:19.80, 36205,  2338,
4:20.00, 36211,  3022,
4:20.20, 36237,  3138,
4:20.40, 36163,  2706,
4:20.60, 35990,  2180,
4:20.80, 35990,  1138,
4:21.00, 35767,  1249,
4:21.20, 35555,  1442,
4:21.40, 35455,  1756,
4:21.60, 35458,  2084,
4:21.80, 35458,  2230,
4:22.00, 35511,  1962,
4:22.20, 35594,  2095,
4:22.40, 35657,  2442,
4:22.60, 35662,  1922,
4:22.80, 35662,  1958,
4:23.00, 35624,  1422,
4:23.20, 35568,  1831,
4:23.40, 35549,  1727,
4:23.60, 35572,  2648,
4:23.80, 35662,  2517,
4:24.00, 35662,  2082,
4:24.20, 35759,  2188,
4:24.40, 35807,  1541,
4:24.60, 35823,  1587,
4:24.80, 35771,  1678,
4:25.00, 35771,  1823,
4:25.20, 35712,  2012,
4:25.40, 35687,  2184,
4:25.60, 35689,  1981,
4:25.80, 35692,  2075,
4:26.00, 35710,  1580,
4:26.20, 35710,  2347,
4:26.40, 35733,  1981,
4:26.60, 35786,  2151,
4:26.80, 35886,  2114,
4:27.00, 35978,  2231,
4:27.20, 35978,  1758,
4:27.40, 36053,  2190,
4:27.60, 36098,  2327,
4:27.80, 36131,  1880,
4:28.00, 36156,  2187,
4:28.20, 36156,  2004,
4:28.40, 36185,  3447,
4:28.60, 36215,  2806,
4:28.80, 36243,  2263,
4:29.00, 36270,  2254,
4:29.20, 36305,  1291,
4:29.40, 36305,  1333,
4:29.60, 36357,  2292,
4:29.80, 36422,  2577,
4:30.00, 36499,  2509,
4:30.20, 36562,  2106,
4:30.40, 36562,  2342,
4:30.60, 36602,  2240,
4:30.80, 36612,  2019,
4:31.00, 36598,  1854,
4:31.20, 36587,  1250,
4:31.40, 36585,  1746,
4:31.60, 36585,  2781,
4:31.80, 36592,  2142,
4:32.00, 36605,  2065,
4:32.20, 36611,  1545,
4:32.40, 36595,  2170,
4:32.60, 36595,  3084,
4:32.80, 36577,   950,
4:33.00, 36558,  1514,
4:33.20, 36546,  1953,
4:33.40, 36548,  1944,
4:33.60, 36545,  2116,
4:33.80, 36545,  2464,
4:34.00, 36535,  2863,
4:34.20, 36514,  2328,
4:34.40, 36489,  2254,
4:34.60, 36454,  2248,
4:34.80, 36454,  1054,
4:35.00, 36408,  1356,
4:35.20, 36358,  2748,
4:35.40, 36290,  1637,
4:35.60, 36156,  1912,
4:35.80, 36156,  1552,
4:36.00, 35967,  2022,
4:36.20, 35815,  3985,
4:36.40, 35725,  2921,
4:36.60, 35734,  2318,
4:36.80, 35819,  2801,
4:37.00, 35819,  2411,
4:37.20, 35892,  1817,
4:37.40, 35947,  2460,
4:37.60, 35995,   391,
4:37.80, 36016,   492,
4:38.00, 36016,  1789,
4:38.20, 36026,  2498,
4:38.40, 36048,  3008,
4:38.60, 36061,  1685,
4:38.80, 36095,  1689,
4:39.00, 36158,  2528,
4:39.20, 36158,  2394,
4:39.40, 36245,  2072,
4:39.60, 36370,  2119,
4:39.80, 36527,  1944,
4:40.00, 36680,  2100,
4:40.20, 36680,  2094,
4:40.40, 36805,  2146,
4:40.60, 36895,  2144,
4:40.80, 36952,  1950,
4:41.00, 36979,  1983,
4:41.20, 36979,  1901,
4:41.40, 36978,  2783,
4:41.60, 36972,  2210,
4:41.80, 36970,  2107,
4:42.00, 36969,  1807,
4:42.20, 36972,  2067,
4:42.40, 36972,  1929,
4:42.60, 36982,  2168,
4:42.80, 36991,  1942,
4:43.00, 36996,  2251,
4:43.20, 36988,  2011,
4:43.40, 36988,  2426,
4:43.60, 36970,  2070,
4:43.80, 36952,  1950,
4:44.00, 36941,  1726,
4:44.20, 36951,  1882,
4:44.40, 36972,  1965,
4:44.60, 36972,  1990,
4:44.80, 36999,  1615,
4:45.00, 37026,  2191,
4:45.20, 37040,  2107,
4:45.40, 37046,  2051,
4:45.60, 37046,  1973,
4:45.80, 37044,  1806,
4:46.00, 37041,  2175,
4:46.20, 37032,  2345,
4:46.40, 37022,  1635,
4:46.60, 37003,  1687,
4:46.80, 37003,  2173,
4:47.00, 36934,  2173,
4:47.20, 36845,  1499,
4:47.40, 36781,  1497,
4:47.60, 36752,  2600,
4:47.80, 36752,  2235,
4:48.00, 36764,  2247,
4:48.20, 36784,  2131,
4:48.40, 36770,  2003,
4:48.60, 36728,  2150,
4:48.80, 36728,  1681,
4:49.00, 36684,  1221,
4:49.20, 36660,  1947,
4:49.40, 36672,  1822,
4:49.60, 36701,  2130,
4:49.80, 36766,    33,
4:50.00, 36766,  1644,
4:50.20, 36863,  1758,
4:50.40, 36953,  1737,
4:50.60, 37046,  2449,
4:50.80, 37138,  2204,
4:51.00, 37138,  1915,
4:51.20, 37182,  2032,
4:51.40, 37220,  2352,
4:51.60, 37253,  2440,
4:51.80, 37264,  2484,
4:52.00, 37276,  2308,
4:52.20, 37276,  2469,
4:52.40, 37209,  1521,
4:52.60, 37123,  2025,
4:52.80, 37072,  2081,
4:53.00, 37000,  2459,
4:53.20, 37000,  1966,
4:53.40, 36956,  2057,
4:53.60, 36943,  1972,
4:53.80, 36921,  2182,
4:54.00, 36907,  2245,
4:54.20, 36918,  2085,
4:54.40, 36918,  2272,
4:54.60, 36913,  1966,
4:54.80, 36881,  2585,
4:55.00, 36878,  1888,
4:55.20, 36913,  2044,
4:55.40, 36913,  1823,
4:55.60, 36959,  2463,
4:55.80, 37004,  2200,
4:56.00, 37038,  2317,
4:56.20, 37043,  2149,
4:56.40, 37043,  2356,
4:56.60, 37022,  2235,
4:56.80, 36999,  1829,
4:57.00, 36962,  2400,
4:57.20, 36894,  2040,
4:57.40, 36814,  3047,
4:57.60, 36814,  2330,
4:57.80, 36737,  2046,
4:58.00, 36700,  1847,
4:58.20, 36719,  2375,
4:58.40, 36771,  1911,
4:58.60, 36771,  1937,
4:58.80, 36824,  2022,
4:59.00, 36854,  2074,
4:59.20, 36860,  2226,
4:59.40, 36826,  2051,
4:59.60, 36795,  2277,
4:59.80, 36795,  2459,
5:00.00, 36777,  1943,
5:00.20, 36773,  2294,
5:00.40, 36789,  2070,
5:00.60, 36805,  1407,
5:00.80, 36805,  2348,
5:01.00, 36809,  2679,
5:01.20, 36801,  2738,
5:01.40, 36760,  2309,
5:01.60, 36633,  2010,
5:01.80, 36633,  2059,
5:02.00, 36462,  2173,
5:02.20, 36278,  1841,
5:02.40, 36130,  2067,
5:02.60, 36087,  2076,
5:02.80, 36109,  2197,
5:03.00, 36109,  2346,
5:03.20, 36191,  2155,
5:03.40, 36317,  2333,
5:03.60, 36445,  2299,
5:03.80, 36560,  3285,
5:04.00, 36560,  2341,
5:04.20, 36622,  2093,
5:04.40, 36653,  1961,
5:04.60, 36683,  2178,
5:04.80, 36726,  2142,
5:05.00, 36795,  2033,
5:05.20, 36795,  2089,
5:05.40, 36860,  1802,
5:05.60, 36903,  2135,
5:05.80, 36921,  2787,
5:06.00, 36923,  2001,
5:06.20, 36923,  1944,
5:06.40, 36923,  2273,
5:06.60, 36923,  1986,
5:06.80, 36925,  1675,
5:07.00, 36912,  1876,
5:07.20, 36870,  2172,
5:07.40, 36870,  2182,
5:07.60, 36835,  1987,
5:07.80, 36800,  1905,
5:08.00, 36758,  2096,
5:08.20, 36734,  2459,
5:08.40, 36734,  1941,
5:08.60, 36700,  2090,
5:08.80, 36653,  2094,
5:09.00, 36620,  1912,
5:09.20, 36594,  2386,
5:09.40, 36594,  1722,
5:09.60, 36568,  2345,
5:09.80, 36549,  1993,
5:10.00, 36535,  1921,
5:10.20, 36527,  2083,
5:10.40, 36532,  2039,
5:10.60, 36532,  2158,
5:10.80, 36489,  3211,
5:11.00, 36426,  2344,
5:11.20, 36360,  2105,
5:11.40, 36284,  2101,
5:11.60, 36284,  2388,
5:11.80, 36244,  2548,
5:12.00, 36222,  2169,
5:12.20, 36186,  2931,
5:12.40, 36147,  2285,
5:12.60, 36116,  2186,
5:12.80, 36116,  2016,
5:13.00, 36093,  2060,
5:13.20, 36076,  2128,
5:13.40, 36063,  1805,
5:13.60, 36056,  2163,
5:13.80, 36056,  1999,
5:14.00, 36050,  2106,
5:14.20, 36047,  2184,
5:14.40, 36045,  2009,
5:14.60, 36047,  1812,
5:14.80, 36047,  1975,
5:15.00, 36050,  2169,
5:15.20, 36054,  2284,
5:15.40, 36057,  1960,
5:15.60, 36061,  1444,
5:15.80, 36083,  2519,
5:16.00, 36083,  2281,
5:16.20, 36127,  2027,
5:16.40, 36188,  2114,
5:16.60, 36265,  1576,
5:16.80, 36336,  2436,
5:17.00, 36336,  1944,
5:17.20, 36395,  2124,
5:17.40, 36445,  2139,
5:17.60, 36481,  2335,
5:17.80, 36506,  2300,
5:18.00, 36525,  2186,
5:18.20, 36525,  1867,
5:18.40, 36536,  2148,
5:18.60, 36550,  2058,
5:18.80, 36569,  1932,
5:19.00, 36671,  2218,
5:19.20, 36671,  1830,
5:19.40, 36982,  1984,
5:19.60, 37153,  1212,
5:19.80, 37242,  2343,
5:20.00, 37209,  1936,
5:20.20, 36950,  2304,
5:20.40, 36950,  1737,
5:20.60, 36816,  2290,
5:20.80, 36751,  1931,
5:21.00, 36719,  2094,
5:21.20, 36704,  1973,
5:21.40, 36704,  2133,
5:21.60, 36699,  1851,
5:21.80, 36693,  2113,
5:22.00, 36698,  2398,
5:22.20, 37047,  2124,
5:22.40, 37423,  2023,
5:22.60, 37423,  2083,
5:22.80, 37640,  2419,
5:23.00, 37759,  2038,
5:23.20, 37502,  2708,
5:23.40, 37229,  2174,
5:23.60, 37229,  2171,
5:23.80, 37139,  2082,
5:24.00, 37142,  2585,
5:24.20, 37185,  1590,
5:24.40, 37211,  2566,
5:24.60, 37211,  2070,
5:24.80, 37207,  1990,
5:25.00, 37191,  2238,
5:25.20, 37161,  1953,
5:25.40, 37130,  2088,
5:25.60, 37104,  2069,
5:25.80, 37104,  2066,
5:26.00, 37081,  1850,
5:26.20, 37063,  2101,
5:26.40, 37047,  2134,
5:26.60, 37033,  1922,
5:26.80, 37033,  1877,
5:27.00, 37020,  2286,
5:27.20, 37010,  3436,
5:27.40, 37008,  2711,
5:27.60, 37012,  1831,
5:27.80, 37017,  2031,
5:28.00, 37017,  2052,
5:28.20, 37025,  2474,
5:28.40, 37020,  1896,
5:28.60, 37011,  2197,
5:28.80, 37001,  2076,
5:29.00, 37001,  2416,
5:29.20, 36986,  2107,
5:29.40, 36984,  2257,
5:29.60, 36998,  2524,
5:29.80, 37016,  1990,
5:30.00, 37016,  2316,
5:30.20, 37031,  1794,
5:30.40, 37042,  2592,
5:30.60, 37035,  2050,
5:30.80, 37019,  2071,
5:31.00, 36998,  2285,
5:31.20, 36998,  2233,
5:31.40, 36975,  2480,
5:31.60, 36961,  1842,
5:31.80, 36952,  2396,
5:32.00, 36947,  1884,
5:32.20, 36947,  2059,
5:32.40, 36940,  2312,
5:32.60, 36931,  2370,
5:32.80, 36928,  1882,
5:33.00, 36930,  1937,
5:33.20, 36937,  3336,
5:33.40, 36937,  2254,
5:33.60, 36942,  1727,
5:33.80, 36931,  2003,
5:34.00, 36905,  3211,
5:34.20, 36868,  3058,
5:34.40, 36868,  2769,
5:34.60, 36831,  2480,
5:34.80, 36804,  2054,
5:35.00, 36786,  2581,
5:35.20, 36773,  2172,
5:35.40, 36764,  2360,
5:35.60, 36764,  1891,
5:35.80, 36746,  2091,
5:36.00, 36733,  2148,
5:36.20, 36731,  2191,
5:36.40, 36741,  2203,
5:36.60, 36741,  2021,
5:36.80, 36775,  2064,
5:37.00, 36811,  2601,
5:37.20, 36860,  2507,
5:37.40, 36884,  2102,
5:37.60, 36884,  1920,
5:37.80, 36873,  1443,
5:38.00, 36843,  1575,
5:38.20, 36791,  1289,
5:38.40, 36749,  1412,
5:38.60, 36721,  2658,
5:38.80, 36721,  2919,
5:39.00, 36630,   770,
5:39.20, 36471,  2369,
5:39.40, 36330,  2665,
5:39.60, 36228,  2267,
5:39.80, 36228,  2267,
5:40.00, 36222,  1979,
5:40.20, 36286,  2523,
5:40.40, 36341,  2793,
5:40.60, 36397,  2736,
5:40.80, 36419,  2104,
5:41.00, 36419,  1899,
5:41.20, 36366,  2230,
5:41.40, 36274,  2551,
5:41.60, 36136,  2324,
5:41.80, 36015,  2173,
5:42.00, 36015,  2321,
5:42.20, 35971,  1455,
5:42.40, 35951,   987,
5:42.60, 35951,  1413,
5:42.80, 35956,  3137,
5:43.00, 35956,  2077,
5:43.20, 35954,  1689,
5:43.40, 35950,  3001,
5:43.60, 35947,  2187,
5:43.80, 35927,  2557,
5:44.00, 35908,  1070,
5:44.20, 35908,  1409,
5:44.40, 35912,  1814,
5:44.60, 35933,  1994,
5:44.80, 36004,  2212,
5:45.00, 36097,  2331,
5:45.20, 36097,   670,
5:45.40, 36064,   697,
5:45.60, 35942,  1873,
5:45.80, 35785,  1827,
5:46.00, 35636,  2215,
5:46.20, 35641,  2028,
5:46.40, 35641,  1736,
5:46.60, 35734,  2126,
5:46.80, 35818,  2789,
5:47.00, 35898,  2518,
5:47.20, 35933,  1884,
5:47.40, 35933,  2149,
5:47.60, 35942,  1933,
5:47.80, 35962,  2294,
5:48.00, 35980,  2022,
5:48.20, 36014,  2035,
5:48.40, 36063,  1996,
5:48.60, 36063,  1653,
5:48.80, 36136,  1963,
5:49.00, 36196,  1960,
5:49.20, 36243,  2068,
5:49.40, 36285,  1990,
5:49.60, 36285,  2011,
5:49.80, 36298,  1478,
5:50.00, 36306,  2323,
5:50.20, 36322,  1948,
5:50.40, 36335,  2001,
5:50.60, 36335,  2010,
5:50.80, 36347,  2044,
5:51.00, 36360,  2115,
5:51.20, 36368,  2039,
5:51.40, 36376,  2302,
5:51.60, 36384,  2065,
5:51.80, 36384,  2134,
5:52.00, 36392,  2045,
5:52.20, 36401,  2188,
5:52.40, 36410,  2114,
5:52.60, 36419,  2347,
5:52.80, 36419,  2299,
5:53.00, 36430,  1949,
5:53.20, 36440,  1843,
5:53.40, 36449,  2239,
5:53.60, 36456,  1867,
5:53.80, 36461,  1984,
5:54.00, 36461,  2086,
5:54.20, 36465,  2070,
5:54.40, 36468,  2043,
5:54.60, 36471,  2716,
5:54.80, 36474,  2364,
5:55.00, 36474,  2078,
5:55.20, 36478,  1991,
5:55.40, 36481,  1991,
5:55.60, 36483,  1995,
5:55.80, 36484,  2022,
5:56.00, 36483,  1944,
5:56.20, 36483,  2188,
5:56.40, 36481,  2006,
5:56.60, 36481,  2094,
5:56.80, 36481,  3275,
5:57.00, 36494,  2322,
5:57.20, 36494,  2018,
5:57.40, 36503,  1826,
5:57.60, 36506,  1474,
5:57.80, 36509,  2252,
5:58.00, 36491,  2115,
5:58.20, 36491,  2674,
5:58.40, 36447,  2497,
5:58.60, 36393,  2249,
5:58.80, 36343,  2235,
5:59.00, 36308,   688,
5:59.20, 36311,  1922,
5:59.40, 36311,  1885,
5:59.60, 36332,  1829,
5:59.80, 36357,  1842,
6:00.00, 36349,  1315,
6:00.20, 36326,  2125,
6:00.40, 36326,  2300,
6:00.60, 36324,  2292,
6:00.80, 36329,  2207,
6:01.00, 36366,  2133,
6:01.20, 36414,  2191,
6:01.40, 36441,  2352,
6:01.60, 36441,  2083,
6:01.80, 36456,  2034,
6:02.00, 36466,  2786,
6:02.20, 36478,  2373,
6:02.40, 36485,  2111,
6:02.60, 36485,  2261,
6:02.80, 36493,  2270,
6:03.00, 36505,  1694,
6:03.20, 36515,  1589,
6:03.40, 36532,  2222,
6:03.60, 36532,  2004,
6:03.80, 36462,  2056,
6:04.00, 36317,  2101,
6:04.20, 36236,  3054,
6:04.40, 36208,  1941,
6:04.60, 36290,  3114,
6:04.80, 36290,  2640,
6:05.00, 36422,  2133,
6:05.20, 36464,  2210,
6:05.40, 36435,  1846,
6:05.60, 36364,  2131,
6:05.80, 36364,  3247,
6:06.00, 36306,  2423,
6:06.20, 36262,  2072,
6:06.40, 36226,  2157,
6:06.60, 36194,  1899,
6:06.80, 36165,  2138,
6:07.00, 36165,  2020,
6:07.20, 36136,  1894,
6:07.40, 36107,  1968,
6:07.60, 36081,  1902,
6:07.80, 36055,  2054,
6:08.00, 36055,  2020,
6:08.20, 36034,  2271,
6:08.40, 36013,  1999,
6:08.60, 35996,  2136,
