Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:42.20, 33642,  1842,
0:42.40, 33645,  1663,
0:42.60, 33639,  1822,
0:42.80, 33628,  1798,
0:43.00, 33614,  2022,
0:43.20, 33601,  1709,
0:43.40, 33601,  1457,
0:43.60, 33594,  1925,
0:43.80, 33592,  3138,
0:44.00, 33584,  3755,
0:44.20, 33558,  3999,
0:44.40, 33558,  4014,
0:44.60, 33499,  4023,
0:44.80, 33428,  4014,
0:45.00, 33359,  4001,
0:45.20, 33306,  3052,
0:45.40, 33306,  1840,
0:45.60, 33297,  1193,
0:45.80, 33296,  1305,
0:46.00, 33301,  1661,
0:46.20, 33365,  1886,
0:46.40, 33587,  1057,
0:46.60, 33587,   998,
0:46.80, 33878,  1494,
0:47.00, 33993,  1365,
0:47.20, 33956,  1477,
0:47.40, 33876,  2323,
0:47.60, 33876,  1284,
0:47.80, 33710,  1893,
0:48.00, 33544,  2611,
0:48.20, 33032,  2125,
0:48.40, 33045,  1787,
0:48.60, 33092,   919,
0:48.80, 33092,  1650,
0:49.00, 33231,  1618,
0:49.20, 34110,  1963,
0:49.40, 34726,  3058,
0:49.60, 35155,  2400,
0:49.80, 35155,  1400,
0:50.00, 35694,  1718,
0:50.20, 35832,  1441,
0:50.40, 35352,  2153,
0:50.60, 35475,  1937,
0:50.80, 35960,  1621,
0:51.00, 35960,  1488,
0:51.20, 36518,  1880,
0:51.40, 37027,  1697,
0:51.60, 36928,  1773,
0:51.80, 36231,  1733,
0:52.00, 36231,  2252,
0:52.20, 35641,  1842,
0:52.40, 35925,  1639,
0:52.60, 36386,  1670,
0:52.80, 36654,  2111,
0:53.00, 36654,  1717,
0:53.20, 36662,  2041,
0:53.40, 35975,  1725,
0:53.60, 35297,  2113,
0:53.80, 35056,  2398,
0:54.00, 35369,  2790,
0:54.20, 35369,  3430,
0:54.40, 36209,  3890,
0:54.60, 37241,  2039,
0:54.80, 38331,  2369,
0:55.00, 39094,  3695,
0:55.20, 39094,  1872,
0:55.40, 39448,  2136,
0:55.60, 39610,  2813,
0:55.80, 39687,  2418,
0:56.00, 39724,  2096,
0:56.20, 39742,  2039,
0:56.40, 39742,  1832,
