Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00,  7852,  2145,
0:00.20,  7853,  2322,
0:00.40,  7841,  2174,
0:00.60,  7841,  2177,
0:00.80,  7842,  2091,
0:01.00,  7847,  2340,
0:01.20,  7849,  2324,
0:01.40,  7877,  2453,
0:01.60,  7877,  2229,
0:01.80,  7887,  2291,
0:02.00,  7889,  2103,
0:02.20,  7892,  2232,
0:02.40,  7879,  2255,
0:02.60,  7879,  2128,
0:02.80,  7884,  2216,
0:03.00,  7894,  2393,
0:03.20,  7900,  2193,
0:03.40,  7904,  2108,
0:03.60,  7889,  2789,
0:03.80,  7889,  3335,
0:04.00,  7849,  3205,
0:04.20,  7797,  3127,
0:04.40,  7734,  2892,
0:04.60,  7687,   798,
0:04.80,  7687,  1086,
0:05.00,  7674,  1578,
0:05.20,  7669,  1657,
0:05.40,  7640,  2056,
0:05.60,  7552,  1759,
0:05.80,  7418,  2022,
0:06.00,  7418,  3246,
0:06.20,  7267,  3915,
0:06.40,  7183,  1201,
0:06.60,  7208,  1719,
0:06.80,  7295,    84,
0:07.00,  7295,    24,
0:07.20,  7417,    19,
0:07.40,  7511,    26,
0:07.60,  7558,    42,
0:07.80,  7580,   322,
0:08.00,  7588,  1218,
0:08.20,  7588,   756,
0:08.40,  7592,  1855,
0:08.60,  7590,  2903,
0:08.80,  7580,  3964,
0:09.00,  7567,  3986,
0:09.20,  7567,  3999,
0:09.40,  7541,  3626,
0:09.60,  7515,  3834,
0:09.80,  7522,  3946,
0:10.00,  7542,  3618,
0:10.20,  7542,  3007,
0:10.40,  7577,  2263,
0:10.60,  7626,  1907,
0:10.80,  7660,  2152,
0:11.00,  7692,  1673,
0:11.20,  7730,  1787,
0:11.40,  7730,  1840,
0:11.60,  7765,  1997,
0:11.80,  7797,  1940,
0:12.00,  7827,  2097,
0:12.20,  7854,  1829,
0:12.40,  7854,  1911,
0:12.60,  7877,  1551,
0:12.80,  7895,  1882,
0:13.00,  7907,  1757,
0:13.20,  7917,  1832,
0:13.40,  7930,  2139,
0:13.60,  7930,  2135,
0:13.80,  7945,  2283,
0:14.00,  7963,  2024,
0:14.20,  7982,  2169,
0:14.40,  7997,  2137,
0:14.60,  7997,  2101,
0:14.80,  8009,  2187,
0:15.00,  8020,  2023,
0:15.20,  8029,  2094,
0:15.40,  8035,  2060,
0:15.60,  8035,  2231,
0:15.80,  8041,  2104,
0:16.00,  8049,  2062,
0:16.20,  8059,  1763,
0:16.40,  8071,  2075,
0:16.60,  8084,  1872,
0:16.80,  8084,  2228,
0:17.00,  8096,  1937,
0:17.20,  8108,  2130,
0:17.40,  8118,  2385,
0:17.60,  8125,  2169,
0:17.80,  8125,  2421,
0:18.00,  8133,  2133,
0:18.20,  8139,  2263,
0:18.40,  8144,  2020,
0:18.60,  8150,  2317,
0:18.80,  8149,  2017,
0:19.00,  8149,  2755,
0:19.20,  8118,  2593,
0:19.40,  8069,  2338,
0:19.60,  8013,  2683,
0:19.80,  7962,  2488,
0:20.00,  7962,  2749,
0:20.20,  7908,  2341,
0:20.40,  7822,  2366,
0:20.60,  7716,  2199,
0:20.80,  7539,  1999,
0:21.00,  7352,  2239,
0:21.20,  7352,  2672,
0:21.40,  7240,  3893,
0:21.60,  7140,  3989,
0:21.80,  7082,  3988,
0:22.00,  7050,  3990,
0:22.20,  7050,  3986,
0:22.40,  6952,  3778,
0:22.60,  6844,  3924,
0:22.80,  6857,  3267,
0:23.00,  7072,  2795,
0:23.20,  7072,   952,
0:23.40,  7435,  1074,
0:23.60,  7903,  1740,
0:23.80,  8341,  1582,
0:24.00,  8606,  2299,
0:24.20,  8763,  1692,
0:24.40,  8763,  2438,
0:24.60,  8851,  1934,
0:24.80,  8898,  2434,
0:25.00,  8943,    33,
0:25.20,  8963,   335,
0:25.40,  8963,   439,
0:25.60,  8870,  1923,
0:25.80,  8655,  2503,
0:26.00,  8353,  2247,
0:26.20,  8012,  2340,
0:26.40,  7742,  2259,
0:26.60,  7742,  2467,
0:26.80,  7563,  2199,
0:27.00,  7458,  2319,
0:27.20,  7413,  2324,
0:27.40,  7404,  2383,
0:27.60,  7404,  2211,
0:27.80,  7413,  2196,
0:28.00,  7431,  2269,
0:28.20,  7452,  2136,
0:28.40,  7472,  2274,
0:28.60,  7472,  1994,
0:28.80,  7492,  2292,
0:29.00,  7501,  2027,
0:29.20,  7508,  1901,
0:29.40,  7514,  2049,
0:29.60,  7522,  1983,
0:29.80,  7522,  2156,
0:30.00,  7526,  2094,
0:30.20,  7532,  2440,
0:30.40,  7537,  2088,
0:30.60,  7535,  2104,
0:30.80,  7535,  1995,
0:31.00,  7559,  1969,
0:31.20,  7603,  2309,
0:31.40,  7633,  2204,
0:31.60,  7650,  2174,
0:31.80,  7644,  1396,
0:32.00,  7644,  2294,
0:32.20,  7621,  2853,
0:32.40,  7616,  1977,
0:32.60,  7627,  2204,
0:32.80,  7643,  2197,
0:33.00,  7643,  2049,
0:33.20,  7658,  2188,
0:33.40,  7670,  2041,
0:33.60,  7681,  1870,
0:33.80,  7690,  1928,
0:34.00,  7698,  1994,
0:34.20,  7698,  2025,
0:34.40,  7705,  1878,
0:34.60,  7709,  2040,
0:34.80,  7710,  2174,
0:35.00,  7710,  1881,
0:35.20,  7710,  1964,
0:35.40,  7712,  1686,
0:35.60,  7716,  2151,
0:35.80,  7723,  1992,
0:36.00,  7734,  2174,
0:36.20,  7734,  2255,
0:36.40,  7741,  2181,
0:36.60,  7744,  2053,
0:36.80,  7727,  2096,
0:37.00,  7690,  1957,
0:37.20,  7644,  2008,
0:37.40,  7644,  1895,
0:37.60,  7599,  2031,
0:37.80,  7574,  2229,
0:38.00,  7565,  1479,
0:38.20,  7562,  2474,
0:38.40,  7562,  1556,
0:38.60,  7560,  2421,
0:38.80,  7555,  2388,
0:39.00,  7542,  2382,
0:39.20,  7505,  1758,
0:39.40,  7447,  2020,
0:39.60,  7447,  2479,
0:39.80,  7380,  2061,
0:40.00,  7318,  2440,
0:40.20,  7283,  1926,
0:40.40,  7271,  2513,
0:40.60,  7271,  1852,
0:40.80,  7264,  2241,
0:41.00,  7258,  2508,
0:41.20,  7255,  2189,
0:41.40,  7254,  2286,
0:41.60,  7262,  2122,
0:41.80,  7262,  2482,
0:42.00,  7272,  2105,
0:42.20,  7280,  2294,
0:42.40,  7287,  2002,
0:42.60,  7294,  2239,
0:42.80,  7294,  2304,
0:43.00,  7301,  2211,
0:43.20,  7307,  2322,
0:43.40,  7313,  2137,
0:43.60,  7320,  2232,
0:43.80,  7320,  2082,
0:44.00,  7327,  2232,
0:44.20,  7334,  1971,
0:44.40,  7340,  2257,
0:44.60,  7345,  2390,
0:44.80,  7349,  2256,
0:45.00,  7349,  2479,
0:45.20,  7353,  2339,
0:45.40,  7356,  2495,
0:45.60,  7359,  2194,
0:45.80,  7363,  2412,
0:46.00,  7363,  2263,
0:46.20,  7368,  2259,
0:46.40,  7372,  2295,
0:46.60,  7377,  2250,
0:46.80,  7382,  2297,
0:47.00,  7387,  2087,
0:47.20,  7387,  2224,
0:47.40,  7391,  2093,
