Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 34798,  4044,
0:00.20, 34859,  4016,
0:00.40, 34914,  4014,
0:00.60, 34914,  4003,
0:00.80, 34955,  3856,
0:01.00, 35000,  2743,
0:01.20, 35045,  2103,
0:01.40, 35084,  1701,
0:01.60, 35134,  1791,
0:01.80, 35134,  1809,
0:02.00, 35178,  2695,
0:02.20, 35208,  2143,
0:02.40, 35226,  2122,
0:02.60, 35235,  1906,
0:02.80, 35235,  1738,
0:03.00, 35236,  1902,
0:03.20, 35241,  1820,
0:03.40, 35250,  1977,
0:03.60, 35253,  1607,
0:03.80, 35256,  1928,
0:04.00, 35256,  1770,
0:04.20, 35261,  1973,
0:04.40, 35271,  1506,
0:04.60, 35280,  1790,
0:04.80, 35297,  1728,
0:05.00, 35297,  1674,
0:05.20, 35307,  1996,
0:05.40, 35311,  2281,
0:05.60, 35326,  2112,
0:05.80, 35327,  2087,
0:06.00, 35327,  2025,
0:06.20, 35334,  2078,
0:06.40, 35341,  2320,
0:06.60, 35340,  2288,
0:06.80, 35344,  2083,
0:07.00, 35345,  2346,
0:07.20, 35345,  2052,
0:07.40, 35343,  1987,
0:07.60, 35340,  1981,
0:07.80, 35336,  2036,
0:08.00, 35332,  1875,
0:08.20, 35332,  2725,
0:08.40, 35325,  2515,
0:08.60, 35318,  2396,
0:08.80, 35310,  2534,
0:09.00, 35310,  2722,
0:09.20, 35316,  2675,
0:09.40, 35316,  2396,
0:09.60, 35325,  2583,
0:09.80, 35337,  2333,
0:10.00, 35345,  2417,
0:10.20, 35355,  1959,
0:10.40, 35355,    45,
0:10.60, 35371,    38,
0:10.80, 35392,    57,
0:11.00, 35418,  1038,
0:11.20, 35450,  1581,
0:11.40, 35450,  3160,
0:11.60, 35485,  2386,
0:11.80, 35524,  2214,
0:12.00, 35561,  2165,
0:12.20, 35593,  2343,
0:12.40, 35619,  2237,
0:12.60, 35619,  1937,
0:12.80, 35638,  3129,
0:13.00, 35650,  2510,
0:13.20, 35656,  2190,
0:13.40, 35659,  2236,
0:13.60, 35659,  2161,
0:13.80, 35660,  2087,
0:14.00, 35667,  2063,
0:14.20, 35682,  2058,
0:14.40, 35698,  1998,
0:14.60, 35711,  1988,
0:14.80, 35711,  3009,
0:15.00, 35711,  2156,
0:15.20, 35700,  2006,
0:15.40, 35684,  2019,
0:15.60, 35669,  2061,
0:15.80, 35669,  2107,
0:16.00, 35657,  2088,
0:16.20, 35650,  2390,
0:16.40, 35646,  2040,
0:16.60, 35645,  2087,
0:16.80, 35645,  1962,
0:17.00, 35645,  2069,
0:17.20, 35644,  2006,
0:17.40, 35642,  2120,
0:17.60, 35637,  2065,
0:17.80, 35630,  2340,
0:18.00, 35630,  2236,
0:18.20, 35620,  2319,
0:18.40, 35609,  2263,
0:18.60, 35597,  2016,
0:18.80, 35583,  1990,
0:19.00, 35583,  2226,
0:19.20, 35569,  1944,
0:19.40, 35555,  2013,
0:19.60, 35542,  1954,
0:19.80, 35530,  1939,
0:20.00, 35518,  1979,
0:20.20, 35518,  2655,
0:20.40, 35507,  2197,
0:20.60, 35495,  2046,
0:20.80, 35484,  1935,
0:21.00, 35473,  2002,
0:21.20, 35473,  2022,
0:21.40, 35461,  1889,
0:21.60, 35451,  2373,
0:21.80, 35440,  2037,
0:22.00, 35430,  2061,
0:22.20, 35419,  2066,
0:22.40, 35419,  2039,
0:22.60, 35409,  2280,
0:22.80, 35397,  1947,
0:23.00, 35386,  3028,
0:23.20, 35375,  2124,
0:23.40, 35375,  1958,
0:23.60, 35363,  1942,
0:23.80, 35353,  1881,
0:24.00, 35343,  1961,
0:24.20, 35335,  1934,
0:24.40, 35326,  1788,
0:24.60, 35326,  2142,
0:24.80, 35319,  2209,
0:25.00, 35311,  2423,
0:25.20, 35302,  2319,
0:25.40, 35294,  1976,
0:25.60, 35294,  2046,
0:25.80, 35285,  2183,
0:26.00, 35275,  2164,
