Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 37204,  2517,
0:00.20, 37198,  2240,
0:00.40, 37195,  2172,
0:00.60, 37195,  2212,
0:00.80, 37193,  2325,
0:01.00, 37193,  2223,
0:01.20, 37195,  2182,
0:01.40, 37201,  2288,
0:01.60, 37201,  1979,
0:01.80, 37209,  2023,
0:02.00, 37220,  2216,
0:02.20, 37231,  2145,
0:02.40, 37240,  2136,
0:02.60, 37249,  2296,
0:02.80, 37249,  2232,
0:03.00, 37257,  2113,
0:03.20, 37262,  2192,
0:03.40, 37266,  2170,
0:03.60, 37268,  2201,
0:03.80, 37268,  2088,
0:04.00, 37267,  2170,
0:04.20, 37265,  2470,
0:04.40, 37262,  2211,
0:04.60, 37258,  2294,
0:04.80, 37258,  2488,
0:05.00, 37256,  2138,
0:05.20, 37257,  2065,
0:05.40, 37258,  2378,
0:05.60, 37261,  2340,
0:05.80, 37263,  2160,
0:06.00, 37263,  2448,
0:06.20, 37265,  2225,
0:06.40, 37268,  2135,
0:06.60, 37271,  2142,
0:06.80, 37272,  2290,
0:07.00, 37272,  1941,
0:07.20, 37285,  2276,
0:07.40, 37307,  2198,
0:07.60, 37319,  1969,
0:07.80, 37328,  2174,
0:08.00, 37318,  2106,
0:08.20, 37318,  2065,
0:08.40, 37295,  2179,
0:08.60, 37282,  2040,
0:08.80, 37274,  2080,
0:09.00, 37277,  1987,
0:09.20, 37277,  2749,
0:09.40, 37284,  2312,
0:09.60, 37292,  2257,
0:09.80, 37300,  1980,
0:10.00, 37304,  2279,
0:10.20, 37306,  2205,
0:10.40, 37306,  2140,
0:10.60, 37304,  2028,
0:10.80, 37301,  2124,
0:11.00, 37299,  2193,
0:11.20, 37296,  2112,
0:11.40, 37296,  2402,
0:11.60, 37295,  2365,
0:11.80, 37296,  2138,
0:12.00, 37298,  2115,
0:12.20, 37297,  2394,
0:12.40, 37297,  2140,
0:12.60, 37287,  2185,
0:12.80, 37279,  2050,
0:13.00, 37269,  2276,
0:13.20, 37262,  2275,
0:13.40, 37260,  2301,
0:13.60, 37260,  2147,
0:13.80, 37254,  2719,
0:14.00, 37246,  2288,
0:14.20, 37237,  2138,
0:14.40, 37232,  2264,
0:14.60, 37232,  1998,
0:14.80, 37228,  1910,
0:15.00, 37224,  2164,
0:15.20, 37222,  2169,
0:15.40, 37221,  2399,
0:15.60, 37220,  2106,
0:15.80, 37220,  2023,
0:16.00, 37220,  2071,
0:16.20, 37219,  2219,
0:16.40, 37219,  2110,
0:16.60, 37219,  2255,
0:16.80, 37219,  2243,
0:17.00, 37218,  2082,
0:17.20, 37218,  2209,
0:17.40, 37217,  2170,
0:17.60, 37218,  2264,
0:17.80, 37218,  2005,
0:18.00, 37220,  2198,
0:18.20, 37221,  2142,
0:18.40, 37222,  2397,
0:18.60, 37226,  2121,
0:18.80, 37231,  2179,
0:19.00, 37231,  1937,
0:19.20, 37239,  2086,
0:19.40, 37242,  2074,
0:19.60, 37240,  2116,
0:19.80, 37235,  2494,
0:20.00, 37235,  2138,
0:20.20, 37229,  2558,
0:20.40, 37226,  2305,
0:20.60, 37226,  2105,
0:20.80, 37225,  2215,
0:21.00, 37224,  2145,
0:21.20, 37224,  2161,
0:21.40, 37223,  2077,
0:21.60, 37224,  2874,
0:21.80, 37226,  2197,
0:22.00, 37228,  1974,
0:22.20, 37228,  2045,
0:22.40, 37229,  2149,
0:22.60, 37229,  1970,
0:22.80, 37230,  2063,
0:23.00, 37232,  2903,
0:23.20, 37232,  2078,
0:23.40, 37236,  2132,
0:23.60, 37241,  2094,
0:23.80, 37244,  2185,
0:24.00, 37246,  2526,
0:24.20, 37245,  1983,
0:24.40, 37245,  1969,
0:24.60, 37244,  2103,
0:24.80, 37241,  1999,
0:25.00, 37239,  2093,
0:25.20, 37234,  2226,
0:25.40, 37234,  2464,
0:25.60, 37229,  2107,
0:25.80, 37223,  1840,
0:26.00, 37219,  2228,
0:26.20, 37215,  2157,
0:26.40, 37212,  2057,
0:26.60, 37212,  1804,
0:26.80, 37209,  1631,
0:27.00, 37205,  2466,
0:27.20, 37205,  2237,
0:27.40, 37208,  2144,
0:27.60, 37208,  1933,
0:27.80, 37214,  2336,
0:28.00, 37233,  2162,
0:28.20, 37260,  2154,
0:28.40, 37276,   962,
0:28.60, 37257,  1943,
0:28.80, 37257,  2354,
0:29.00, 37181,  2018,
0:29.20, 37081,  2077,
0:29.40, 36998,   961,
0:29.60, 36969,  1540,
0:29.80, 36969,  2087,
0:30.00, 37007,  2215,
0:30.20, 37072,  2440,
0:30.40, 37142,  2936,
0:30.60, 37200,  2855,
0:30.80, 37200,  3239,
0:31.00, 37243,  2468,
0:31.20, 37278,  3547,
0:31.40, 37307,  4005,
0:31.60, 37329,  3993,
0:31.80, 37341,  3701,
0:32.00, 37341,  2979,
0:32.20, 37345,  2465,
0:32.40, 37342,  3068,
0:32.60, 37328,  3586,
0:32.80, 37308,  3738,
0:33.00, 37308,  2749,
0:33.20, 37286,  2022,
0:33.40, 37261,  3141,
0:33.60, 37240,  2129,
0:33.80, 37227,  1415,
0:34.00, 37222,  1602,
0:34.20, 37222,  1399,
0:34.40, 37227,  1848,
0:34.60, 37241,    73,
0:34.80, 37257,   969,
0:35.00, 37272,  1790,
0:35.20, 37272,  2034,
0:35.40, 37285,  1418,
0:35.60, 37297,  2212,
0:35.80, 37306,  3101,
0:36.00, 37312,  2545,
0:36.20, 37312,  2011,
0:36.40, 37313,  1948,
0:36.60, 37297,  1517,
0:36.80, 37275,  2192,
0:37.00, 37249,  1056,
0:37.20, 37226,  3022,
0:37.40, 37226,  2704,
0:37.60, 37224,  2468,
0:37.80, 37234,  3296,
0:38.00, 37250,  2929,
0:38.20, 37268,  2295,
0:38.40, 37268,  2457,
0:38.60, 37282,  3875,
0:38.80, 37292,  3967,
0:39.00, 37297,  3490,
0:39.20, 37292,  2829,
0:39.40, 37266,  2651,
0:39.60, 37266,  2257,
0:39.80, 37239,  1979,
0:40.00, 37218,  2022,
0:40.20, 37210,  1879,
0:40.40, 37223,   772,
0:40.60, 37223,   272,
0:40.80, 37238,  1971,
0:41.00, 37249,  3961,
0:41.20, 37242,  2777,
0:41.40, 37224,  1797,
0:41.60, 37224,  1099,
0:41.80, 37202,   884,
0:42.00, 37181,  3558,
0:42.20, 37178,  3336,
0:42.40, 37183,  1831,
0:42.60, 37188,  1383,
0:42.80, 37188,  1333,
0:43.00, 37192,   833,
0:43.20, 37191,  3944,
0:43.40, 37156,  3398,
0:43.60, 37110,  2514,
0:43.80, 37110,  2462,
0:44.00, 37067,  2016,
0:44.20, 37025,  2411,
0:44.40, 37028,  2734,
0:44.60, 37056,  2135,
0:44.80, 37096,  1654,
0:45.00, 37096,  1740,
0:45.20, 37127,  1552,
0:45.40, 37140,  1879,
0:45.60, 37143,  2678,
0:45.80, 37137,  2863,
0:46.00, 37137,  2846,
0:46.20, 37145,  2333,
0:46.40, 37164,  2158,
0:46.60, 37187,  2007,
0:46.80, 37201,  1548,
0:47.00, 37201,  1821,
0:47.20, 37201,  2283,
0:47.40, 37202,  2220,
0:47.60, 37203,  2215,
0:47.80, 37214,  2063,
0:48.00, 37236,  1300,
0:48.20, 37236,  2437,
0:48.40, 37261,  3489,
0:48.60, 37289,  3659,
0:48.80, 37311,  2903,
0:49.00, 37316,  2883,
0:49.20, 37316,  2077,
0:49.40, 37307,  2114,
0:49.60, 37280,  2269,
0:49.80, 37247,  1961,
0:50.00, 37217,    42,
0:50.20, 37191,    72,
0:50.40, 37191,   181,
0:50.60, 37178,    26,
0:50.80, 37169,  1570,
0:51.00, 37152,  2463,
0:51.20, 37138,  2501,
0:51.40, 37138,  2284,
0:51.60, 37118,    49,
0:51.80, 37108,  1561,
0:52.00, 37119,  2409,
0:52.20, 37099,  2684,
0:52.40, 37067,  2817,
0:52.60, 37067,  3987,
0:52.80, 37024,  1543,
0:53.00, 36983,  1560,
0:53.20, 36985,  1024,
0:53.40, 37011,  1252,
0:53.60, 37011,  1906,
0:53.80, 37064,  2192,
0:54.00, 37122,  3706,
0:54.20, 37177,  3206,
0:54.40, 37221,  1963,
0:54.60, 37221,  2035,
0:54.80, 37242,  2238,
0:55.00, 37250,  1732,
0:55.20, 37256,  1802,
0:55.40, 37261,  1803,
0:55.60, 37276,  1738,
0:55.80, 37276,  2085,
0:56.00, 37296,  1878,
0:56.20, 37309,  2107,
0:56.40, 37319,  2177,
0:56.60, 37325,  2058,
0:56.80, 37325,  3224,
0:57.00, 37332,  3420,
0:57.20, 37349,  2488,
0:57.40, 37360,  2023,
0:57.60, 37370,  1940,
0:57.80, 37367,  2028,
0:58.00, 37367,  1826,
0:58.20, 37332,  1594,
0:58.40, 37294,  1687,
0:58.60, 37259,  1772,
0:58.80, 37240,  1790,
0:59.00, 37240,  1980,
0:59.20, 37255,  2144,
0:59.40, 37287,  1721,
0:59.60, 37317,   402,
0:59.80, 37344,  3980,
1:00.00, 37360,  2551,
1:00.20, 37360,  1907,
1:00.40, 37364,  1719,
1:00.60, 37355,  1650,
1:00.80, 37351,  1711,
1:01.00, 37341,  1949,
1:01.20, 37341,  2167,
1:01.40, 37324,   660,
1:01.60, 37320,   195,
1:01.80, 37311,  3999,
1:02.00, 37312,  3587,
1:02.20, 37312,  2704,
1:02.40, 37332,  1976,
1:02.60, 37350,  1828,
1:02.80, 37362,  1786,
1:03.00, 37363,  3346,
1:03.20, 37361,  2165,
1:03.40, 37361,  1703,
1:03.60, 37363,  2110,
1:03.80, 37369,  2062,
1:04.00, 37374,  2028,
1:04.20, 37379,  1894,
1:04.40, 37379,  1784,
1:04.60, 37384,  2276,
1:04.80, 37393,  2195,
1:05.00, 37415,  2893,
1:05.20, 37442,  2740,
1:05.40, 37468,  2000,
1:05.60, 37468,  2438,
1:05.80, 37486,  2649,
1:06.00, 37502,  2029,
1:06.20, 37523,  1749,
1:06.40, 37536,  2517,
1:06.60, 37536,   813,
1:06.80, 37542,  1683,
1:07.00, 37537,  3781,
1:07.20, 37524,  2653,
1:07.40, 37513,  2246,
1:07.60, 37513,   562,
1:07.80, 37514,   580,
1:08.00, 37517,  1422,
1:08.20, 37519,  2170,
1:08.40, 37527,  2761,
1:08.60, 37533,  2001,
1:08.80, 37533,  2152,
1:09.00, 37538,  2234,
1:09.20, 37542,  2088,
1:09.40, 37536,  2186,
1:09.60, 37528,  3384,
1:09.80, 37528,  1970,
1:10.00, 37521,  1883,
1:10.20, 37519,  2295,
1:10.40, 37523,  1978,
1:10.60, 37523,  2044,
1:10.80, 37516,  1938,
1:11.00, 37516,  1909,
1:11.20, 37504,  2021,
1:11.40, 37491,  2182,
1:11.60, 37481,  1841,
1:11.80, 37479,  2320,
1:12.00, 37479,  2005,
1:12.20, 37477,  1815,
1:12.40, 37474,  2395,
1:12.60, 37473,  1989,
1:12.80, 37474,  1937,
1:13.00, 37474,  2302,
1:13.20, 37474,  1651,
1:13.40, 37478,  2030,
1:13.60, 37485,  2368,
1:13.80, 37491,  2401,
1:14.00, 37493,  2106,
1:14.20, 37493,  2860,
1:14.40, 37495,  2191,
1:14.60, 37488,  3069,
1:14.80, 37475,  2583,
1:15.00, 37469,  2201,
1:15.20, 37469,  2058,
1:15.40, 37450,  2131,
1:15.60, 37423,  2040,
1:15.80, 37411,  1979,
1:16.00, 37410,  1473,
1:16.20, 37428,  2174,
1:16.40, 37428,  1976,
1:16.60, 37469,  2219,
1:16.80, 37506,  2230,
1:17.00, 37533,  3441,
1:17.20, 37552,  2191,
1:17.40, 37552,  2008,
1:17.60, 37564,  1825,
1:17.80, 37573,  2439,
1:18.00, 37581,  2403,
1:18.20, 37590,  1518,
1:18.40, 37599,  1588,
1:18.60, 37599,  2279,
1:18.80, 37597,  3241,
1:19.00, 37588,  1806,
1:19.20, 37577,  2343,
1:19.40, 37566,  1822,
1:19.60, 37566,  2128,
1:19.80, 37561,  1856,
1:20.00, 37562,  1850,
1:20.20, 37564,  2295,
1:20.40, 37568,  2182,
1:20.60, 37568,  2404,
1:20.80, 37575,  2175,
1:21.00, 37584,  1274,
1:21.20, 37590,  1788,
1:21.40, 37586,  3436,
1:21.60, 37577,  2481,
1:21.80, 37577,  2423,
1:22.00, 37569,  2271,
1:22.20, 37569,  1807,
1:22.40, 37577,  1805,
1:22.60, 37587,  2181,
1:22.80, 37587,  2472,
1:23.00, 37595,  2508,
1:23.20, 37598,  2110,
1:23.40, 37609,  2018,
1:23.60, 37620,  2195,
1:23.80, 37620,  2209,
1:24.00, 37629,  2024,
1:24.20, 37637,  1974,
1:24.40, 37639,  1747,
1:24.60, 37639,  1758,
1:24.80, 37636,  2253,
1:25.00, 37636,  2393,
1:25.20, 37631,  2050,
1:25.40, 37623,  1139,
1:25.60, 37615,  2972,
1:25.80, 37605,  2635,
1:26.00, 37605,  2886,
1:26.20, 37596,  2064,
1:26.40, 37584,  1962,
1:26.60, 37577,  2152,
1:26.80, 37585,  2401,
1:27.00, 37600,  2096,
1:27.20, 37600,  2212,
1:27.40, 37620,  2019,
1:27.60, 37639,  1385,
1:27.80, 37652,  2509,
1:28.00, 37653,  2227,
1:28.20, 37653,  1861,
1:28.40, 37651,  1922,
1:28.60, 37648,  1926,
1:28.80, 37644,  2179,
1:29.00, 37645,  2343,
1:29.20, 37649,  1088,
1:29.40, 37649,  1727,
1:29.60, 37652,  2469,
1:29.80, 37652,  2135,
1:30.00, 37649,  1769,
1:30.20, 37642,  1755,
1:30.40, 37642,  1997,
1:30.60, 37637,  2296,
1:30.80, 37637,  2121,
1:31.00, 37644,  3447,
1:31.20, 37653,  2325,
1:31.40, 37653,  2083,
1:31.60, 37661,  2157,
1:31.80, 37668,  2071,
1:32.00, 37669,  1690,
1:32.20, 37664,  1192,
1:32.40, 37656,  1328,
1:32.60, 37656,  1608,
1:32.80, 37646,  2511,
1:33.00, 37638,  1555,
1:33.20, 37636,  1932,
1:33.40, 37624,  2296,
1:33.60, 37624,  3680,
1:33.80, 37603,  3647,
1:34.00, 37581,  1688,
1:34.20, 37562,  2189,
1:34.40, 37557,  2236,
1:34.60, 37565,  2501,
1:34.80, 37565,  2767,
1:35.00, 37575,  2144,
1:35.20, 37592,  1653,
1:35.40, 37608,  1704,
1:35.60, 37625,  2036,
1:35.80, 37625,  2207,
1:36.00, 37648,  2061,
1:36.20, 37668,  2130,
1:36.40, 37693,  1974,
1:36.60, 37710,  2150,
1:36.80, 37721,  2245,
1:37.00, 37721,  2246,
