Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:42.20, 31281,  2091,
0:42.40, 31281,  1804,
0:42.60, 31175,  2593,
0:42.80, 31107,  2156,
0:43.00, 31130,  2323,
0:43.20, 31202,  3207,
0:43.40, 31202,  2719,
0:43.60, 31279,  2743,
0:43.80, 31343,  2529,
0:44.00, 31256,  2132,
0:44.20, 31187,  2097,
0:44.40, 31225,  2345,
0:44.60, 31225,  2213,
0:44.80, 31384,  2049,
0:45.00, 31613,  2112,
0:45.20, 31803,  2053,
0:45.40, 31912,  1989,
0:45.60, 31912,  2086,
0:45.80, 31880,  2319,
0:46.00, 31811,  2114,
0:46.20, 31720,  1950,
0:46.40, 31647,  2285,
0:46.60, 31647,  1757,
0:46.80, 31594,  2203,
0:47.00, 31590,  2851,
0:47.20, 31619,  1885,
0:47.40, 31641,  1407,
0:47.60, 31675,  2687,
0:47.80, 31675,  3101,
0:48.00, 31709,  2610,
0:48.20, 31702,  1887,
0:48.40, 31655,  2135,
0:48.60, 31594,  1885,
0:48.80, 31594,  2263,
0:49.00, 31515,  2054,
0:49.20, 31450,  1855,
0:49.40, 31442,  1770,
0:49.60, 31443,  2008,
0:49.80, 31460,  2008,
0:50.00, 31460,  2030,
0:50.20, 31459,  1826,
0:50.40, 31392,  2188,
0:50.60, 31306,  1981,
0:50.80, 31289,  2043,
0:51.00, 31289,  1953,
0:51.20, 31375,  1960,
0:51.40, 31541,  2033,
0:51.60, 31680,  2742,
0:51.80, 31734,  2169,
0:52.00, 31748,  2011,
0:52.20, 31748,  2024,
0:52.40, 31732,  1907,
0:52.60, 31809,  2146,
0:52.80, 31890,  1846,
0:53.00, 31885,  2692,
0:53.20, 31885,  1946,
0:53.40, 31852,  1919,
0:53.60, 31760,  2037,
0:53.80, 31638,  2017,
0:54.00, 31590,  2298,
0:54.20, 31590,  1967,
0:54.40, 31552,  1842,
0:54.60, 31505,  2080,
0:54.80, 31474,  1985,
0:55.00, 31406,  2139,
0:55.20, 31326,  2002,
0:55.40, 31326,  2153,
0:55.60, 31228,  2063,
0:55.80, 31093,  2816,
0:56.00, 30979,  2291,
0:56.20, 30856,  2122,
0:56.40, 30856,  2371,
0:56.60, 30911,  1954,
0:56.80, 31164,  1908,
0:57.00, 31347,  2047,
0:57.20, 31516,  2847,
0:57.40, 31547,  2300,
0:57.60, 31547,  1987,
0:57.80, 31438,  1989,
0:58.00, 31388,  2060,
0:58.20, 31404,  1903,
0:58.40, 31428,  2097,
0:58.60, 31428,  2383,
0:58.80, 31419,  2612,
0:59.00, 31360,  2235,
0:59.20, 31268,  1980,
0:59.40, 31172,  2075,
0:59.60, 31102,  2001,
0:59.80, 31102,  2127,
1:00.00, 31087,  1847,
1:00.20, 31083,  2336,
1:00.40, 31082,  2150,
1:00.60, 31092,  2161,
1:00.80, 31092,  2143,
1:01.00, 31105,  2324,
1:01.20, 31128,  1952,
1:01.40, 31136,  2770,
1:01.60, 31106,  2174,
1:01.80, 31106,  1891,
1:02.00, 31063,  2291,
1:02.20, 31003,  2394,
1:02.40, 30950,  2447,
1:02.60, 30927,  2877,
1:02.80, 30903,  2466,
1:03.00, 30903,  2175,
1:03.20, 30876,  2046,
1:03.40, 30846,  1867,
1:03.60, 30818,  1908,
1:03.80, 30805,  2048,
1:04.00, 30805,  1931,
1:04.20, 30803,  2261,
1:04.40, 30804,  1812,
1:04.60, 30799,  2168,
1:04.80, 30793,  2080,
1:05.00, 30798,  1669,
1:05.20, 30798,  1789,
1:05.40, 30805,  1761,
1:05.60, 30814,  1839,
1:05.80, 30831,  1877,
1:06.00, 30874,  2240,
1:06.20, 30874,  1928,
1:06.40, 30929,  1812,
1:06.60, 30935,  1918,
1:06.80, 30893,  2068,
1:07.00, 30867,  1775,
1:07.20, 30867,  1980,
1:07.40, 30860,  2323,
1:07.60, 30956,  2499,
1:07.80, 31161,  2130,
1:08.00, 31358,  2047,
1:08.20, 31472,  2151,
1:08.40, 31472,  1913,
1:08.60, 31466,  2026,
1:08.80, 31376,  2339,
1:09.00, 31249,  2321,
1:09.20, 31188,  2106,
1:09.40, 31188,  2078,
1:09.60, 31225,  2071,
1:09.80, 31297,  2246,
1:10.00, 31372,  2095,
1:10.20, 31439,  1881,
1:10.40, 31478,  2289,
1:10.60, 31478,  2081,
1:10.80, 31482,  2016,
1:11.00, 31472,  2197,
1:11.20, 31460,  2081,
1:11.40, 31439,  2100,
1:11.60, 31439,  2133,
1:11.80, 31417,  2133,
1:12.00, 31405,  1963,
1:12.20, 31408,  2037,
1:12.40, 31433,  2945,
1:12.60, 31466,  3681,
1:12.80, 31466,  1927,
1:13.00, 31482,  1622,
1:13.20, 31482,  2932,
1:13.40, 31459,  2223,
1:13.60, 31429,  1196,
1:13.80, 31429,  1633,
1:14.00, 31414,  3943,
1:14.20, 31417,  3414,
1:14.40, 31430,  3975,
1:14.60, 31441,  2616,
1:14.80, 31441,  1917,
1:15.00, 31425,  1683,
1:15.20, 31379,  1660,
1:15.40, 31330,  2072,
1:15.60, 31284,  1880,
1:15.80, 31235,  1962,
1:16.00, 31235,  2167,
1:16.20, 31197,  1970,
1:16.40, 31208,  1968,
1:16.60, 31237,  2737,
1:16.80, 31285,  2081,
1:17.00, 31285,  1925,
1:17.20, 31344,  2148,
1:17.40, 31343,  1973,
1:17.60, 31330,  2126,
1:17.80, 31330,  1815,
1:18.00, 31328,  1866,
1:18.20, 31328,  2177,
1:18.40, 31352,  1958,
1:18.60, 31381,  2102,
1:18.80, 31398,  2061,
1:19.00, 31414,  2292,
1:19.20, 31414,   935,
1:19.40, 31408,  1072,
1:19.60, 31385,  2690,
1:19.80, 31406,   179,
1:20.00, 31456,    13,
1:20.20, 31456,    11,
1:20.40, 31472,     8,
1:20.60, 31453,    13,
1:20.80, 31376,    16,
