Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 36880,  2050,
0:00.20, 36880,  2119,
0:00.40, 36878,  2194,
0:00.60, 36876,  2059,
0:00.80, 36876,  2986,
0:01.00, 36882,  2213,
0:01.20, 36882,  1966,
0:01.40, 36902,  2142,
0:01.60, 36918,  2120,
0:01.80, 36930,  2145,
0:02.00, 36935,  2054,
0:02.20, 36935,  2063,
0:02.40, 36933,  2107,
0:02.60, 36933,  1933,
0:02.80, 36936,  1849,
0:03.00, 36944,  1886,
0:03.20, 36944,  1948,
0:03.40, 36944,  1978,
0:03.60, 36954,  2124,
0:03.80, 36976,  2237,
0:04.00, 37028,  2155,
0:04.20, 37070,  2271,
0:04.40, 37070,  2218,
0:04.60, 37095,  2230,
0:04.80, 37106,  2097,
0:05.00, 37080,  2117,
0:05.20, 37070,  2059,
0:05.40, 37071,  2005,
0:05.60, 37071,  2058,
0:05.80, 37091,  1927,
0:06.00, 37127,  1950,
0:06.20, 37175,  1937,
0:06.40, 37234,  2050,
0:06.60, 37234,  2069,
0:06.80, 37289,  2136,
0:07.00, 37339,  2020,
0:07.20, 37377,  1881,
0:07.40, 37404,  1943,
0:07.60, 37404,  2186,
0:07.80, 37426,  2283,
0:08.00, 37448,  2240,
0:08.20, 37474,  3242,
0:08.40, 37501,  2511,
0:08.60, 37523,  2342,
0:08.80, 37523,  2124,
0:09.00, 37537,  2096,
0:09.20, 37546,  2970,
0:09.40, 37551,  2145,
0:09.60, 37555,  2150,
0:09.80, 37555,  1808,
0:10.00, 37558,  1969,
0:10.20, 37560,  2657,
0:10.40, 37561,  2075,
0:10.60, 37560,  1943,
0:10.80, 37555,  1956,
0:11.00, 37555,  1938,
0:11.20, 37545,  1989,
0:11.40, 37531,  2075,
0:11.60, 37514,  1925,
0:11.80, 37495,  2097,
0:12.00, 37495,  2017,
0:12.20, 37479,  1877,
0:12.40, 37468,  1848,
0:12.60, 37468,  2072,
0:12.80, 37481,  2088,
0:13.00, 37503,  2127,
0:13.20, 37503,  2072,
0:13.40, 37530,  2042,
0:13.60, 37554,  1905,
0:13.80, 37572,  1958,
0:14.00, 37580,  2975,
0:14.20, 37580,  2415,
0:14.40, 37580,  1949,
0:14.60, 37573,  2083,
0:14.80, 37560,  2132,
0:15.00, 37544,  2076,
0:15.20, 37544,  2028,
0:15.40, 37527,  1946,
0:15.60, 37513,  1949,
0:15.80, 37508,  2351,
0:16.00, 37514,  2107,
0:16.20, 37530,  1984,
0:16.40, 37530,  2136,
0:16.60, 37550,  1939,
0:16.80, 37568,  2096,
0:17.00, 37581,  2119,
0:17.20, 37585,  2206,
0:17.40, 37585,  2074,
0:17.60, 37582,  2061,
0:17.80, 37572,  1991,
0:18.00, 37558,  1971,
0:18.20, 37543,  2070,
0:18.40, 37527,  2201,
0:18.60, 37527,  2356,
0:18.80, 37511,  2138,
0:19.00, 37497,  1997,
0:19.20, 37484,  1857,
0:19.40, 37472,  1789,
0:19.60, 37472,  1947,
0:19.80, 37465,  2072,
0:20.00, 37466,  2085,
0:20.20, 37474,  2038,
0:20.40, 37489,  1969,
0:20.60, 37507,  2179,
0:20.80, 37507,  2193,
0:21.00, 37524,  1883,
0:21.20, 37538,  1816,
0:21.40, 37547,  2005,
0:21.60, 37554,  1720,
0:21.80, 37554,  2044,
0:22.00, 37560,  1827,
0:22.20, 37567,  2061,
0:22.40, 37574,  2171,
0:22.60, 37579,  1959,
0:22.80, 37579,  2060,
0:23.00, 37581,  1800,
0:23.20, 37578,  2049,
0:23.40, 37571,  2299,
0:23.60, 37562,  2116,
0:23.80, 37551,  1944,
0:24.00, 37551,  2086,
0:24.20, 37542,  1907,
0:24.40, 37537,  1834,
0:24.60, 37537,  1899,
0:24.80, 37539,  1920,
0:25.00, 37539,  2124,
0:25.20, 37544,  2933,
0:25.40, 37549,  2372,
0:25.60, 37555,  2216,
0:25.80, 37560,  2308,
0:26.00, 37564,  2178,
0:26.20, 37564,  1964,
0:26.40, 37566,  2097,
0:26.60, 37564,  1968,
0:26.80, 37560,  1990,
0:27.00, 37554,  2489,
0:27.20, 37554,  2090,
0:27.40, 37547,  1895,
0:27.60, 37540,  1989,
0:27.80, 37533,  1992,
0:28.00, 37526,  1806,
0:28.20, 37526,  2047,
0:28.40, 37520,  2056,
0:28.60, 37513,  1882,
0:28.80, 37508,  1840,
0:29.00, 37502,  1617,
0:29.20, 37497,  1752,
0:29.40, 37497,  1918,
0:29.60, 37492,  1815,
0:29.80, 37488,  1778,
0:30.00, 37484,  1854,
0:30.20, 37480,  1842,
0:30.40, 37480,  1708,
0:30.60, 37477,  1711,
0:30.80, 37474,  2968,
0:31.00, 37471,  2068,
0:31.20, 37468,  2028,
0:31.40, 37464,  2029,
0:31.60, 37464,  2191,
0:31.80, 37461,  1951,
0:32.00, 37458,  1735,
0:32.20, 37456,  2865,
0:32.40, 37454,  2086,
0:32.60, 37454,  1840,
0:32.80, 37454,  2203,
0:33.00, 37453,  2061,
0:33.20, 37452,  2068,
0:33.40, 37459,  2197,
0:33.60, 37484,  1941,
0:33.80, 37484,  1865,
0:34.00, 37501,  1649,
0:34.20, 37510,  2386,
0:34.40, 37504,  2255,
0:34.60, 37477,  2296,
0:34.80, 37477,  2518,
0:35.00, 37459,  2169,
