Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 38304,  2363,
0:00.20, 38319,  2030,
0:00.40, 38319,  2105,
0:00.60, 38328,  2123,
0:00.80, 38331,  1996,
0:01.00, 38333,  2015,
0:01.20, 38336,  1962,
0:01.40, 38338,  2355,
0:01.60, 38338,  2004,
0:01.80, 38340,  2071,
0:02.00, 38343,  1942,
0:02.20, 38346,  2481,
0:02.40, 38344,  1984,
0:02.60, 38344,  2393,
0:02.80, 38339,  2461,
0:03.00, 38337,  2235,
0:03.20, 38333,  1913,
0:03.40, 38347,  1969,
0:03.60, 38360,  2585,
0:03.80, 38360,  1885,
0:04.00, 38356,  2552,
0:04.20, 38353,  2510,
0:04.40, 38349,  2078,
0:04.60, 38353,  2203,
0:04.80, 38353,  2254,
0:05.00, 38377,  1787,
0:05.20, 38404,  1609,
0:05.40, 38428,  1966,
0:05.60, 38434,  2312,
0:05.80, 38434,  2520,
0:06.00, 38427,  2539,
0:06.20, 38410,  2187,
0:06.40, 38385,  2211,
0:06.60, 38369,  2095,
0:06.80, 38356,  2118,
0:07.00, 38356,  2548,
0:07.20, 38349,  2298,
0:07.40, 38348,  2044,
0:07.60, 38357,  2044,
0:07.80, 38373,  2343,
0:08.00, 38373,  2151,
0:08.20, 38393,  2094,
0:08.40, 38412,  2336,
0:08.60, 38427,  2168,
0:08.80, 38435,  2133,
0:09.00, 38438,  2017,
0:09.20, 38438,  2051,
0:09.40, 38437,  2010,
0:09.60, 38432,  1911,
0:09.80, 38426,  2006,
0:10.00, 38417,  1950,
0:10.20, 38417,  2354,
0:10.40, 38406,  2132,
0:10.60, 38397,  1865,
0:10.80, 38391,  2088,
0:11.00, 38395,  1937,
0:11.20, 38397,  1877,
0:11.40, 38397,  1942,
0:11.60, 38397,  2016,
0:11.80, 38392,  2200,
0:12.00, 38379,  2300,
0:12.20, 38370,  2146,
0:12.40, 38370,  1988,
0:12.60, 38364,  2182,
0:12.80, 38361,  2005,
0:13.00, 38360,  2229,
0:13.20, 38359,  2294,
0:13.40, 38359,  2232,
0:13.60, 38358,  1906,
0:13.80, 38357,  2310,
0:14.00, 38358,  1984,
0:14.20, 38359,  1978,
0:14.40, 38361,  2245,
0:14.60, 38361,  2295,
0:14.80, 38362,  2129,
0:15.00, 38363,  2134,
0:15.20, 38364,  2034,
0:15.40, 38366,  2016,
0:15.60, 38366,  2091,
0:15.80, 38368,  2088,
0:16.00, 38369,  2006,
0:16.20, 38370,  2060,
0:16.40, 38371,  2032,
0:16.60, 38376,  1919,
0:16.80, 38376,  2164,
0:17.00, 38386,  1953,
0:17.20, 38400,  1927,
0:17.40, 38419,  2034,
0:17.60, 38436,  2165,
0:17.80, 38436,  2126,
0:18.00, 38449,  1885,
0:18.20, 38458,  1586,
0:18.40, 38463,  1586,
0:18.60, 38465,  1990,
0:18.80, 38465,   258,
0:19.00, 38464,    80,
0:19.20, 38461,  1235,
0:19.40, 38458,  1928,
0:19.60, 38458,  3155,
0:19.80, 38453,  2634,
0:20.00, 38453,  3766,
0:20.20, 38447,  2700,
0:20.40, 38440,  1660,
0:20.60, 38432,  2064,
0:20.80, 38426,  1502,
0:21.00, 38426,  1683,
0:21.20, 38422,  1965,
0:21.40, 38413,  2536,
0:21.60, 38389,  2604,
0:21.80, 38360,  2899,
0:22.00, 38331,  2365,
0:22.20, 38331,  2293,
0:22.40, 38309,  2147,
0:22.60, 38308,  2331,
0:22.80, 38319,  2727,
0:23.00, 38335,  2118,
0:23.20, 38335,  2300,
0:23.40, 38345,  2057,
0:23.60, 38347,    39,
0:23.80, 38347,    57,
0:24.00, 38343,    68,
0:24.20, 38341,  1562,
0:24.40, 38341,  3366,
0:24.60, 38342,  3004,
0:24.80, 38350,  2895,
0:25.00, 38364,  2286,
0:25.20, 38386,  2114,
0:25.40, 38386,  2338,
0:25.60, 38407,  1694,
0:25.80, 38420,  2322,
0:26.00, 38429,  2595,
0:26.20, 38432,  3121,
0:26.40, 38432,   854,
0:26.60, 38438,   774,
0:26.80, 38470,  1959,
0:27.00, 38487,  2719,
0:27.20, 38480,  3380,
0:27.40, 38458,  2719,
0:27.60, 38458,  1044,
0:27.80, 38406,   884,
0:28.00, 38360,  1637,
0:28.20, 38332,  1792,
0:28.40, 38316,  1831,
0:28.60, 38316,  2039,
0:28.80, 38307,  1869,
0:29.00, 38307,  2093,
0:29.20, 38312,  2222,
0:29.40, 38324,  2231,
0:29.60, 38347,  2832,
0:29.80, 38347,  2270,
0:30.00, 38396,  1851,
0:30.20, 38416,  1945,
0:30.40, 38423,  2199,
0:30.60, 38418,  2206,
0:30.80, 38418,  1908,
0:31.00, 38380,  2026,
0:31.20, 38370,  2098,
0:31.40, 38366,  1981,
0:31.60, 38369,  2011,
0:31.80, 38369,  2107,
