Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:00.00, 32470,  1876,
0:00.20, 32455,  2023,
0:00.40, 32439,  1815,
0:00.60, 32439,  1957,
0:00.80, 32427,  2930,
0:01.00, 32418,  2355,
0:01.20, 32409,  1786,
0:01.40, 32399,  1979,
0:01.60, 32399,  1853,
0:01.80, 32390,  1932,
0:02.00, 32374,  1986,
0:02.20, 32359,  1980,
0:02.40, 32348,  2161,
0:02.60, 32348,  1918,
0:02.80, 32337,  1967,
0:03.00, 32339,  1879,
0:03.20, 32334,  2140,
0:03.40, 32316,  2005,
0:03.60, 32290,  1955,
0:03.80, 32290,  2018,
0:04.00, 32246,  1801,
0:04.20, 32202,  2022,
0:04.40, 32193,  3995,
0:04.60, 32211,  3973,
0:04.80, 32211,  1834,
0:05.00, 32231,  3280,
0:05.20, 32245,  2363,
0:05.40, 32234,  3188,
0:05.60, 32206,  3068,
0:05.80, 32201,  2295,
0:06.00, 32201,  1980,
0:06.20, 32220,  1604,
0:06.40, 32236,  2000,
0:06.60, 32234,  2164,
0:06.80, 32210,  2175,
0:07.00, 32210,  1923,
0:07.20, 32171,  1785,
0:07.40, 32148,  1849,
0:07.60, 32140,  1927,
0:07.80, 32137,  1930,
0:08.00, 32137,  2429,
0:08.20, 32140,  2161,
0:08.40, 32135,  1940,
0:08.60, 32130,  1954,
0:08.80, 32127,  2129,
0:09.00, 32123,  1921,
0:09.20, 32123,  2139,
0:09.40, 32119,  2038,
0:09.60, 32114,  1951,
0:09.80, 32110,  1905,
0:10.00, 32105,  2071,
0:10.20, 32105,  1910,
0:10.40, 32096,  1928,
0:10.60, 32086,  2067,
0:10.80, 32077,  2005,
0:11.00, 32070,  2005,
0:11.20, 32071,  2299,
0:11.40, 32071,  2021,
0:11.60, 32077,  1822,
0:11.80, 32087,  2079,
0:12.00, 32096,  2072,
0:12.20, 32103,  2094,
0:12.40, 32103,  2057,
0:12.60, 32109,  2015,
0:12.80, 32111,  2105,
0:13.00, 32111,  2064,
0:13.20, 32110,  2957,
0:13.40, 32110,  2302,
0:13.60, 32108,  2087,
0:13.80, 32108,  2305,
0:14.00, 32112,  2165,
0:14.20, 32123,  2089,
0:14.40, 32141,  2105,
0:14.60, 32141,  1893,
0:14.80, 32161,  2188,
0:15.00, 32180,  2228,
0:15.20, 32198,  2025,
0:15.40, 32212,  1879,
0:15.60, 32212,  2059,
0:15.80, 32222,  1884,
0:16.00, 32231,  2338,
0:16.20, 32237,  2241,
0:16.40, 32240,  1902,
0:16.60, 32243,  2275,
0:16.80, 32243,  2365,
0:17.00, 32245,  1992,
0:17.20, 32252,  2842,
0:17.40, 32264,  2220,
0:17.60, 32277,  1948,
0:17.80, 32277,  1888,
0:18.00, 32290,  1965,
0:18.20, 32293,  1556,
0:18.40, 32297,  1728,
0:18.60, 32293,  1857,
0:18.80, 32289,  1920,
0:19.00, 32289,  2014,
0:19.20, 32287,  1960,
0:19.40, 32283,  1955,
0:19.60, 32286,  2261,
0:19.80, 32289,  2014,
0:20.00, 32289,  2710,
0:20.20, 32293,  2187,
0:20.40, 32291,  1968,
0:20.60, 32287,  2340,
0:20.80, 32281,  2121,
0:21.00, 32281,  2020,
0:21.20, 32279,  3099,
0:21.40, 32276,  2410,
0:21.60, 32276,  2293,
0:21.80, 32280,  1980,
0:22.00, 32280,  2463,
0:22.20, 32280,  2135,
0:22.40, 32286,  2177,
0:22.60, 32290,  2291,
0:22.80, 32292,  2164,
0:23.00, 32291,  2126,
0:23.20, 32291,  1997,
0:23.40, 32285,  2018,
0:23.60, 32274,  2060,
0:23.80, 32258,  1984,
0:24.00, 32241,  2867,
0:24.20, 32224,  2189,
0:24.40, 32224,  2038,
0:24.60, 32209,  2129,
0:24.80, 32198,  2318,
0:25.00, 32193,  2174,
0:25.20, 32195,  2128,
0:25.40, 32195,  2022,
0:25.60, 32205,  2729,
0:25.80, 32219,  2177,
0:26.00, 32234,  1969,
0:26.20, 32249,  1827,
0:26.40, 32249,  1974,
0:26.60, 32257,  1919,
0:26.80, 32257,  1955,
0:27.00, 32252,  1799,
0:27.20, 32242,  1823,
0:27.40, 32227,  2110,
0:27.60, 32227,  1999,
0:27.80, 32215,  1957,
0:28.00, 32211,  2044,
0:28.20, 32218,  1894,
0:28.40, 32236,  2157,
0:28.60, 32236,   990,
0:28.80, 32248,  1510,
0:29.00, 32233,  2271,
0:29.20, 32176,  2150,
0:29.40, 32081,  2902,
0:29.60, 31974,  2320,
0:29.80, 31974,  1994,
0:30.00, 31881,  2220,
0:30.20, 31819,  2133,
0:30.40, 31789,  1777,
0:30.60, 31776,  1827,
0:30.80, 31776,  2045,
0:31.00, 31773,  3981,
0:31.20, 31779,  3849,
0:31.40, 31785,  2160,
0:31.60, 31789,  1486,
0:31.80, 31810,  1466,
0:32.00, 31810,  1526,
0:32.20, 31859,  1951,
0:32.40, 31943,  1954,
0:32.60, 32055,  1941,
0:32.80, 32163,  1912,
0:33.00, 32163,  2154,
0:33.20, 32245,  2008,
0:33.40, 32296,  2156,
0:33.60, 32328,  2141,
0:33.80, 32348,  1943,
0:34.00, 32348,  1968,
0:34.20, 32362,  2120,
0:34.40, 32371,  2034,
0:34.60, 32377,  1993,
0:34.80, 32380,  1970,
0:35.00, 32381,  1898,
0:35.20, 32381,  2196,
0:35.40, 32384,  1768,
0:35.60, 32387,  2403,
0:35.80, 32392,  2089,
0:36.00, 32401,  1707,
0:36.20, 32401,  3031,
0:36.40, 32410,  2121,
0:36.60, 32420,  1858,
0:36.80, 32429,  1980,
0:37.00, 32437,  1883,
0:37.20, 32444,  1937,
0:37.40, 32444,  2047,
0:37.60, 32446,  1864,
0:37.80, 32449,  2305,
0:38.00, 32446,  2989,
0:38.20, 32440,  3961,
0:38.40, 32440,  2615,
0:38.60, 32429,  1889,
0:38.80, 32407,  2704,
0:39.00, 32381,  2107,
0:39.20, 32347,  1377,
0:39.40, 32315,  2908,
0:39.60, 32315,  1508,
0:39.80, 32287,  1485,
0:40.00, 32265,  3030,
0:40.20, 32249,  3098,
0:40.40, 32236,  2328,
0:40.60, 32236,  3210,
0:40.80, 32220,  2215,
0:41.00, 32208,  1931,
0:41.20, 32203,  1956,
0:41.40, 32208,  2205,
0:41.60, 32208,  1973,
0:41.80, 32229,  2046,
0:42.00, 32258,  2103,
0:42.20, 32287,  1988,
0:42.40, 32313,  1990,
0:42.60, 32334,  2011,
0:42.80, 32334,  2192,
0:43.00, 32348,  2198,
0:43.20, 32357,  1913,
0:43.40, 32360,  2248,
0:43.60, 32353,  2003,
0:43.80, 32353,  1960,
0:44.00, 32346,  2156,
0:44.20, 32343,  2064,
0:44.40, 32345,  1895,
0:44.60, 32349,  1930,
0:44.80, 32348,  2109,
0:45.00, 32348,  2072,
0:45.20, 32337,  1983,
0:45.40, 32319,  1973,
0:45.60, 32299,  2141,
